target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 simplified advantage computation,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO regularizes by directly adding the KL divergence $\mathbb{D}_{KL}\left[\pi_{\theta} \\| \\pi_{ref}\right]$ between the trained policy and the reference policy to the loss, rather than including the KL penalty inside the per-token reward $r_t$, yielding an optimization benefit for advantage computation, namely","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO regularizes by directly adding the KL divergence $\mathbb{D}_{KL}\left[\pi_{\theta} \\| \\pi_{ref}\right]$ between the trained policy and the reference policy to the loss, rather than including the KL penalty inside the per-token reward $r_t$, yielding an optimization benefit for advantage computation, namely simplified advantage computation",Why does GRPO place the KL term in the loss rather than the reward—what optimization benefit does this yield for advantage computation?,"['instead of adding KL penalty in the reward, GRPO regularizes by directly adding the KL divergence between the trained policy and the reference policy to the loss, avoiding complicating the calculation of  \\hat{A}_{i,t}.']",Advantages are computed from rewards; mixing regularization into rewards complicates credit assignment.,This asks the optimization rationale for how KL is applied in GRPO.,Putting KL outside the reward keeps advantage calculations clean and focused on task rewards.,Simplified advantages
 targeted geometry data,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors report that DeepSeekMath's capability on geometry and theorem-proof tasks is relatively weaker than on other benchmarks (e.g., it struggles with problems about triangles and ellipses), attribute this to potential pretraining data selection bias, and state that the pretraining intervention that most directly addresses the observed weakness on geometry problems is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors report that DeepSeekMath's capability on geometry and theorem-proof tasks is relatively weaker than on other benchmarks (e.g., it struggles with problems about triangles and ellipses), attribute this to potential pretraining data selection bias, and state that the pretraining intervention that most directly addresses the observed weakness on geometry problems is targeted geometry data",What pretraining intervention most directly addresses the observed weakness on geometry problems?,"['its capability on geometry and theorem-proof are relatively weaker than closed models.', 'which may indicate data selection bias in pre-training and fine-tuning.', 'we will further improve our engineered data selection pipeline to construct more high-quality pre-trained corpus.']",Targeted data augmentation can mitigate selection bias for weak subdomains.,This asks what data action would directly fix the geometry gap.,"If bias caused the weakness, adding focused geometry data should help.",Targeted geometry data
 coverage,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', by enriching the seed corpus with domain-annotated positive examples across iterative fastText mining, the dataset property that was primarily increased was","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', by enriching the seed corpus with domain-annotated positive examples across iterative fastText mining, the dataset property that was primarily increased was coverage","By enriching the seed with domain-annotated positives across iterations, which dataset property was primarily increased for the fastText miner?","['Web pages linked to these URLs, yet uncollected, will be added to the seed corpus.', 'thereby training an improved fastText model capable of recalling more mathematical data in the subsequent iteration.']",Effect of adding diverse positives on coverage versus precision.,It asks which property of the miner improves with more diverse positives.,More diverse positives increase coverage across math domains.,coverage
 arithmetic slips,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when reinforcement learning produces final-answer-oriented improvements—specifically improving $Maj@K$ but not $Pass@K$ (boosting the correct response among top-$K$ samples rather than strengthening underlying reasoning)—the error type most directly reduced, as opposed to failures in depth-of-reasoning, is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when reinforcement learning produces final-answer-oriented improvements—specifically improving $Maj@K$ but not $Pass@K$ (boosting the correct response among top-$K$ samples rather than strengthening underlying reasoning)—the error type most directly reduced, as opposed to failures in depth-of-reasoning, is arithmetic slips","Given final-answer-oriented RL improvements, which error type is most directly reduced: arithmetic slips or depth-of-reasoning failures?","['GRPO obtains a substantial improvement over the strong DeepSeekMath-Instruct', 'We also conduct extensive experiments, e.g., outcome v.s. process supervision']",Outcome-based rewards target correctness more than process quality; they reduce surface errors more directly.,It asks which error type outcome-centric RL addresses first.,"Rewarding correct final answers penalizes arithmetic mistakes strongly, even without deep process feedback.",arithmetic slips
 more conservative policy updates,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', increasing the KL coefficient $eta$ in GRPO, which regularizes the policy by adding a KL divergence term between the trained policy and the reference policy, primarily causes the policy to make","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', increasing the KL coefficient $eta$ in GRPO, which regularizes the policy by adding a KL divergence term between the trained policy and the reference policy, primarily causes the policy to make more conservative policy updates",Increasing the KL coefficient in GRPO primarily causes what change in policy updates?,"['GRPO regularizes by directly adding the KL divergence between the trained policy and the reference policy to the loss', 'The KL coefficient is 0.04.']","Stronger KL regularization constrains updates, yielding smaller steps from the reference policy.",This asks how raising KL weight influences update dynamics.,"Higher KL penalty increases the cost of deviating, shrinking update magnitudes.",More conservative updates
 the later stage of training,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors report that Online RFT (online rejection-sampling fine-tuning) becomes superior to RFT (offline rejection-sampling fine-tuning) as training progresses, i.e., Online RFT achieves a clear advantage over RFT in","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors report that Online RFT (online rejection-sampling fine-tuning) becomes superior to RFT (offline rejection-sampling fine-tuning) as training progresses, i.e., Online RFT achieves a clear advantage over RFT in the later stage of training",In which training phase does Online RFT achieve a clear advantage over RFT?,"['Online RFT is comparable to RFT in the early stage of training but gains an absolute advantage in the later stage, demonstrating the superiority of online training.']",Online methods adapt to the evolving policy; benefits grow as policy diverges from the initializer.,This asks when the benefit of online sampling materializes.,Only as the actor diverges significantly does online sampling produce more informative data.,Later stage
 lower accuracy,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the supervised fine-tuning (SFT) dataset for DeepSeekMath-Instruct 7B explicitly included tool-integrated examples (program-of-thought and tool-integrated reasoning) used to train the model to solve problems with program-based tool use; therefore, if those tool-integrated examples were removed from SFT, the model's performance on evaluations that allow tool use would likely decline, resulting in","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the supervised fine-tuning (SFT) dataset for DeepSeekMath-Instruct 7B explicitly included tool-integrated examples (program-of-thought and tool-integrated reasoning) used to train the model to solve problems with program-based tool use; therefore, if those tool-integrated examples were removed from SFT, the model's performance on evaluations that allow tool use would likely decline, resulting in lower accuracy","If tool-integrated examples were removed from SFT, what would likely happen to tool-allowed evaluation performance?","['problems are paired with solutions in chain-of-thought (CoT), program-of-thought (PoT), and tool-integrated reasoning format', 'Under the evaluation setting where models are allowed to integrate natural language reasoning and program-based tool use for problem solving, DeepSeekMath-Instruct 7B approaches an accuracy of 60% on MATH, surpassing all existing open-source models.']",Training on a capability is generally necessary to perform it well at test time.,This asks the expected impact of removing tool-integrated training on tool-use evaluation.,"Without tool-integrated training, ability to exploit tools at test time would degrade.",Lower accuracy
 mode sharpening,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', given that reinforcement learning increases $	ext{Maj@}K$ but not $	ext{Pass@}K$, the distributional change that best explains these gains is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', given that reinforcement learning increases $	ext{Maj@}K$ but not $	ext{Pass@}K$, the distributional change that best explains these gains is mode sharpening","Given RL boosts Maj@K but not Pass@K, what distributional change best explains the gains?","['RL enhances Maj@K’s performance but not Pass@K.', 'it seems that the improvement is attributed to boosting the correct response from TopK rather than the enhancement of fundamental capabilities.']",Maj@K benefits from concentrating probability mass on better modes without improving single-sample success.,This asks what shift in the output distribution explains improved majority voting but not single-pass accuracy.,Concentrating mass on existing correct modes increases vote aggregation success without raising unique per-sample success.,mode sharpening
 an uncertainty-weighting signal,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors argue that to make gradient updates robust to reward noise, the gradient coefficient $GC$ should be modulated by","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors argue that to make gradient updates robust to reward noise, the gradient coefficient $GC$ should be modulated by an uncertainty-weighting signal","To make gradient updates robust to reward noise, what additional signal should modulate the gradient coefficient?","['We will explore the reinforcement learning algorithm that is robust against noisy reward signals.', 'How to reflect the uncertainty of reward model.']",Uncertainty-aware weighting down-weights unreliable signals in learning.,This asks how to adjust gradients when reward uncertainty exists.,Incorporating uncertainty as weights reduces the impact of noisy rewards.,Uncertainty weighting
 the GRPO algorithm,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', which algorithm is preferred to reduce memory and computation compared to Proximal Policy Optimization (PPO)?","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', which algorithm is preferred to reduce memory and computation compared to Proximal Policy Optimization (PPO)? the GRPO algorithm","To reduce memory and computation compared to PPO, which algorithm should be preferred?","['As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.', 'we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO']",Eliminating a value network reduces memory and compute.,This asks which method is more resource-efficient.,"GRPO removes the value function, cutting memory/compute overhead.",GRPO
 data leakage,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors note that during RL training they excluded SFT (supervised fine-tuning) questions drawn from other evaluation benchmarks to avoid contaminating those benchmarks; if RL were to include the previously excluded SFT questions from other benchmarks, it would introduce the evaluation risk of","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors note that during RL training they excluded SFT (supervised fine-tuning) questions drawn from other evaluation benchmarks to avoid contaminating those benchmarks; if RL were to include the previously excluded SFT questions from other benchmarks, it would introduce the evaluation risk of data leakage",What evaluation risk would arise if RL included the previously excluded SFT questions from other benchmarks?,['We exclude other SFT questions to investigate the impact of RL on benchmarks that lack data throughout the RL phase.'],Training on evaluation data or close variants inflates metrics through leakage.,This asks what risk would contaminate the assessment if exclusions were not applied.,"Including those questions could leak evaluation content into training, biasing results.",Data leakage
 larger models,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that, beyond algorithmic changes, the factor that would most directly alleviate the model's few-shot limitation is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that, beyond algorithmic changes, the factor that would most directly alleviate the model's few-shot limitation is larger models","Beyond algorithmic changes, what would most directly alleviate the model's few-shot limitation?","['restricted by the model scale, DeepSeekMath is worse than GPT-4 on few-shot capability.']",Larger models tend to have stronger in-context learning abilities.,This asks what structural change addresses few-shot weakness.,"If limitation is due to scale, increasing scale directly addresses it.",Larger models
 $\text{Pass@}K,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors note that reinforcement learning mainly improved $\text{Maj@}K$ rather than $\text{Pass@}K$, and that adopting advanced sampling (e.g., tree-search) and more efficient inference for exploration would more likely improve","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors note that reinforcement learning mainly improved $\text{Maj@}K$ rather than $\text{Pass@}K$, and that adopting advanced sampling (e.g., tree-search) and more efficient inference for exploration would more likely improve $\text{Pass@}K","If advanced sampling and exploration efficiency are adopted in RL, which metric is more likely to improve beyond the current gains: Pass@K or Maj@K?","['We think this is a potential reason that our RL pipeline only improves the Maj@K performance.', 'we will explore our RL pipeline on out-of-distribution question prompts, in conjunction with advanced sampling (decoding) strategies', 'the efficient inference techniques ..., which determines the exploration efficiency of policy models, also play an exceedingly important role.']","Better exploration can uncover new successful trajectories, improving single-sample success.",This asks which metric should benefit when exploration improves.,"Enhanced exploration can improve underlying capability, raising Pass@K rather than just aggregation.",Pass@K
 web pages,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors found that Common Crawl–derived web pages were a more promising pre-training data source than arXiv for improving mathematical reasoning:","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors found that Common Crawl–derived web pages were a more promising pre-training data source than arXiv for improving mathematical reasoning: web pages",Which data source shows more promise than arXiv for mathematical pretraining in this study?,"['web pages offer significant potential for high-quality mathematical data, while arXiv may not as beneficial as we expected.']",Alternative sources can outperform academic corpora if better aligned with target tasks.,This asks which source the authors found promising.,They explicitly contrast web pages with arXiv in terms of benefit.,Web pages
 KL regularization,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if within-group reward differences vanish (i.e., the normalized rewards $	ilde r_i = 0$ for all sampled outputs in a group, so the group-relative advantages $\hat{A}_{i,t}=0$), the regularization term in GRPO that still constrains policy drift is the KL divergence regularizer added to the objective, $eta \, \mathbb{D}_{KL}\left[\pi_{\theta} \,||\, \pi_{ref}\right]$.","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if within-group reward differences vanish (i.e., the normalized rewards $	ilde r_i = 0$ for all sampled outputs in a group, so the group-relative advantages $\hat{A}_{i,t}=0$), the regularization term in GRPO that still constrains policy drift is the KL divergence regularizer added to the objective, $eta \, \mathbb{D}_{KL}\left[\pi_{\theta} \,||\, \pi_{ref}\right]$. KL regularization","If within-group reward differences vanish, what regularization term in GRPO still constrains policy drift?",['GRPO regularizes by directly adding the KL divergence between the trained policy and the reference policy to the loss'],"When advantages are near zero, KL regularization still penalizes deviations from the reference.",This asks what still limits updates when relative rewards provide little signal.,The KL term remains active regardless of advantage magnitudes.,KL regularization
 the on-policy exploration regime,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors describe GRPO training where they sample $G=64$ outputs per question and perform $1$ policy update after each exploration stage, corresponding to","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors describe GRPO training where they sample $G=64$ outputs per question and perform $1$ policy update after each exploration stage, corresponding to the on-policy exploration regime",Sampling 64 outputs per question and updating the policy once per exploration stage corresponds to what exploration regime?,"['For each question, we sample 64 outputs.', 'The policy model only has a single update following each exploration stage.']",On-policy methods collect fresh samples from the current policy before each update.,This asks to classify the exploration-update pattern.,Collecting samples then updating once is characteristic of on-policy exploration.,On-policy exploration
 Process supervision,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO compares two supervision types: outcome supervision, which provides a single normalized reward at the end of each sampled output, and process supervision, which provides normalized rewards at the end of each reasoning step and sums them to compute per-token advantages. The supervision type that yields more fine-grained credit assignment is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO compares two supervision types: outcome supervision, which provides a single normalized reward at the end of each sampled output, and process supervision, which provides normalized rewards at the end of each reasoning step and sums them to compute per-token advantages. The supervision type that yields more fine-grained credit assignment is Process supervision",Which supervision type yields more fine-grained credit assignment in GRPO: outcome or process?,"['Following \\cite{wang2023math}, we also explore process supervision, which provides a reward at the end of each reasoning step.', 'GRPO+PS shows superior performance compared to GRPO+OS']",Per-step rewards enable more granular credit assignment than end-only rewards.,This asks which supervision granularity better guides learning.,"Process rewards deliver step-level signals, leading to finer credit assignment.",Process supervision
 Iterative GRPO,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', during reinforcement learning, as the policy improves and the reward model becomes stale—leading to supervision drift—the training strategy that most directly addresses this issue by continually updating the reward model and policy is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', during reinforcement learning, as the policy improves and the reward model becomes stale—leading to supervision drift—the training strategy that most directly addresses this issue by continually updating the reward model and policy is Iterative GRPO","As the policy improves and the reward model becomes stale, what training strategy addresses this supervision drift most directly?","['As the reinforcement learning training process progresses, the old reward model may not be sufficient to supervise the current policy model.', 'Therefore, we also explore the iterative RL with GRPO.', 'we generate new training sets for the reward model based on the sampling results from the policy model and continually train the old reward model using a replay mechanism that incorporates 10% of historical data.']",Non-stationary policies require updated critics/reward models to avoid distributional shift.,This asks which approach handles outdated reward models as the policy changes.,Iteratively retraining the reward model on fresh policy data reduces supervision mismatch.,Iterative GRPO
 the policy model,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to stabilize policy updates during Group Relative Policy Optimization (GRPO) training the component that the authors set to a smaller learning rate (they use $1\times10^{-6}$) is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to stabilize policy updates during Group Relative Policy Optimization (GRPO) training the component that the authors set to a smaller learning rate (they use $1\times10^{-6}$) is the policy model",Which component should use the smaller learning rate to stabilize policy updates during GRPO?,"['We train our initial reward model based on the DeepSeekMath-Base 7B with a learning rate of 2e-5.', 'For GRPO, we set the learning rate of the policy model as 1e-6.']",Smaller policy step sizes reduce instability and overfitting to noisy rewards.,This asks which part should be more conservatively updated.,"The policy LR is much smaller than the reward model LR, indicating conservative policy updates aid stability.",Policy model
 a one-stage mixture schedule,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', for a $1.3\mathrm{B}$-parameter model that aims both to retain coding performance and to improve program-aided mathematical reasoning, the training schedule that works best is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', for a $1.3\mathrm{B}$-parameter model that aims both to retain coding performance and to improve program-aided mathematical reasoning, the training schedule that works best is a one-stage mixture schedule","For a 1.3B model seeking both coding retention and program-aided math improvements, which schedule works best?","['mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training, and also synergizes coding ... and program-aided mathematical reasoning']",Joint training can preserve performance across tasks if capacity suffices for those facets.,This asks which schedule best preserves coding while improving tool-based math.,The text notes one-stage mixing mitigates forgetting and helps program-aided reasoning.,One-stage mixture
 Maj@K,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors report that reinforcement learning enhanced $Maj@K$ but not $Pass@K$, indicating that, between $Pass@K$ and $Maj@K$, the evaluation metric that is more sensitive to sampling-induced reweighting of existing modes is Maj@K.","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors report that reinforcement learning enhanced $Maj@K$ but not $Pass@K$, indicating that, between $Pass@K$ and $Maj@K$, the evaluation metric that is more sensitive to sampling-induced reweighting of existing modes is Maj@K. Maj@K",Which evaluation metric is more sensitive to sampling-induced reweighting of existing modes: Pass@K or Maj@K?,"['RL enhances Maj@K’s performance but not Pass@K.', 'it seems that the improvement is attributed to boosting the correct response from TopK rather than the enhancement of fundamental capabilities.']","Majority voting aggregates multiple samples, benefiting from probability mass concentration on correct modes.",This asks which metric better reflects distribution reweighting without capability change.,Mode concentration improves majority voting success more than single-sample success.,Maj@K
 regularization,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', in the unified paradigm the KL term between the trained and reference policies, expressed as $\mathbb{D}_{KL}\left[\pi_{\theta}\,\|\,\pi_{\mathrm{ref}}\right]$, plays the role most analogous to classical machine learning","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', in the unified paradigm the KL term between the trained and reference policies, expressed as $\mathbb{D}_{KL}\left[\pi_{\theta}\,\|\,\pi_{\mathrm{ref}}\right]$, plays the role most analogous to classical machine learning regularization","In the unified view, the KL term between the trained and reference policies serves the role most analogous to what in classical ML?",['GRPO regularizes by directly adding the KL divergence between the trained policy and the reference policy to the loss'],Regularization penalizes deviation from a prior or reference to prevent overfitting.,This asks for a cross-domain analogy of the KL penalty.,A KL penalty limiting policy drift mirrors regularization in classical learning.,Regularization
 higher compute cost,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', increasing the GRPO group size $G$ primarily trades improved estimate stability for","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', increasing the GRPO group size $G$ primarily trades improved estimate stability for higher compute cost",Increasing the GRPO group size G primarily trades improved estimate stability for what resource cost?,"['GRPO samples a group of outputs {o1, o2, · · ·, oG} from the old policy πθold', 'Subsequently, these rewards are normalized by subtracting the group average and dividing by the group standard deviation.']",Sampling more outputs increases compute for generation and reward evaluation.,This asks what resource is chiefly consumed when enlarging the group.,More samples per question require more compute to generate and score.,Compute cost
 zero initial KL divergence,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors explain that in iterative GRPO they set the reference model $\pi_{ref}$ to the current policy $\pi_{\theta}$ at each iteration, so the KL regularization term $\\mathbb{D}_{KL}\left[\pi_{\theta} \| \pi_{ref}\right]$ begins from zero (i.e., $\\mathbb{D}_{KL}\left[\pi_{\theta} \| \pi_{ref}\right] = 0$), corresponding to a","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors explain that in iterative GRPO they set the reference model $\pi_{ref}$ to the current policy $\pi_{\theta}$ at each iteration, so the KL regularization term $\\mathbb{D}_{KL}\left[\pi_{\theta} \| \pi_{ref}\right]$ begins from zero (i.e., $\\mathbb{D}_{KL}\left[\pi_{\theta} \| \pi_{ref}\right] = 0$), corresponding to a zero initial KL divergence","In iterative GRPO, what is the immediate effect on the KL constraint when setting the reference model to the current policy each iteration?","['Then, we set the reference model as the policy model, and continually train the policy model with the new reward model.', 'GRPO regularizes by directly adding the KL divergence between the trained policy and the reference policy to the loss']",KL between identical distributions is zero; resetting the reference zeroes initial divergence.,This asks what happens to the regularization term upon resetting the reference.,"Reference equals policy implies initial KL is zero, relaxing immediate constraint.",Zero initial KL
 out-of-distribution (OOD) generalization,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to improve fundamental capabilities rather than merely stabilize model output distributions, the reward model must possess","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to improve fundamental capabilities rather than merely stabilize model output distributions, the reward model must possess out-of-distribution (OOD) generalization","To improve fundamental capabilities rather than just stabilize distributions, what property must the reward model possess?","['The reward model must be effectively generalized to handle out-of-distribution questions and advanced decoding outputs; otherwise, reinforcement learning may merely stabilize the distribution of LLMs rather than improve their fundamental capabilities']",Generalization is required to transfer supervision to new behaviors and tasks.,This asks what quality of the reward model is crucial for true capability gains.,"Without OOD generalization, RL aligns to current manifold rather than learning new skills.",OOD generalization
 model scale,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', although experiments reported that arXiv papers seem ineffective in improving mathematical reasoning, the authors note that an unresolved factor that might still reveal benefits of arXiv data is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', although experiments reported that arXiv papers seem ineffective in improving mathematical reasoning, the authors note that an unresolved factor that might still reveal benefits of arXiv data is model scale",What unresolved factor might reveal benefits of arXiv data despite current negative results?,['Whether the benefits of arXiv papers would manifest themselves at a larger model scale.'],Scaling laws can unlock benefits from data that smaller models cannot utilize.,This asks which variable could change the observed outcome.,"If benefits appear only at larger scales, model size is the critical factor.",Model scale
