domain,v13_row_index_0based,clarity,risk_type,alternative_labels,correct_label,target,note,recommendation,probe,formatted_question,option_a,option_b,option_c,option_d,option_e,derivation,source_fact(s)
Finesse_Wireless_LLC_v_Att_Mobility_LLC,3,clear,none,,(D),repeated multiplications,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', if Finesse wanted the jury to infer seven claimed multiplications from only three distinct ones, the additional evidentiary premise that was missing was","According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', if Finesse wanted the jury to infer seven claimed multiplications from only three distinct ones, the additional evidentiary premise that was missing was
(A) two unique signals
(B) additional signal combinations
(C) separate absolute-value operations
(D) repeated multiplications
(E) seven distinct multiplications",two unique signals,additional signal combinations,separate absolute-value operations,repeated multiplications,seven distinct multiplications,"To infer seven claimed multiplications from only three distinct ones, there had to be evidence that some of those operations were repeated, but the record lacked that premise.","['The court also found only three distinct multiplications are produced when two unique signals are used, and that was sufficient to show infringement because each of those three distinct multiplications corresponds to two or three of the seven claimed multiplications.', ""Instead, it only lists three distinct multiplications—x1⋅|x1|⋅|x1|, x1⋅x1⋅x2', and x1⋅|x2|⋅|x2|— and there is no evidence any multiplications are repeated such that all seven claimed multiplications are performed, as required by limitation 1[d].""]"
Finesse_Wireless_LLC_v_Att_Mobility_LLC,4,clear,none,,(D),limitation 1[a] unmet,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', given the court's view of Dr. Wells's express mapping, the conclusion that follows for ’134 claim limitation 1[a] is","According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', given the court's view of Dr. Wells's express mapping, the conclusion that follows for ’134 claim limitation 1[a] is
(A) limitation 1[a] met
(B) limitation 1[a] remains genuinely disputed
(C) limitation 1[a] satisfied by Dr. Wells's GROOT FPGA mapping
(D) limitation 1[a] unmet
(E) limitation 1[a] met because the modeled PIM path is part of the sampled passband",limitation 1[a] met,limitation 1[a] remains genuinely disputed,limitation 1[a] satisfied by Dr. Wells's GROOT FPGA mapping,limitation 1[a] unmet,limitation 1[a] met because the modeled PIM path is part of the sampled passband,"Because the only expressly mapped interference-generating signal is generated only after sampling, the receiver cannot satisfy the requirement to sample a passband that includes it.","['The court acknowledged “[t]he ‘modeled PIM path is the only thing Dr. Wells expressly mapped to the ‘interference generating signals’” and “Dr. Wells also testified that the PIM Model is generated in the GROOT FPGA.”', 'As such, if the modeled PIM path is the claimed “interference generating signals,” then limitation 1[a] cannot be met because the accused radios’ receiver does not sample a passband of received signals that includes interference generating signals since those signals are not generated until after sampling occurs.']"
Finesse_Wireless_LLC_v_Att_Mobility_LLC,5,clear,none,,(E),no reasonable juror could find infringement,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', under the stated JMOL standard, the panel necessarily concluded on the ’134 infringement record that","According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', under the stated JMOL standard, the panel necessarily concluded on the ’134 infringement record that
(A) at least one reasonable juror could find the ’134 claims infringed even if others would not
(B) the jury’s infringement verdict was supported by substantial evidence
(C) the record required at most a new trial on infringement, not JMOL of noninfringement
(D) reasonable jurors could differ on infringement, making JMOL of noninfringement improper
(E) no reasonable juror could find infringement",at least one reasonable juror could find the ’134 claims infringed even if others would not,the jury’s infringement verdict was supported by substantial evidence,"the record required at most a new trial on infringement, not JMOL of noninfringement","reasonable jurors could differ on infringement, making JMOL of noninfringement improper",no reasonable juror could find infringement,Applying the stated JMOL standard to the panel's reversal means the court concluded a reasonable jury could not sustain the infringement finding on that record.,"['The Fifth Circuit reviews denials of JMOL de novo, reversing “only if, when viewing the evidence in the light most favorable to the verdict, the evidence points so strongly and overwhelmingly in favor of one party that the court believes that reasonable jurors could not arrive at any contrary conclusion.”', 'We reverse the district court’s denial of JMOL of noninfringement for the asserted claims of the ’134 patent because the jury’s infringement verdict is not supported by substantial evidence.']"
Finesse_Wireless_LLC_v_Att_Mobility_LLC,6,clear,none,,(B),two unique signals,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', under the accepted construction requiring separately identifiable rather than unique S1, S2, and S3 signals, the claim could be satisfied with","According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', under the accepted construction requiring separately identifiable rather than unique S1, S2, and S3 signals, the claim could be satisfied with
(A) one unique signal
(B) two unique signals
(C) three unique signals
(D) four unique signals
(E) no input signals",one unique signal,two unique signals,three unique signals,four unique signals,no input signals,"If the three signals need only be separately identifiable and one may be a copy, then the construction allows satisfaction with only two unique inputs.","['At summary judgment, the district court construed “three signals S1, S2 and S3” to be “separately identifiable,” but not “unique.”', 'The court also found using two signals, plus a copy of one of those signals, was sufficient to meet its construction of three separately identifiable signals.', 'At most, Finesse’s amendment requires three separately identifiable signals and does not require any specific number of unique input signals.']"
Foad_Farahi_v_FBI,0,clear,none,,(A),interference with enforcement proceedings,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Foad Farahi v. Federal Bureau of Investigation', because disclosure would tip off targets about the scope of the investigation, the Exemption 7(A) consequence that followed was","According to the opinion 'Foad Farahi v. Federal Bureau of Investigation', because disclosure would tip off targets about the scope of the investigation, the Exemption 7(A) consequence that followed was
(A) interference with enforcement proceedings
(B) disclosure of investigative techniques and procedures
(C) revelation of the identities of confidential sources
(D) release of segregable nonexempt portions of the records
(E) an unwarranted invasion of personal privacy",interference with enforcement proceedings,disclosure of investigative techniques and procedures,revelation of the identities of confidential sources,release of segregable nonexempt portions of the records,an unwarranted invasion of personal privacy,Tipping off targets about the scope of an evidence-gathering investigation is exactly the kind of premature release that jeopardizes a possible future case.,"['The public Hardy declaration explained that disclosure of information regarding an ongoing investigation could reasonably be expected to interfere with it by tipping off the targets about the scope of the investigation—a widely accepted justification in Exemption 7(A) cases.', '“[S]o long as the investigation continues to gather evidence for a possible future criminal case, and that case would be jeopardized by the premature release of that evidence, Exemption 7(A) applies.”']"
Foad_Farahi_v_FBI,1,clear,none,,(E),law-enforcement purposes,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Foad Farahi v. Federal Bureau of Investigation,' from Hardy's description and Farahi's concession, the file satisfied Exemption 7's threshold because it was compiled for","According to the opinion 'Foad Farahi v. Federal Bureau of Investigation,' from Hardy's description and Farahi's concession, the file satisfied Exemption 7's threshold because it was compiled for
(A) national-security intelligence purposes
(B) immigration-screening purposes
(C) counterterrorism threat-assessment purposes
(D) foreign-terrorist-organization designation purposes
(E) law-enforcement purposes",national-security intelligence purposes,immigration-screening purposes,counterterrorism threat-assessment purposes,foreign-terrorist-organization designation purposes,law-enforcement purposes,"Hardy's description of the investigation, reinforced by Farahi's own concession about terrorist-related ties, supported the required nexus to law enforcement.","['The public Hardy declaration explained that the withheld records were compiled “in furtherance of investigations of violations of national security and international terrorism to include pending law enforcement proceedings and the subject’s association with individuals directly involved in such violations.” J.A. 42.', 'Farahi himself conceded that the FBI has investigated him for ties to one or more organizations designated by the State Department as foreign terrorist organizations as well as ties to an individual later detained as an enemy combatant and eventually convicted in federal court on charges related to terrorism.', 'We have no doubt that the FBI carried its burden to show that Farahi’s file was compiled for lawenforcement purposes.']"
Foad_Farahi_v_FBI,2,clear,none,,(C),forfeited,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Foad Farahi v. Federal Bureau of Investigation', if an agency's categories must be sufficiently distinct, but the requester offers no specific reason why the FBI's categories are overbroad, that objection here is","According to the opinion 'Foad Farahi v. Federal Bureau of Investigation', if an agency's categories must be sufficiently distinct, but the requester offers no specific reason why the FBI's categories are overbroad, that objection here is
(A) preserved for appellate review
(B) rejected on the merits
(C) forfeited
(D) sustained because the categories are insufficiently distinct
(E) sufficient to require a more particularized Vaughn index",preserved for appellate review,rejected on the merits,forfeited,sustained because the categories are insufficiently distinct,sufficient to require a more particularized Vaughn index,"Because Farahi gave no specific overbreadth explanation, his category challenge did not survive for review.","['""When an agency withholds documents on a category-by-category basis, it must use categories that are ‘sufficiently distinct to allow a court to determine whether the specific claimed exemptions are properly applied’ to each category.""', '""But Farahi provides no specific explanation for why the various categories identified by the FBI were overbroad.""', '""Farahi accordingly forfeited his arguments on this score.""']"
Foad_Farahi_v_FBI,3,clear,none,,(E),staleness and segregability,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"In the opinion 'Foad Farahi v. Federal Bureau of Investigation', the district court denied the FBI's initial summary-judgment motion without prejudice, even though it thought the agency had “seemingly” met its burden on pending proceedings, because of","In the opinion 'Foad Farahi v. Federal Bureau of Investigation', the district court denied the FBI's initial summary-judgment motion without prejudice, even though it thought the agency had “seemingly” met its burden on pending proceedings, because of
(A) pending proceedings and public-record sensitivity
(B) reasonable anticipation and Exemption 7(A)
(C) staleness and bad faith
(D) mootness and segregability
(E) staleness and segregability",pending proceedings and public-record sensitivity,reasonable anticipation and Exemption 7(A),staleness and bad faith,mootness and segregability,staleness and segregability,"Because the court wanted both a fresh showing on ongoing proceedings and more support on segregability, the initial motion failed for those two combined reasons.","['However, given the significant passage of time, the court ordered the FBI to update its assessment of whether enforcement proceedings were still pending or reasonably anticipated.', 'The court also concluded that it needed more information to address segregability, for reasons it could not state on the public record.', 'For these reasons, the court denied summary judgment without prejudice.']"
Foad_Farahi_v_FBI,4,clear,none,,(B),withhold records in their entirety,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Foad Farahi v. Federal Bureau of Investigation', given the court’s segregability finding, the permissible withholding method for these records was to","According to the opinion 'Foad Farahi v. Federal Bureau of Investigation', given the court’s segregability finding, the permissible withholding method for these records was to
(A) submit the records for in camera review before deciding what to withhold
(B) withhold records in their entirety
(C) release reasonably segregable nonexempt portions with the exempt material redacted
(D) prepare a line-by-line Vaughn index and withhold only the passages specifically justified as exempt
(E) disclose the records after removing identifying information from the protected sections",submit the records for in camera review before deciding what to withhold,withhold records in their entirety,release reasonably segregable nonexempt portions with the exempt material redacted,prepare a line-by-line Vaughn index and withhold only the passages specifically justified as exempt,disclose the records after removing identifying information from the protected sections,"Once the court accepted that the protected records were not reasonably segregable, the rule allowing entire withholding of intertwined material applied.","['The government may withhold records in their entirety “when nonexempt portions ‘are inextricably intertwined with exempt portions.’” Juarez v. DOJ, 518 F.3d 54, 61 (D.C. Cir. 2008) (quoting Mead Data Cent., Inc. v. U.S. Dep’t of Air Force, 566 F.2d 242, 260 (D.C. Cir. 1977)).', 'In its second order, the district court explained that the FBI had provided a “detailed justification” for why the protected records were not reasonably segregable in Bender’s supplemental ex parte submission. J.A. 139 (cleaned up).']"
Foad_Farahi_v_FBI,5,clear,none,,(A),confirm that nothing had changed,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Foad Farahi v. Federal Bureau of Investigation', given the court's treatment of the Bender declaration, it served in the Exemption 7(A) showing to","According to the opinion 'Foad Farahi v. Federal Bureau of Investigation', given the court's treatment of the Bender declaration, it served in the Exemption 7(A) showing to
(A) confirm that nothing had changed
(B) provide independent proof that the investigation remained open
(C) establish the pendency of enforcement proceedings from scratch
(D) replace the earlier Hardy declarations as the operative showing
(E) cure defects in the government's initial summary-judgment showing",confirm that nothing had changed,provide independent proof that the investigation remained open,establish the pendency of enforcement proceedings from scratch,replace the earlier Hardy declarations as the operative showing,cure defects in the government's initial summary-judgment showing,The court treated Bender's declaration as a confirmation that the earlier Hardy showing was still current rather than as an independent proof of pendency.,"['We agree with Farahi that the Bender declaration, considered in isolation, appears surprisingly terse.', 'The government submitted the Bender declaration not to establish the pendency of enforcement proceedings from scratch, but only to confirm that nothing had changed while its initial summary-judgment motion was pending.', 'So, the Bender declaration can reasonably be understood as an update to the Hardy declarations, not as a standalone document.']"
Jimenez_v_Bondi,0,clear,none,,(C),futility was not shown,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', if Colombian authorities had already tried several searches and seizures at Don Rafa’s property, that undercut Petitioners’ argument that asking for help would have been futile because the persecutors were aligned with the government, so","According to the opinion 'Jimenez v. Bondi', if Colombian authorities had already tried several searches and seizures at Don Rafa’s property, that undercut Petitioners’ argument that asking for help would have been futile because the persecutors were aligned with the government, so
(A) official unwillingness was demonstrated
(B) state protection was deemed unavailable
(C) futility was not shown
(D) danger in seeking help was confirmed
(E) government alignment was established",official unwillingness was demonstrated,state protection was deemed unavailable,futility was not shown,danger in seeking help was confirmed,government alignment was established,Government searches and seizures at the property cut against the claim that officials were so aligned with Don Rafa that seeking help would have been useless or dangerous.,"['Petitioners seemingly argue that contacting the government for help would have been futile and dangerous because their persecutors are closely aligned and associated with the Colombian government. But that too is unsupported by the record.', 'The government was aware of the property at issue and had attempted several searches and seizures to address the ongoing criminal conduct there.', 'In other words, the evidence counters Petitioners’ argument that their persecutors are closely aligned with the government and would be unwilling or unable to stop the persecutors.']"
Jimenez_v_Bondi,1,clear,none,,(D),withholding of removal,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', once the court held that Petitioners failed the asylum standard, the claim that necessarily failed as well was","According to the opinion 'Jimenez v. Bondi', once the court held that Petitioners failed the asylum standard, the claim that necessarily failed as well was
(A) cancellation of removal
(B) protection under the Convention Against Torture
(C) adjustment of status
(D) withholding of removal
(E) voluntary departure",cancellation of removal,protection under the Convention Against Torture,adjustment of status,withholding of removal,voluntary departure,"The opinion expressly treats withholding as requiring more than asylum, so failure on asylum necessarily defeats withholding too.","['In sum, there is substantial evidence supporting the BIA’s findings that Petitioners do not qualify for asylum.', 'And because Petitioners fail to demonstrate a well-founded fear of persecution under asylum standards, they necessarily fail to meet the higher standard for withholding of removal.']"
Jimenez_v_Bondi,2,clear,none,,(E),proof of refugee status,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', if the IJ accepted Petitioners as credible but still found they failed to establish the required asylum elements, their case lacked","According to the opinion 'Jimenez v. Bondi', if the IJ accepted Petitioners as credible but still found they failed to establish the required asylum elements, their case lacked
(A) grounds for withholding of removal
(B) evidence of direct government persecution
(C) eligibility for CAT protection
(D) corroboration for otherwise credible testimony
(E) proof of refugee status",grounds for withholding of removal,evidence of direct government persecution,eligibility for CAT protection,corroboration for otherwise credible testimony,proof of refugee status,"If the testimony was credited but the required elements still were not established, the defect was failure to prove refugee eligibility rather than disbelief.","['Although the IJ found Petitioners to be credible, the IJ concluded that Petitioners failed to establish: (1) their harm amounted to past persecution; (2) a nexus to a statutorily protected ground; (3) internal relocation was not reasonably available; and (4) the Colombian government is unable or unwilling to protect them from their persecutors.', 'To be eligible for a discretionary grant of asylum, an applicant bears the burden of proving by a preponderance of the evidence that he is a refugee.']"
Jimenez_v_Bondi,3,clear,none,,(D),their neighborhood,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', those facts suggest that the danger was focused at the geographic level of","According to the opinion 'Jimenez v. Bondi', those facts suggest that the danger was focused at the geographic level of
(A) the entire country of Colombia
(B) the broader region around Bogotá
(C) the Bogotá countryside
(D) their neighborhood
(E) the city of Bogotá as a whole",the entire country of Colombia,the broader region around Bogotá,the Bogotá countryside,their neighborhood,the city of Bogotá as a whole,A safe stay elsewhere in Bogota and a threat to leave only the neighborhood imply a localized rather than countrywide danger.,"['Notably, Petitioners safely lived with Jimenez’s mother in the Bogota countryside for three weeks before deciding to relocate to the United States.', 'And recall that the men who threatened Petitioners told them to move out of the neighborhood; they did not threaten the family to move out of the country.']"
Jimenez_v_Bondi,4,clear,none,,(A),relocating to another part of Colombia,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', even if Petitioners had established past persecution and gained the presumption, the government could still have rebutted it by showing that they could avoid future persecution by","According to the opinion 'Jimenez v. Bondi', even if Petitioners had established past persecution and gained the presumption, the government could still have rebutted it by showing that they could avoid future persecution by
(A) relocating to another part of Colombia
(B) seeking protection from Colombian authorities in their home area
(C) waiting for a fundamental change in conditions in Colombia
(D) abandoning their political activities and living anonymously in Bogotá
(E) moving to a neighboring country outside Colombia",relocating to another part of Colombia,seeking protection from Colombian authorities in their home area,waiting for a fundamental change in conditions in Colombia,abandoning their political activities and living anonymously in Bogotá,moving to a neighboring country outside Colombia,"Even if the presumption had arisen from past persecution, the court identified relocation elsewhere in Colombia as a stated way to rebut it.","['One way an applicant may obtain refugee status is “through a showing of past persecution, which gives rise to a rebuttable presumption of a well-founded fear of future persecution.”', 'The government may rebut an applicant’s presumption of a well-founded fear of future persecution and prevent his asylum application if it shows by a preponderance of the evidence that: “(1) there has been a ‘fundamental change’ in circumstances, such that the applicant no longer has a well-founded fear of persecution; or (2) the applicant could avoid future persecution by relocating to another part of the applicant’s country.”', 'Petitioners have not demonstrated a fear of future persecution, but even if they had, the record supports the finding that they could reasonably relocate to another part of Colombia.']"
Jimenez_v_Bondi,5,clear,none,,(E),refugee status,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', those combined failures prevented Petitioners from making the overarching eligibility showing of","According to the opinion 'Jimenez v. Bondi', those combined failures prevented Petitioners from making the overarching eligibility showing of
(A) the Colombian government's unwillingness or inability to protect them
(B) a nexus to a statutorily protected ground
(C) inability to safely relocate within Colombia
(D) past persecution
(E) refugee status",the Colombian government's unwillingness or inability to protect them,a nexus to a statutorily protected ground,inability to safely relocate within Colombia,past persecution,refugee status,"Because asylum eligibility required proving refugee status and the court found multiple required components missing, Petitioners failed to establish that overall status.","['To be eligible for a discretionary grant of asylum, an applicant bears the burden of proving by a preponderance of the evidence that he is a refugee.', 'Petitioners fail to demonstrate that they suffered persecution, that their alleged persecution had a nexus to a statutorily protected ground, or that the Colombian government is unwilling or unable to help them. Nor does the record show that Petitioners cannot safely relocate within Colombia.']"
Jimenez_v_Bondi,6,clear,none,,(E),petition denied,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', given that standard of review and the court's view of the record, the appellate disposition that followed was","According to the opinion 'Jimenez v. Bondi', given that standard of review and the court's view of the record, the appellate disposition that followed was
(A) petition granted
(B) remanded to the BIA
(C) petition dismissed
(D) vacated and remanded
(E) petition denied",petition granted,remanded to the BIA,petition dismissed,vacated and remanded,petition denied,"Because the record did not compel a contrary factual conclusion and instead substantially supported the BIA, the court left the agency decision in place.","['“We review the BIA’s findings of fact under a substantial-evidence standard. Under this standard, the BIA’s findings of fact are conclusive unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.”', 'In sum, there is substantial evidence supporting the BIA’s findings that Petitioners do not qualify for asylum.']"
Jimenez_v_Bondi,7,clear,none,,(B),barred reweighing,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', under the review principle governing the BIA's findings, the court did not choose Petitioners' competing motive theory over the BIA's because the substantial-evidence standard","According to the opinion 'Jimenez v. Bondi', under the review principle governing the BIA's findings, the court did not choose Petitioners' competing motive theory over the BIA's because the substantial-evidence standard
(A) allowed reversal whenever another inference appeared more persuasive
(B) barred reweighing
(C) treated the motive dispute as an unreviewable credibility determination
(D) deferred to the agency's legal interpretation of the statute
(E) required de novo review of the motive evidence",allowed reversal whenever another inference appeared more persuasive,barred reweighing,treated the motive dispute as an unreviewable credibility determination,deferred to the agency's legal interpretation of the statute,required de novo review of the motive evidence,"Because the court could not reweigh competing inferences and could reverse only if a contrary conclusion was compelled, it accepted the BIA’s motive finding.","['We review the BIA’s findings of fact under a substantial-evidence standard. Under this standard, the BIA’s findings of fact are conclusive unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.', '“[I]t is not our prerogative to reweigh the evidence, but only to decide if substantial evidence supports the IJ’s [or the BIA’s] decision.”']"
Jimenez_v_Bondi,8,clear,none,,(A),rebuttable presumption,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', since the court held that Petitioners’ aggregate harm did not amount to past persecution, they failed to obtain the","According to the opinion 'Jimenez v. Bondi', since the court held that Petitioners’ aggregate harm did not amount to past persecution, they failed to obtain the
(A) rebuttable presumption
(B) presumption of eligibility for withholding of removal
(C) presumption of refugee status
(D) well-founded fear of future persecution
(E) presumption of credibility",rebuttable presumption,presumption of eligibility for withholding of removal,presumption of refugee status,well-founded fear of future persecution,presumption of credibility,"Because past persecution is what triggers the presumption, the court’s conclusion that Petitioners did not prove past persecution means they never received that presumption.","['One way an applicant may obtain refugee status is “through a showing of past persecution, which gives rise to a rebuttable presumption of a well-founded fear of future persecution.” Rivera-Barrientos, 666 F.3d at 646 (citation omitted).', 'Given these facts and circumstances, we find substantial evidence to support the BIA’s finding that Petitioners’ harm, even in the aggregate, does not amount to past persecution as defined in the INA.']"
Jimenez_v_Bondi,9,clear,none,,(C),Jimenez's involvement with Don Rafa,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', after the threats escalated around the property dispute and accusations about prosecutor-related searches, the court treated the predominant motive as","According to the opinion 'Jimenez v. Bondi', after the threats escalated around the property dispute and accusations about prosecutor-related searches, the court treated the predominant motive as
(A) Petitioners' political opinion
(B) Jimenez's membership in a national police unit
(C) Jimenez's involvement with Don Rafa
(D) a family-based protected ground
(E) general criminal extortion unrelated to Jimenez",Petitioners' political opinion,Jimenez's membership in a national police unit,Jimenez's involvement with Don Rafa,a family-based protected ground,general criminal extortion unrelated to Jimenez,"Because the escalation followed the property dispute and the threats referenced Jimenez’s prosecutor-related conduct, the court treated that involvement as the main motive.","['Petitioners do not point to any evidence in the record that suggests Don Rafa was behind those initial politically affiliated threats.', 'In fact, Petitioners only began receiving escalated threats after Jimenez got involved in a property dispute with Don Rafa, and after Don Rafa became aware that Jimenez was investigating his rented property.', 'During one of the threats, a man accused Jimenez of working for the prosecutor’s office and for being responsible for searches and seizures at Don Rafa’s property.', 'Based on these facts, the BIA did not err in finding that the predominant motive behind the threats was due to Jimenez’s professional and personal involvement with Don Rafa rather than Petitioners’ political opinion.']"
Jimenez_v_Bondi,10,clear,none,,(D),notice and opportunity,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Jimenez v. Bondi', because Petitioners made minimal reports to authorities, the missing predicate for proving government inability or unwillingness was","According to the opinion 'Jimenez v. Bondi', because Petitioners made minimal reports to authorities, the missing predicate for proving government inability or unwillingness was
(A) proof of countrywide relocation
(B) a formal asylum interview
(C) corroboration from Don Rafa
(D) notice and opportunity
(E) a showing of changed country conditions",proof of countrywide relocation,a formal asylum interview,corroboration from Don Rafa,notice and opportunity,a showing of changed country conditions,"Because Petitioners barely reported anything, the government lacked the notice and chance to respond that the opinion treats as central to the unable-or-unwilling inquiry.","['Intertwined in this analysis is an inquiry into whether the government had notice of the alleged persecution and an opportunity to respond.', '“Without such notice, there is no way to know how the police would have reacted or whether the government would have helped.”', 'Again, there is substantial evidence in the record supporting the BIA’s and IJ’s findings. Petitioners’ efforts to reach out to the government for help were minimal, if any.', 'Yet, neither of them reported wrongdoing or corruption.']"
Pacito_v_Trump,0,clear,none,,(D),securing a replacement resettlement provider,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Pacito v. Trump', the later development that would have undercut the panel’s stated reason for reinstating the old cooperative agreements was","According to the opinion 'Pacito v. Trump', the later development that would have undercut the panel’s stated reason for reinstating the old cooperative agreements was
(A) clarifying the government’s obligations under 8 U.S.C. § 1522
(B) reinstating only the cooperative agreements deemed necessary
(C) confirming that no progress had been made toward finding replacement providers
(D) securing a replacement resettlement provider
(E) issuing a request for proposals",clarifying the government’s obligations under 8 U.S.C. § 1522,reinstating only the cooperative agreements deemed necessary,confirming that no progress had been made toward finding replacement providers,securing a replacement resettlement provider,issuing a request for proposals,"The panel ties reinstatement to the government’s uncertainty about replacement providers, so securing a replacement provider would weaken that rationale.","['the government advised the district court on March 10, 2025, that it was “actively preparing a request for proposals for a new resettlement agency that could provide reception and placement services.”', 'Despite that representation, the government advised the panel at oral argument that it was unaware whether any progress had been made toward securing a new agency or agencies that could provide reception and placement services.', 'In light of the government’s uncertainty regarding its ability to provide the reception and placement services statutorily mandated under 8 U.S.C. § 1522, the government is hereby directed to reinstate such cooperative agreements necessary']"
Pacito_v_Trump,1,clear,none,,(A),reception and placement services,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Pacito v. Trump', even if the admissions suspension remains in force during the appeal, the order preserves for refugees already admitted","According to the opinion 'Pacito v. Trump', even if the admissions suspension remains in force during the appeal, the order preserves for refugees already admitted
(A) reception and placement services
(B) overseas processing support for refugees not yet admitted
(C) a renewed refugee admissions program
(D) all terminated cooperative agreements
(E) case-by-case admission exemptions",reception and placement services,overseas processing support for refugees not yet admitted,a renewed refugee admissions program,all terminated cooperative agreements,case-by-case admission exemptions,"The panel separates new admissions from post-admission services, allowing the admissions suspension to stand while still preserving domestic services for already admitted refugees.","['On January 24, 2025, the Department of State suspended all funding of the USRAP program, purportedly pursuant to a different executive order entitled “Reevaluating and Realigning United States Foreign Aid.”', 'Pending further review, this suspension included funding for domestic resettlement services for refugees admitted to the United States.', 'The government is likely to prevail on plaintiffs’ challenge to the validity of Executive Order No. 14163’s suspension of refugee admissions', 'the government is hereby directed to reinstate such cooperative agreements necessary to provide the reception and placement services described in § 1522 to refugees who have been admitted to the United States.']"
Pacito_v_Trump,2,clear,none,,(B),authorization—not a mandate,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Pacito v. Trump', to require reinstatement of service agreements, the majority must reject the contrary reading of § 1522 that treats it as","According to the opinion 'Pacito v. Trump', to require reinstatement of service agreements, the majority must reject the contrary reading of § 1522 that treats it as
(A) a post-admission timing provision—not a requirement to revive agreements
(B) authorization—not a mandate
(C) a protection for resettlement contractors—not for admitted refugees
(D) a funding condition—not a service obligation
(E) an appropriations preference—not a judicially enforceable entitlement",a post-admission timing provision—not a requirement to revive agreements,authorization—not a mandate,a protection for resettlement contractors—not for admitted refugees,a funding condition—not a service obligation,an appropriations preference—not a judicially enforceable entitlement,"Because the majority orders reinstatement on the premise that § 1522 requires services, it necessarily rejects Judge Lee’s contrary permissive reading.","['Under 8 U.S.C. § 1522, the government must provide certain reception and placement services to refugees after their admission into the United States.', 'the government is hereby directed to reinstate such cooperative agreements necessary to provide the reception and placement services described in § 1522', 'My colleagues interpret 8 U.S.C. § 1522 as requiring the government to provide certain services to refugees. To my eye, the provision is most naturally read as an authorization—not a mandate.']"
