review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label
arxiv/OFT/3,reject,answer_type_mismatch,Stem asks for a kind of model but some distractors are tasks or controls rather than model types.,,,,,,,
arxiv/OFT/52,fix,wording,Stem contains an unresolved citation key.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", what transformation is shown by Liu et al. to be sufficiently flexible to train generalizable neural networks for classification problems?",phase-spectrum transformation,hyperspherical-energy-preserving transformation,unitary transformation,low-rank adaptation,orthogonal transformation.,(E)
arxiv/OFT/64,fix,grammar,Stem asks for plural models but the answer is a single model.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", which text-to-image model is identified as one that trains diffusion models in the pixel space?",Parti,DALL-E 2,Stable Diffusion,GLIDE,CogView,(D)
arxiv/OFT/225,fix,grammar,Stem uses nonstandard ordinal wording.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the evaluation of face landmark error convergence, how many epochs does it take for LoRA to converge to the performance of the OFT framework at the 8th epoch?",8 epochs.,5 epochs.,20 epochs.,10 epochs.,15 epochs.,(C)
arxiv/QLoRA/177,fix,answer_type_mismatch,Some distractors use tasks/user queries rather than prompts.,"In the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", how many prompts are in the Vicuna prompts dataset that the authors use without modifications for evaluation?",57 prompts,80 prompts,70 prompts,953 prompts,100 prompts,(B)
arxiv/QLoRA/236,fix,ungrammatical_stem|answer_type_mismatch,Stem is incomplete and asks for a birth year while options are people.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the HotPotQA example, who does Guanaco say is credited with popularizing the song ""I'll Keep the Lovelight Burning""?",Bing Crosby,Jimmy Kennedy,Al Jolson,Carroll Gibbons,Hugh Williams,(C)
arxiv/QLoRA/274,fix,formatting_artifact,Stem has a stray question prefix.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", after evaluating Guanaco-65B’s likelihood of generating socially biased sequences of tokens compared with other models, which dataset do the authors say seems to reduce the bias of the LLaMA base model when used for finetuning?",Alpaca dataset,Chip2 dataset,FLAN v2 dataset,ShareGPT dataset,OASST1 dataset,(E)
arxiv/fa3/34,reject,answer_type_mismatch,Question asks for a GPU but one distractor is FP8 Tensor Cores rather than a GPU/platform.,,,,,,,
arxiv/fa3/37,fix,answer_type_mismatch,Original stem asks for a kind of quantization while some distractors are broader techniques.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the comparison where FP8 \textsc{FlashAttention-3} is reported to be 2.6$\times$ more accurate than standard attention in cases with outlier features, which technique is used together with incoherent processing?",mixed-precision training,FP32 softmax rescaling,per-tensor quantization,per-channel quantization,block quantization,(E)
arxiv/fa3/193,fix,answer_type_mismatch,Original stem asks for a kind of scaling while several distractors are not scaling methods.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", which technique does the baseline attention in FP8 use?",stochastic rounding,per-channel scaling,per-tensor scaling,incoherent processing,block quantization,(C)
arxiv/xLSTM/12,fix,ungrammatical_stem,Stem says prevail over text generation instead of prevail in text generation.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", until the dawn of Transformers in what year did LSTMs prevail in text generation?",2014,2018,2017,2020,2015,(C)
arxiv/xLSTM/97,fix,answer_type_mismatch,Stem asks for a task but several distractors are broader settings.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the key-value pair recall evaluation, in which evaluation setting does it become evident that the sLSTM block leverages memory capacity?",the intermediate task with 128 key-value pairs,the most difficult task with 256 key-value pairs,the Transformer gold-standard regime with exponential memory in the coding dimension,"the small-model benchmark against Mamba, RWKV-5, and RWKV-6",the extrapolation setting with contexts longer than those seen during training,(B)
