target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 data augmentation,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the authors find that chains written by different annotators and different exemplar sets all outperform the baseline. This behavior most closely resembles the familiar ML data-level technique of","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the authors find that chains written by different annotators and different exemplar sets all outperform the baseline. This behavior most closely resembles the familiar ML data-level technique of data augmentation",The paper finds that chains written by different annotators and different exemplar sets all outperform the baseline. Which familiar ML data-level technique does this behavior most closely resemble?,"['Although there is variance among different chain of thought annotations, as would be expected when using exemplar-based prompting \\citep{le-scao-rush-2021-many,reynolds2021prompt,zhao2021calibrate}, all sets of chain of thought prompts outperform the standard baseline by a large margin.', 'This result implies that successful use of chain of thought does not depend on a particular linguistic style.', 'To confirm that successful chain-of-thought prompting works for other sets of exemplars, we also run experiments with three sets of eight exemplars randomly sampled from the GSM8K training set, an independent source (examples in this dataset already included reasoning steps like a chain of thought).', '\\cref{fig:bar-robustness-analysis} shows that these prompts performed comparably with our manually written exemplars, also substantially outperforming standard prompting.']",Awareness of data augmentation/paraphrase augmentation: providing diverse versions of examples to improve generalization.,Different paraphrased reasoning examples help the model generalize. Which ML technique describes that effect?,"Multiple independent exemplars that preserve the underlying reasoning but vary wording act like augmented data, exposing the model to varied presentations of the same pattern and improving robustness—i.e., data augmentation.",data augmentation
 fact retrieval,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given that chain-of-thought prompting improves arithmetic, commonsense, and symbolic reasoning, the concise task category among arithmetic, commonsense, symbolic reasoning, and one centered on retrieving facts that it is least likely to help is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given that chain-of-thought prompting improves arithmetic, commonsense, and symbolic reasoning, the concise task category among arithmetic, commonsense, symbolic reasoning, and one centered on retrieving facts that it is least likely to help is fact retrieval","Given that chain-of-thought prompting improves arithmetic, commonsense, and symbolic reasoning, which concise task category is it least likely to help: arithmetic, commonsense, symbolic reasoning, or fact retrieval?","['Experiments on three large language models show that chain-of-thought prompting improves performance on a range of arithmetic, commonsense, and symbolic reasoning tasks.']",Understanding the distinction between multi-step reasoning tasks (which require decomposition and intermediate steps) and simple factual retrieval or memorization tasks (which require recalling stored facts).,"You're being asked to pick which type of task chain-of-thought is least suited to help, given it helps several kinds of reasoning tasks.","The text explicitly lists reasoning tasks that benefit. Tasks that don't require stepwise reasoning—such as retrieving memorized facts—are qualitatively different, so chain-of-thought prompting is least likely to aid fact retrieval.",fact retrieval
 causal interventions,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', within the scenario where chain-of-thought provides an interpretable but not fully mechanistic explanation of model behavior, the experimental method that would most directly test causal relationships between internal activations and final outputs is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', within the scenario where chain-of-thought provides an interpretable but not fully mechanistic explanation of model behavior, the experimental method that would most directly test causal relationships between internal activations and final outputs is causal interventions","If chain-of-thought gives an interpretable but not fully mechanistic explanation of model behavior, which experimental method would most directly test causal relationships between internal activations and final outputs?","[""Second, a chain of thought provides an interpretable window into the behavior of the model, suggesting how it might have arrived at a particular answer and providing opportunities to debug where the reasoning path went wrong (although fully characterizing a model's computations that support an answer remains an open question).""]","Familiarity with causal analysis methods in neural models—interventional techniques such as ablations, activation editing, and causal probing that perturb internals to observe effects on outputs.","What method lets you directly intervene on internal activations to see whether changing them causally alters outputs, rather than merely observing correlations?","To move from correlational interpretability (behavioral windows) to causal claims about internal components, one must perform causal interventions (e.g., ablations or targeted edits) and measure resulting changes in outputs.",causal interventions
 decomposability,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the single-word structural property a task should have to be well-suited for chain-of-thought prompting is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the single-word structural property a task should have to be well-suited for chain-of-thought prompting is decomposability",What single-word structural property should a task have to be well-suited for chain-of-thought prompting?,"['First, chain of thought, in principle, allows models to decompose multi-step problems into intermediate steps, which means that additional computation can be allocated to problems that require more reasoning steps.', 'Third, chain-of-thought reasoning can be used for tasks such as math word problems, commonsense reasoning, and symbolic manipulation, and is potentially applicable (at least in principle) to any task that humans can solve via language.']","Understanding of task structure concepts such as compositionality and decomposability—i.e., whether a problem can be broken into ordered substeps.",Which single-word descriptor captures the kind of problems that can be broken into intermediate steps and thereby benefit from chain-of-thought?,"If a task can naturally be broken into ordered intermediate steps, that task is decomposable; thus the paper's described suitability maps to the property decomposability.",decomposability
 deep supervision,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', supervising a model's intermediate natural-language rationales means providing explicit target outputs for intermediate steps. The established deep-learning training technique most directly analogous to this is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', supervising a model's intermediate natural-language rationales means providing explicit target outputs for intermediate steps. The established deep-learning training technique most directly analogous to this is deep supervision","Which established deep-learning training technique is most directly analogous to supervising a model's intermediate natural-language rationales (i.e., providing explicit target outputs for intermediate steps)?","['The first relevant direction is using intermediate steps to solve reasoning problems.', 'Whereas these approaches improve or augment the input part of the prompt (e.g., instructions that are prepended to inputs), our work takes the orthogonal direction of augmenting the outputs of language models with a chain of thought.']","Know that in deep learning, some methods add explicit loss functions on intermediate layers or outputs (commonly called deep supervision); understand that chain-of-thought rationales are intermediate outputs that could be targeted during training.","The question asks you to map the idea of providing supervised targets for a model's intermediate, human-readable steps to a named training technique from neural-network practice.","Chain-of-thought are intermediate outputs; providing targets for such intermediates is conceptually the same as adding direct supervision on intermediate outputs/layers in neural nets, which is known as deep supervision.",Deep supervision
 an informative prior,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', in Bayesian terms the role that including chain-of-thought exemplars in few-shot prompts most closely plays with respect to the model's output distribution is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', in Bayesian terms the role that including chain-of-thought exemplars in few-shot prompts most closely plays with respect to the model's output distribution is an informative prior","In Bayesian terms, including chain-of-thought exemplars in few-shot prompts most closely plays what role with respect to the model's output distribution?","['Finally, chain-of-thought reasoning can be readily elicited in sufficiently large off-the-shelf language models simply by including examples of chain of thought sequences into the exemplars of few-shot prompting.']","Basic understanding of Bayesian concepts (prior, likelihood, posterior) and how conditioning on examples biases predictive distributions.",Translate the function of providing exemplars in a prompt into Bayesian language: what statistical role do those exemplars play?,"Exemplars bias the model prior to observing new inputs, nudging its generation toward exhibited behavior; in Bayesian framing this is most analogous to supplying an informative prior that shapes subsequent predictions.",informative prior
 explicit decomposition,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the authors argue that because the 'variable compute only' ablation (outputting dots) performed about the same as baseline while expressing intermediate steps in natural language improved performance, the specific functional advantage that chain-of-thought provides beyond variable compute alone is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the authors argue that because the 'variable compute only' ablation (outputting dots) performed about the same as baseline while expressing intermediate steps in natural language improved performance, the specific functional advantage that chain-of-thought provides beyond variable compute alone is explicit decomposition",The 'variable compute only' ablation (outputting dots) performed about the same as baseline while expressing intermediate steps in natural language improved performance. What specific functional advantage does chain-of-thought provide that variable compute alone does not?,"['Another intuition is that chain of thought allows the model to spend more computation (i.e., intermediate tokens) on harder problems.', 'To isolate the effect of variable computation from chain-of-thought reasoning, we test a configuration where the model is prompted to output a only sequence of dots ($\\ldots$) equal to the number of characters in the equation needed to solve the problem.', 'This variant performs about the same as the baseline, which suggests that variable computation by itself is not the reason for the success of chain-of-thought prompting, and that there appears to be utility from expressing intermediate steps via natural language.']",Understanding of decomposition in problem solving: breaking a task into explicit intermediate sub-steps (interpretable intermediate representations).,What does expressing intermediate steps in words give the model that simply allowing more internal computation (dots) does not?,"Because extra token budget without explicit steps did not improve results, but explicit natural-language steps did, the key added capability is making the problem's sub-steps explicit—i.e., an explicit decomposition of the task.",explicit decomposition
 semantic parsing,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', equation-only prompting helps for one- and two-step problems but not for GSM8K, where the semantics are too challenging to directly translate into an equation; the computational skill beyond raw equation formation that chain-of-thought most likely supplies is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', equation-only prompting helps for one- and two-step problems but not for GSM8K, where the semantics are too challenging to directly translate into an equation; the computational skill beyond raw equation formation that chain-of-thought most likely supplies is semantic parsing","Because 'equation only' prompting helps for one- and two-step problems but not for GSM8K where semantics are 'too challenging to directly translate into an equation', which computational skill beyond raw equation formation does chain-of-thought most likely supply?","['One reason for why chain-of-thought prompting might help is that it produces the mathematical equation to be evaluated, and so we test a variation where the model is prompted to output only a mathematical equation before giving the answer.', '\\cref{fig:bar_ablation} shows that equation only prompting does not help much for GSM8K, which implies that the semantics of the questions in GSM8K are too challenging to directly translate into an equation without the natural language reasoning steps in chain of thought.', 'For datasets of one-step or two-step problems, however, we find that equation only prompting does improve performance, since the equation can be easily derived from the question (see Appendix \\cref{tab:ablations-arithmetic}).']","Familiarity with semantic parsing: mapping natural language descriptions into formal/executable representations (e.g., equations).",Which ability lets the model convert complex problem text into correct formal equations when a single equation isn't obvious?,"Equation-only succeeds when mapping is simple; when mapping is hard, natural-language intermediate steps help perform the mapping. That role corresponds to semantic parsing—breaking down meaning into formal structure.",semantic parsing
 anytime algorithms,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the algorithmic paradigm that most closely corresponds to the behavior where additional computation can be allocated to problems requiring more reasoning steps is known as","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the algorithmic paradigm that most closely corresponds to the behavior where additional computation can be allocated to problems requiring more reasoning steps is known as anytime algorithms","Which algorithmic paradigm in computer science most closely corresponds to the behavior described as ""additional computation can be allocated to problems that require more reasoning steps""?","['First, chain of thought, in principle, allows models to decompose multi-step problems into intermediate steps, which means that additional computation can be allocated to problems that require more reasoning steps.']","Familiarity with algorithmic paradigms that trade runtime for solution quality, especially the concept of anytime algorithms which produce progressively better outputs given more computation time.",Map the paper's statement that harder problems can receive more computation to a known algorithmic paradigm outside NLP.,Recognize that the defining feature described—spending more compute to yield progressively improved results on harder instances—is the hallmark of anytime algorithms; thus the behavior aligns with that paradigm.,anytime algorithms
 Interpretability,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', when the authors contrast natural-language rationales with formal reasoning languages, they argue that the human-centered quality most directly improved by natural-language rationales is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', when the authors contrast natural-language rationales with formal reasoning languages, they argue that the human-centered quality most directly improved by natural-language rationales is Interpretability","When the authors contrast natural-language rationales with formal reasoning languages, which human-centered quality do natural-language rationales most directly improve?","['\\cite{ling-etal-2017-program} pioneer the idea of using natural language rationales to solve math word problems through a series of intermediate steps.', 'Their work is a remarkable contrast to the literature using formal languages to reason \\citep{roy-2016-reasoning, chiang-chen-2019-semantically, amini-etal-2019-mathqa, chen2019neural}.']",Awareness that natural language is typically more accessible and comprehensible to humans than formal/logical representations; familiarity with the notion of interpretability/explainability.,The question asks which property of intermediate outputs benefits humans the most when those outputs are expressed in natural language rather than a formal language.,"Natural-language rationales are readable and understandable to humans, so they primarily improve interpretability of the model's reasoning compared to formal languages.",Interpretability
 variable binding,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the representational mechanism a model must implement to treat tokens in test inputs as placeholders that the repeated steps can operate on is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the representational mechanism a model must implement to treat tokens in test inputs as placeholders that the repeated steps can operate on is variable binding",What representational mechanism must a model implement to treat tokens in test inputs as placeholders that the repeated steps can operate on?,"[""Note that these in-domain evaluations are ``toy tasks'' in the sense that perfect solution structures are already provided by the chains of thought in the few-shot exemplars; all the model has to do is repeat the same steps with the new symbols in the test-time example."", 'And yet, small models still fail---the ability to perform abstract manipulations on unseen symbols for these three tasks only arises at the scale of 100B model parameters.']",Familiarity with the concept of variable binding or slot-filling in symbolic systems: the ability to treat specific inputs as values bound to abstract roles or variables so operations can be applied generically.,What representational trick lets a model take arbitrary symbols in an input and operate on them as if they were variables in a procedure?,To 'repeat the same steps with the new symbols' the model must not rely on symbol-specific memorization but instead bind symbols to roles the algorithm manipulates; that is exactly what variable binding provides.,variable binding
 a compositional inductive bias,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given that chain-of-thought yields larger gains on multi-step, complex problems but little or negative gains on single-step tasks, model designers targeting compositional multi-step problem solving should prioritize","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given that chain-of-thought yields larger gains on multi-step, complex problems but little or negative gains on single-step tasks, model designers targeting compositional multi-step problem solving should prioritize a compositional inductive bias","Because chain-of-thought yields larger gains on multi-step, complex problems but little or negative gains on single-step tasks, which inductive bias should model designers prioritize when targeting compositional multi-step problem solving?","['Second, chain-of-thought prompting has larger performance gains for more-complicated problems.', 'For instance, for GSM8K (the dataset with the lowest baseline performance), performance more than doubled for the largest GPT and PaLM models.', 'On the other hand, for SingleOp, the easiest subset of MAWPS which only requires a single step to solve, performance improvements were either negative or very small (see Appendix \\cref{tab:mawps-subsets}).']",Familiarity with inductive biases such as compositionality/structured decomposition that favor building complex outputs from reusable sub-parts.,Which model bias helps most for multi-step problems where chain-of-thought shows big improvements?,CoT helps precisely when problems require combining multiple steps; hence models should favor a compositional inductive bias (ability to build solutions from subcomponents).,compositional bias
 an external symbolic solver,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', Given that the ablations show equation-only prompting helps when equations are easily derived from the text but fails on semantically challenging problems, the most plausible engineering addition to emulate chain-of-thought benefits in a smaller model without scaling parameters is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', Given that the ablations show equation-only prompting helps when equations are easily derived from the text but fails on semantically challenging problems, the most plausible engineering addition to emulate chain-of-thought benefits in a smaller model without scaling parameters is an external symbolic solver","The ablations show equation-only prompting helps when equations are easily derived from the text, but fails on semantically challenging problems. To emulate chain-of-thought benefits in a smaller model without scaling parameters, which specific engineering addition is most plausible according to these results?","['\\cref{fig:bar_ablation} shows that equation only prompting does not help much for GSM8K, which implies that the semantics of the questions in GSM8K are too challenging to directly translate into an equation without the natural language reasoning steps in chain of thought.', 'For datasets of one-step or two-step problems, however, we find that equation only prompting does improve performance, since the equation can be easily derived from the question (see Appendix \\cref{tab:ablations-arithmetic}).']",Familiarity with tool-augmented models and symbolic/engineered solvers that can take formal equations as input and return exact results (external symbolic solvers).,"If you can't increase model size, what engineering trick could handle the equation-solving part and partially replicate CoT benefits?","When mapping text to an equation is the hard part but solving the equation is straightforward, attaching an external symbolic solver that evaluates formal equations can replicate the computational correctness benefit without enlarging the model.",external symbolic solver
 error propagation,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the authors note that in a stepwise prediction framework, if intermediate natural-language rationales are noisy or contain mistakes, the most directly expected systematic failure mode that will affect final model outputs is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the authors note that in a stepwise prediction framework, if intermediate natural-language rationales are noisy or contain mistakes, the most directly expected systematic failure mode that will affect final model outputs is error propagation","If intermediate natural-language rationales are noisy or contain mistakes, what systematic failure mode is most directly expected to affect final model outputs in a stepwise prediction framework?","['The first relevant direction is using intermediate steps to solve reasoning problems.', 'In the domain of program synthesis, \\cite{nye2021show} leverage language models to predict the final outputs of Python programs via first line-to-line predicting the intermediate computational results, and show that their step-by-step prediction method performs better than directly predicting the final outputs.', 'Whereas these approaches improve or augment the input part of the prompt (e.g., instructions that are prepended to inputs), our work takes the orthogonal direction of augmenting the outputs of language models with a chain of thought.']",Knowledge of sequential or multi-step computation systems where errors in earlier steps can influence later steps (error propagation).,"Given that the approach relies on intermediate steps, the question asks what predictable problem arises if those steps are incorrect.","Because later steps build on earlier intermediate results, mistakes early in the chain will be carried forward and amplify, producing degraded final outputs—this is error propagation.",Error propagation
 the scratchpad mechanism,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if chain-of-thought serves as a temporary, writable store of intermediate steps used to produce the final answer, then the common ML mechanism it most closely corresponds to is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if chain-of-thought serves as a temporary, writable store of intermediate steps used to produce the final answer, then the common ML mechanism it most closely corresponds to is the scratchpad mechanism","If chain-of-thought serves as a temporary, writable store of intermediate steps used to produce the final answer, which common ML mechanism does that most closely correspond to?","['Another intuition is that chain of thought allows the model to spend more computation (i.e., intermediate tokens) on harder problems.', 'To isolate the effect of variable computation from chain-of-thought reasoning, we test a configuration where the model is prompted to output a only sequence of dots ($\\ldots$) equal to the number of characters in the equation needed to solve the problem.', 'This variant performs about the same as the baseline, which suggests that variable computation by itself is not the reason for the success of chain-of-thought prompting, and that there appears to be utility from expressing intermediate steps via natural language.', 'This variant performs about the same as the baseline, which suggests that variable computation by itself is not the reason for the success of chain-of-thought prompting, and that there appears to be utility from expressing intermediate steps via natural language.']",Familiarity with 'scratchpad' techniques and writable intermediate workspaces used in neural computation to store partial results.,Chain-of-thought writes intermediate steps while generating the answer. What ML concept is that analogous to?,"Because CoT outputs intermediate content used by the model to reach the final answer (and mere extra compute without explicit steps fails), it behaves like a writable intermediate workspace—commonly called a scratchpad.",scratchpad
 an increase in representational capacity,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given that chain-of-thought prompting only yields gains with models of roughly $100\mathrm{B}$ parameters and that scaling fixes many one-step-missing and semantic errors, the high-level capacity increase that most plausibly explains why larger models succeed at chain-of-thought reasoning is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given that chain-of-thought prompting only yields gains with models of roughly $100\mathrm{B}$ parameters and that scaling fixes many one-step-missing and semantic errors, the high-level capacity increase that most plausibly explains why larger models succeed at chain-of-thought reasoning is an increase in representational capacity","Given that chain-of-thought prompting only yields gains with models of ~100B parameters and scaling fixes many one-step-missing and semantic errors, which high-level capacity increase most plausibly explains why larger models succeed at chain-of-thought reasoning?","['First, \\cref{fig:main-math} shows that chain-of-thought prompting is an emergent ability of model scale \\citep{wei2022emergent}.', 'That is, chain-of-thought prompting does not positively impact performance for small models, and only yields performance gains when used with models of $\\sim$100B parameters.', 'To provide a small insight into why scaling improves chain-of-thought reasoning ability, we performed a similar analysis of errors made by PaLM 62B and whether those errors were fixed by scaling to PaLM 540B.', 'The summary is that scaling PaLM to 540B fixes a large portion of one-step missing and semantic understanding errors in the 62B model (see \\cref{subsec:why-scale-helps}).']","Understanding that increasing model parameter count typically increases a model's ability to represent more complex functions and internal abstractions (i.e., representational capacity).",The paper shows large models improve at chain-of-thought. Which broad capability that grows with model size explains this improvement?,"The text links emergence of CoT ability and error reductions to scale; the natural inference is that larger models gain more internal representational power (ability to encode complex multi-step patterns and semantics), which enables coherent multi-step reasoning.",representational capacity
 error accumulation,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the most likely general reason chain-of-thought performance is lower on longer out-of-domain examples, despite improving with scale, is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the most likely general reason chain-of-thought performance is lower on longer out-of-domain examples, despite improving with scale, is error accumulation","What is the most likely general reason chain-of-thought performance is lower on longer out-of-domain examples, despite improving with scale?","['As the construction of these symbolic reasoning tasks is well-defined, for each task we consider an \\textit{in-domain} test set for which examples had the same number of steps as the training/few-shot exemplars, as well as an \\textit{out-of-domain} (OOD) test set, for which evaluation examples had more steps than those in the exemplars.', ""Note that these in-domain evaluations are ``toy tasks'' in the sense that perfect solution structures are already provided by the chains of thought in the few-shot exemplars; all the model has to do is repeat the same steps with the new symbols in the test-time example."", 'With chain-of-thought prompting, language models achieve upward scaling curves (though performance is lower than in the in-domain setting).']","Understanding that sequential, multi-step procedures with nonzero per-step error probabilities tend to accumulate errors as the number of steps increases (compounding error phenomenon).","Why does performance drop when the model must perform more steps than seen in exemplars, even if it learned the procedure?","The model repeats a sequence of steps; if each step has some chance of being executed imperfectly, longer sequences produce a larger overall failure probability. That compounding of per-step imperfections explains lower OOD performance.",error accumulation
 human labeling time,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if researchers adopt output-augmentation by collecting human-written chain-of-thought rationales for each training example, the dataset-collection resource measured in person-hours per example that will increase the most is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if researchers adopt output-augmentation by collecting human-written chain-of-thought rationales for each training example, the dataset-collection resource measured in person-hours per example that will increase the most is human labeling time","If researchers adopt output-augmentation by collecting human-written chain-of-thought rationales for each training example, which dataset-collection resource measured in person-hours per example will increase most?","['\\cite{ling-etal-2017-program} pioneer the idea of using natural language rationales to solve math word problems through a series of intermediate steps.', 'Whereas these approaches improve or augment the input part of the prompt (e.g., instructions that are prepended to inputs), our work takes the orthogonal direction of augmenting the outputs of language models with a chain of thought.']",Understanding of supervised dataset creation: collecting additional human-authored outputs (rationales) requires extra human time per example for annotation.,The question asks which human-cost metric will grow the most when every example requires an extra free-text rationale.,"Because each example now needs an additional human-written rationale, the dominant per-example resource that increases is the human labeling time (person-hours) required to create those rationales.",Human labeling time
 Compositionality,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', Nye et al.'s observation that line-by-line intermediate prediction outperforms direct final-output prediction most strongly indicates that the Python programs they studied exhibit the formal property defined as 'the meaning of the whole is determined by the meanings of its parts and their combination':","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', Nye et al.'s observation that line-by-line intermediate prediction outperforms direct final-output prediction most strongly indicates that the Python programs they studied exhibit the formal property defined as 'the meaning of the whole is determined by the meanings of its parts and their combination': Compositionality","Which formal property, defined as ""the meaning of the whole is determined by the meanings of its parts and their combination"", does Nye et al.'s finding (that line-by-line intermediate prediction outperforms direct final-output prediction) most strongly indicate about the Python programs they studied?","['The first relevant direction is using intermediate steps to solve reasoning problems.', 'In the domain of program synthesis, \\cite{nye2021show} leverage language models to predict the final outputs of Python programs via first line-to-line predicting the intermediate computational results, and show that their step-by-step prediction method performs better than directly predicting the final outputs.']",Understanding of the term 'compositionality' from linguistics and program semantics: systems where overall behavior is constructed from smaller parts whose results are composed.,The question asks which formal property (given its definition) is implied by the empirical success of stepwise prediction on program outputs.,"If predicting intermediate subresults and composing them yields better final outputs than direct prediction, the tasks are structured so that the whole can be built from parts—i.e., they are compositional.",Compositionality
 systematic compositionality,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the cognitive/computational capacity that most plausibly emerges around $100\text{B}$ parameters, enabling models to apply the same stepwise procedure to novel symbols, is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the cognitive/computational capacity that most plausibly emerges around $100\text{B}$ parameters, enabling models to apply the same stepwise procedure to novel symbols, is systematic compositionality","What cognitive/computational capacity most plausibly emerges around 100B parameters, enabling models to apply the same stepwise procedure to novel symbols?","['We show that chain-of-thought prompting not only enables language models to perform symbolic reasoning tasks that are challenging in the standard prompting setting, but also facilitates length generalization to inference-time inputs longer than those seen in the few-shot exemplars.', ""Note that these in-domain evaluations are ``toy tasks'' in the sense that perfect solution structures are already provided by the chains of thought in the few-shot exemplars; all the model has to do is repeat the same steps with the new symbols in the test-time example."", 'And yet, small models still fail---the ability to perform abstract manipulations on unseen symbols for these three tasks only arises at the scale of 100B model parameters.']","Familiarity with the notion of compositional generalization or systematicity in cognitive science and machine learning: the idea that a system can apply learned operations to novel combinations of inputs (e.g., treating tokens as variables and composing operations over them).",Which higher-level generalization ability likely appears when models reach ~100B parameters that lets them reuse the same procedural steps on new symbols?,"The text says small models fail while larger (∼100B) models can 'repeat the same steps with the new symbols' and perform abstract manipulations on unseen symbols. To apply identical procedures to novel tokens requires a mechanism for composing operations over arbitrary inputs — i.e., systematic compositionality.",systematic compositionality
 knowledge distillation,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the most appropriate model-compression technique to transfer chain-of-thought behaviors from a large, costly model into a smaller, deployable one to reduce serving cost is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the most appropriate model-compression technique to transfer chain-of-thought behaviors from a large, costly model into a smaller, deployable one to reduce serving cost is knowledge distillation","Which model-compression technique is most appropriate to transfer chain-of-thought behaviors from a large, costly model into a smaller, deployable one to reduce serving cost?","['Finally, the emergence of chain-of-thought reasoning only at large model scales makes it costly to serve in real-world applications; further research could explore how to induce reasoning in smaller models.']","Familiarity with model compression and transfer methods (teacher-student frameworks), especially knowledge distillation as a way to transfer behaviors from large to small models.","Given serving large CoT-capable models is expensive, which standard compression/transfer method would you pick to get similar behavior in smaller models?","The direct way to compress behavioral capabilities learned by a large model into a smaller model is to train the small model to mimic the large model's outputs (including its chain-of-thought), which is known as knowledge distillation.",knowledge distillation
 rationale finetuning,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if the capacity for chain-of-thought arises in sufficiently large language models, then among the targeted interventions to give smaller models similar multi-step reasoning, either increasing their parameter counts or explicitly training them with step-by-step rationales, the most promising is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if the capacity for chain-of-thought arises in sufficiently large language models, then among the targeted interventions to give smaller models similar multi-step reasoning, either increasing their parameter counts or explicitly training them with step-by-step rationales, the most promising is rationale finetuning","If the capacity for chain-of-thought arises 'in sufficiently large language models,' which targeted intervention is most promising to give smaller models similar multi-step reasoning: increasing their parameter counts, or explicitly training them with step-by-step rationales?","['In particular, we show how such reasoning abilities emerge naturally in sufficiently large language models via a simple method called \\textit{chain-of-thought prompting}, where a few chain of thought demonstrations are provided as exemplars in prompting.']","Awareness that architectural scale can produce emergent abilities, and that supervised finetuning on specific behaviors (e.g., training on rationales or step-by-step explanations) can teach smaller models to imitate those behaviors.","Should one try to make small models bigger, or teach them explicitly by training on reasoning traces, to get the same capability?","The text indicates the ability naturally appears only at large scale; to replicate it in small models without expensive scaling, the most direct intervention is to train them explicitly on step-by-step rationales (i.e., rationale finetuning) so they learn to produce and use intermediate steps.",rationale finetuning
 incremental planning,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', because giving the chain of thought only after the answer does not improve performance, the online generation operation that chain-of-thought prompting is most plausibly performing during answer generation is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', because giving the chain of thought only after the answer does not improve performance, the online generation operation that chain-of-thought prompting is most plausibly performing during answer generation is incremental planning","Because giving the chain of thought only after the answer does not improve performance, what online generation operation is chain-of-thought prompting most plausibly performing during answer generation?","['Another potential benefit of chain-of-thought prompting could simply be that such prompts allow the model to better access relevant knowledge acquired during pretraining.', 'Therefore, we test an alternative configuration where the chain of thought prompt is only given after the answer, isolating whether the model actually depends on the produced chain of thought to give the final answer.', 'This variant performs about the same as the baseline, which suggests that the sequential reasoning embodied in the chain of thought is useful for reasons beyond just activating knowledge.', 'Another intuition is that chain of thought allows the model to spend more computation (i.e., intermediate tokens) on harder problems.']",Familiarity with online planning or incremental decision-making: generating intermediate steps that guide subsequent choices in sequence generation.,"Since the chain must be produced before the answer to help, what real-time mental operation is it likely enabling?","Because post-answer chains don't help, the chain must be used during generation to plan or guide the next token choices; this is best described as incremental (stepwise) planning during generation.",incremental planning
