target,probe,fact,question,answer,prior_knowledge,text_sentences,question_explanation,inference_explanation
 chain-of-thought prompting with large models,"When you must handle inference-time inputs that are longer than those in your few-shot exemplars, robust performance requires","When you must handle inference-time inputs that are longer than those in your few-shot exemplars, robust performance requires chain-of-thought prompting with large models","If you must handle inference-time inputs longer than those in your few-shot exemplars, what combination of prompting and model characteristic is required to achieve robust performance?",large models with chain-of-thought,"Knowing that longer inference-time inputs are out-of-domain in step count, that chain-of-thought aids generalization to longer inputs, and that sufficient model scale is necessary for the effect.","['We show that chain-of-thought prompting not only enables language models to perform symbolic reasoning tasks that are challenging in the standard prompting setting, but also facilitates length generalization to inference-time inputs longer than those seen in the few-shot exemplars.', 'As for the OOD evaluations, standard prompting fails for both tasks.', 'Hence, chain-of-thought prompting facilitates length generalization beyond seen chains of thought for language models of sufficient scale.', 'And yet, small models still fail---the ability to perform abstract manipulations on unseen symbols for these three tasks only arises at the scale of 100B model parameters.']",This asks what you should use if you expect test inputs that are longer than the training examples.,"Standard prompting fails OOD; chain-of-thought enables length generalization, but only for models of sufficient size, since small models still fail. Therefore, use chain-of-thought with large models."
 compositional reasoning,The underlying reasoning property that most plausibly explains chain-of-thought's ability to generalize out of distribution to longer sequence lengths in symbolic tasks is,The underlying reasoning property that most plausibly explains chain-of-thought's ability to generalize out of distribution to longer sequence lengths in symbolic tasks is compositional reasoning,What underlying reasoning property most plausibly explains chain-of-thought’s ability to generalize out of distribution to longer sequence lengths in symbolic tasks?,compositional reasoning,"Compositionality: solving complex problems by combining simpler steps can support length generalization; understanding that multi-step, modular reasoning tends to scale to longer sequences.","['We have explored chain-of-thought prompting as a simple mechanism for eliciting multi-step reasoning behavior in large language models.', 'Finally, we showed that for symbolic reasoning, chain-of-thought prompting facilitates OOD generalization to longer sequence lengths (\\cref{sec:symbolic-reasoning}).']",It asks which kind of reasoning style best supports handling longer problems than the model was directly exposed to.,"Because chain-of-thought elicits multi-step reasoning and succeeds on longer sequences, the most plausible explanation is compositional reasoning—building solutions from reusable steps."
 a bias toward underestimated capabilities,"If standard prompting only provides a lower bound on model capabilities, then evaluating models exclusively with standard prompting would introduce a bias toward","If standard prompting only provides a lower bound on model capabilities, then evaluating models exclusively with standard prompting would introduce a bias toward a bias toward underestimated capabilities","If standard prompting only provides a lower bound on model capabilities, what bias could arise when evaluating models exclusively with standard prompting?",underestimated capabilities,Understanding that a lower bound is a conservative estimate that does not capture the full extent of a system’s potential; familiarity with evaluation bias in measurement.,"['Chain-of-thought prompting appears to expand the set of tasks that large language models can perform successfully---in other words, our work underscores that standard prompting only provides a lower bound on the capabilities of large language models.']",It asks what kind of misjudgment might happen if you assess the model using a method known to give only a conservative estimate of its abilities.,"If an evaluation method gives a lower bound, it will systematically rate the model below its true potential—hence capabilities will be underestimated."
 worse performance,"When directly predicting final answers instead of using a stepwise approach, the likely outcome is","When directly predicting final answers instead of using a stepwise approach, the likely outcome is worse performance",What outcome is likely when directly predicting final answers instead of using a stepwise approach?,worse performance,"Basic comparative reasoning: if method A performs better than method B, then method B yields worse performance than A.","['In the domain of program synthesis, \\cite{nye2021show} leverage language models to predict the final outputs of Python programs via first line-to-line predicting the intermediate computational results, and show that their step-by-step prediction method performs better than directly predicting the final outputs.']",It asks what happens if you skip the step-by-step method and jump straight to the final output.,"Since step-by-step performs better than direct prediction, the direct approach results in worse performance."
 an increase in accuracy,"When applying chain-of-thought prompting to out-of-domain inputs that require more steps than those seen in exemplars, the expected trend in accuracy as model size increases is","When applying chain-of-thought prompting to out-of-domain inputs that require more steps than those seen in exemplars, the expected trend in accuracy as model size increases is an increase in accuracy","When applying chain-of-thought prompting to out-of-domain inputs with more steps than seen in exemplars, what is the expected trend in accuracy as model size increases?",increasing accuracy,Understanding that 'upward scaling curves' indicates better performance as models become larger.,"['With chain-of-thought prompting, language models achieve upward scaling curves (though performance is lower than in the in-domain setting).']",This asks how performance should change as the model gets bigger when using chain-of-thought on longer-than-seen inputs.,"The phrase 'upward scaling curves' implies that as model size increases, performance improves, which translates to increasing accuracy."
 the model's scale,"Even though the few-shot exemplars provide explicit solution steps for these toy tasks, the single factor that remains the primary bottleneck determining whether a model can reliably execute the required abstract manipulations is","Even though the few-shot exemplars provide explicit solution steps for these toy tasks, the single factor that remains the primary bottleneck determining whether a model can reliably execute the required abstract manipulations is the model's scale","Even though the few-shot exemplars provide explicit solution steps for these toy tasks, what single factor remains the primary bottleneck that determines whether a model can reliably execute the abstract manipulations required?",model scale,"Knowing that a 'bottleneck' is the limiting factor in performance, and that larger neural networks typically have greater capacity to represent and execute complex computations than smaller ones.","['Note that these in-domain evaluations are ""toy tasks"" in the sense that perfect solution structures are already provided by the chains of thought in the few-shot exemplars; all the model has to do is repeat the same steps with the new symbols in the test-time example.', 'And yet, small models still fail---the ability to perform abstract manipulations on unseen symbols for these three tasks only arises at the scale of 100B model parameters.']","This asks what main thing is limiting the models, even when they’re basically given the method to solve the problems.","Because the steps are already provided, failure by small models implies the constraint is their size/capacity; the text says the needed ability only appears at around 100B parameters, so model scale is the bottleneck."
 Multi-step reasoning,"Given that chain-of-thought prompting improves performance across arithmetic, commonsense, and symbolic reasoning, the shared mental process it most likely amplifies to benefit all these tasks is","Given that chain-of-thought prompting improves performance across arithmetic, commonsense, and symbolic reasoning, the shared mental process it most likely amplifies to benefit all these tasks is multi-step reasoning","Given that chain-of-thought prompting improves performance across arithmetic, commonsense, and symbolic reasoning, what shared mental process is it most likely amplifying to benefit all these tasks?",Multi-step reasoning,Knowing that these tasks typically require breaking problems into successive steps and that multi-step reasoning denotes such stepwise problem solving.,"['We explore how generating a \\textit{chain of thought}---a series of intermediate reasoning steps---significantly improves the ability of large language models to perform complex reasoning.', 'Experiments on three large language models show that chain-of-thought prompting improves performance on a range of arithmetic, commonsense, and symbolic reasoning tasks.']",It asks what common thinking skill is being strengthened across very different kinds of problems.,"Since the method explicitly elicits intermediate steps and helps many reasoning tasks, it’s most directly supporting step-by-step (multi-step) reasoning."
 a natural language intermediary,"A unifying mechanism that likely enables chain-of-thought prompting to transfer across arithmetic, commonsense, and symbolic reasoning tasks is","A unifying mechanism that likely enables chain-of-thought prompting to transfer across arithmetic, commonsense, and symbolic reasoning tasks is a natural language intermediary","What unifying mechanism likely enables chain-of-thought prompting to transfer across arithmetic, commonsense, and symbolic reasoning tasks?",natural language intermediary,"The idea that shared intermediate representations can enable transfer across diverse tasks; recognizing language as a flexible, general-purpose representation of reasoning steps.","['We have explored chain-of-thought prompting as a simple mechanism for eliciting multi-step reasoning behavior in large language models.', 'We first saw that chain-of-thought prompting improves performance by a large margin on arithmetic reasoning, yielding improvements that are much stronger than ablations and robust to different annotators, exemplars, and language models (\\cref{sec:arithmetic-reasoning}).', 'Next, experiments on commonsense reasoning underscored how the linguistic nature of chain-of-thought reasoning makes it generally applicable (\\cref{sec:commonsense-reasoning}).', 'Finally, we showed that for symbolic reasoning, chain-of-thought prompting facilitates OOD generalization to longer sequence lengths (\\cref{sec:symbolic-reasoning}).']",It asks what shared element allows the same technique to help in very different types of reasoning problems.,"Because its effectiveness is tied to the linguistic nature of reasoning and it helps across diverse tasks, the unifying mechanism is using natural language as an intermediate representation."
 explicit reasoning steps,"To enhance reasoning without altering inputs, the structural element that should be added to model generations is","To enhance reasoning without altering inputs, the structural element that should be added to model generations is explicit reasoning steps","To enhance reasoning without altering inputs, what structural element should be added to model generations?",explicit reasoning steps,"Knowing that adding structured intermediate reasoning to outputs guides models through complex tasks, often called chain-of-thought.","['Whereas these approaches improve or augment the input part of the prompt (e.g., instructions that are prepended to inputs), our work takes the orthogonal direction of augmenting the outputs of language models with a chain of thought.', '\\cite{ling-etal-2017-program} pioneer the idea of using natural language rationales to solve math word problems through a series of intermediate steps.']",It asks what you would add to the text the model produces to boost reasoning without touching the input.,"The paper augments outputs with a chain of thought and earlier work uses intermediate steps; together, this implies adding explicit reasoning steps to generations."
 the output side,"To stay complementary to input-focused prompting methods, the paper primarily changes the model's behavior on","To stay complementary to input-focused prompting methods, the paper primarily changes the model's behavior on the output side","To stay complementary to input-focused prompting methods, what part of model behavior does this paper primarily change?",output side,"Understanding that prompting involves an input (prompt text) and an output (generated text), and that orthogonal methods target different parts so they can be combined.","['Since the popularization of few-shot prompting as given by \\citet{brown2020language}, several general approaches have improved the prompting ability of models, such as automatically learning prompts \\citep{lester-etal-2021-power} or giving models instructions describing a task \\citep{wei2021finetuned,sanh2021multitask,ouyang2022training}.', 'Whereas these approaches improve or augment the input part of the prompt (e.g., instructions that are prepended to inputs), our work takes the orthogonal direction of augmenting the outputs of language models with a chain of thought.']",It asks which side of the model pipeline (input or output) this paper changes to differ from prior methods.,"Prior work alters the input; the text says this paper is orthogonal by augmenting outputs. Therefore, it modifies the output side."
 reasoning process,"If outputs are augmented with a chain of thought, an additional implicit target is generated beyond the final answer: the","If outputs are augmented with a chain of thought, an additional implicit target is generated beyond the final answer: the reasoning process","If outputs are augmented with a chain of thought, what additional implicit target is generated beyond the final answer?",reasoning process,Understanding that sequence models learn to generate all tokens in the target output; including intermediate reasoning makes the reasoning part of the target.,"['Whereas these approaches improve or augment the input part of the prompt (e.g., instructions that are prepended to inputs), our work takes the orthogonal direction of augmenting the outputs of language models with a chain of thought.', '\\cite{ling-etal-2017-program} pioneer the idea of using natural language rationales to solve math word problems through a series of intermediate steps.']",It asks what the model is effectively trained or guided to produce in addition to the final solution.,Augmenting outputs with a chain of thought means generating intermediate steps; thus the reasoning process becomes an implicit target alongside the final answer.
 more research,"By broadening the range of reasoning tasks language models can perform, the work is intended to amplify activity in the research community, namely","By broadening the range of reasoning tasks language models can perform, the work is intended to amplify activity in the research community, namely more research","By broadening the range of reasoning tasks language models can perform, what dynamic in the research community is the work intended to amplify?",more research,Understanding that expanding capabilities often stimulates increased scholarly interest and follow-on studies.,['Broadening the range of reasoning tasks that language models can perform will hopefully inspire further work on language-based approaches to reasoning.'],This asks what overall effect on researcher activity is being sought by expanding what models can do.,"The text explicitly states the goal is to 'inspire further work,' which translates to encouraging more research activity."
 the pretrain-then-adapt paradigm,"Compared to earlier training from scratch, later work adopted","Compared to earlier training from scratch, later work adopted the pretrain-then-adapt paradigm","Compared to earlier training from scratch, what overarching training paradigm did later work adopt?",pretrain-then-adapt,Understanding that finetuning a pretrained model is an instance of a pretrain-then-adapt training paradigm.,[' \\citet{cobbe2021training} extend \\citet{ling-etal-2017-program} by creating a larger dataset and using it to finetune a pretrained language model rather than training a model from scratch.'],It asks for the high-level training approach shift made by later work relative to earlier work.,Moving from training from scratch to finetuning a pretrained model corresponds to a pretrain-then-adapt paradigm.
 In-context learning,"Given that the method works by providing a few chain-of-thought demonstrations as exemplars in the prompt and that reasoning abilities emerge naturally in sufficiently large models under this setup, the approach induces reasoning behavior at inference time without weight updates by relying on the foundational capability of large language models known as","Given that the method works by providing a few chain-of-thought demonstrations as exemplars in the prompt and that reasoning abilities emerge naturally in sufficiently large models under this setup, the approach induces reasoning behavior at inference time without weight updates by relying on the foundational capability of large language models known as in-context learning","Given that the method works by providing a few chain-of-thought demonstrations as exemplars in the prompt and that reasoning abilities emerge naturally in sufficiently large models under this setup, what foundational capability of large language models does this approach depend on to induce reasoning behavior at inference time without weight updates?",In-context learning,Understanding that large language models can adapt their behavior by conditioning on examples in the prompt (in-context learning) without changing model parameters.,"['In particular, we show how such reasoning abilities emerge naturally in sufficiently large language models via a simple method called \\textit{chain-of-thought prompting}, where a few chain of thought demonstrations are provided as exemplars in prompting.', 'We explore how generating a \\textit{chain of thought}---a series of intermediate reasoning steps---significantly improves the ability of large language models to perform complex reasoning.']","It asks which built-in ability lets a model pick up how to reason just by seeing a few examples in the prompt, without retraining.","Because the paper elicits new reasoning behavior by supplying exemplars in the prompt, the mechanism is the model's ability to learn patterns from context—i.e., in-context learning."
 cost-performance tradeoff,"Because chain-of-thought emerges only at large model scales and is costly to serve, yet is generally applicable across tasks, deploying it forces a key trade-off between cost and performance: a","Because chain-of-thought emerges only at large model scales and is costly to serve, yet is generally applicable across tasks, deploying it forces a key trade-off between cost and performance: a cost-performance tradeoff","Because chain-of-thought emerges only at large model scales and is costly to serve, yet is generally applicable across tasks, what key deployment trade-off does this create?",cost-performance tradeoff,"Recognizing that deploying larger models increases computational and monetary costs; understanding that broader applicability typically improves performance across tasks, creating a trade-off between benefits and costs.","['Next, experiments on commonsense reasoning underscored how the linguistic nature of chain-of-thought reasoning makes it generally applicable (\\cref{sec:commonsense-reasoning}).', 'Finally, the emergence of chain-of-thought reasoning only at large model scales makes it costly to serve in real-world applications; further research could explore how to induce reasoning in smaller models.']",It asks what kind of balance must be considered when a beneficial technique is widely useful but expensive to run.,"General applicability suggests broad performance gains, but large-scale serving is costly; thus, deployment requires balancing cost against performance benefits."
 scaling model size,"Because reasoning abilities emerge in sufficiently large models via a simple prompting method, the factor more crucial for unlocking complex reasoning is","Because reasoning abilities emerge in sufficiently large models via a simple prompting method, the factor more crucial for unlocking complex reasoning is scaling model size","Because reasoning abilities emerge in sufficiently large models via a simple prompting method, which factor is more crucial for unlocking complex reasoning: scaling model size or adding intricate training pipelines?",Model scale,Recognizing that 'sufficiently large' refers to model size/parameter count and that a 'simple method' implies minimal changes to training procedures.,"['In particular, we show how such reasoning abilities emerge naturally in sufficiently large language models via a simple method called \\textit{chain-of-thought prompting}, where a few chain of thought demonstrations are provided as exemplars in prompting.']",It asks whether making the model bigger or complicating training is the main driver of improved reasoning.,"The text ties the emergence of reasoning to sufficient size and a simple prompting method, indicating scale—not complex training—as the key lever."
 dependence on exact phrasing,"From the robustness analyses across different annotators and exemplar sources, the authors conclude that chain-of-thought success does not require","From the robustness analyses across different annotators and exemplar sources, the authors conclude that chain-of-thought success does not require dependence on exact phrasing","From the robustness analyses across different annotators and exemplar sources, which dependency is notably unnecessary for chain-of-thought success?",Exact phrasing,Recognizing that 'linguistic style' refers to how the reasoning is worded and phrased.,"['Although there is variance among different chain of thought annotations, as would be expected when using exemplar-based prompting \\citep{le-scao-rush-2021-many,reynolds2021prompt,zhao2021calibrate}, all sets of chain of thought prompts outperform the standard baseline by a large margin.', 'This result implies that successful use of chain of thought does not depend on a particular linguistic style.', '\\cref{fig:bar-robustness-analysis} shows that these prompts performed comparably with our manually written exemplars, also substantially outperforming standard prompting.']","It asks what the method does not rely on, despite different people writing the chains of thought.","Because different writing styles and sources still outperform the baseline similarly, success does not depend on the exact wording used."
 pre-answer reasoning,"Because revealing the chain of thought only after the final answer leads to baseline-like performance, achieving the chain-of-thought gains requires","Because revealing the chain of thought only after the final answer leads to baseline-like performance, achieving the chain-of-thought gains requires pre-answer reasoning","Since providing the chain of thought only after the answer yields baseline-like performance, what is necessary to obtain the chain-of-thought gains?",Pre-answer reasoning,"Producing reasoning before answering can influence the model’s decision process, whereas post hoc explanations do not guide the answer.","['Another potential benefit of chain-of-thought prompting could simply be that such prompts allow the model to better access relevant knowledge acquired during pretraining.', 'This variant performs about the same as the baseline, which suggests that the sequential reasoning embodied in the chain of thought is useful for reasons beyond just activating knowledge.']",It asks what must happen during generation for chain-of-thought to help.,"Because adding the chain-of-thought only after the answer does not help, the useful effect comes from reasoning produced before the answer—i.e., pre-answer reasoning."
 task-agnostic,"Because the same prompting strategy improves arithmetic, commonsense, and symbolic reasoning, the technique's applicability across problem types is best characterized as","Because the same prompting strategy improves arithmetic, commonsense, and symbolic reasoning, the technique's applicability across problem types is best characterized as task-agnostic","Because the same prompting strategy improves arithmetic, commonsense, and symbolic reasoning, what best characterizes the technique's applicability across problem types?",Task-agnostic,Understanding that a task-agnostic method applies broadly without task-specific customization or retraining.,"['Experiments on three large language models show that chain-of-thought prompting improves performance on a range of arithmetic, commonsense, and symbolic reasoning tasks.']",It asks whether the approach seems specialized to one area or broadly useful across many.,"Improvement across diverse task types indicates the technique generalizes rather than being narrowly tailored—i.e., it is task-agnostic."
 Format alignment,"Because AQuA is multiple choice while the others are free response, using a different exemplar set for AQuA reflects the general prompting principle of","Because AQuA is multiple choice while the others are free response, using a different exemplar set for AQuA reflects the general prompting principle of format alignment","Because AQuA is multiple choice while others are free response, what general prompting principle is reflected by using a different exemplar set for AQuA?",Format alignment,Effective prompts should match the task’s answer format and constraints; multiple-choice tasks often benefit from exemplars consistent with that format.,"['To investigate whether chain-of-thought prompting in this form can successfully elicit successful reasoning across a range of math word problems, we used this single set of eight chain of thought exemplars for all benchmarks except AQuA, which is multiple choice instead of free response.', 'For AQuA, we used four exemplars and solutions from the training set, as given in Appendix \\cref{tab:appendix-aqua-prompt}.']",It asks you to identify the general strategy illustrated by adapting exemplars for a multiple-choice task.,Switching exemplars because the task format differs reflects aligning the prompt content and structure to the task format.
 problem complexity,"Across datasets like GSM8K and SingleOp, the magnitude of chain-of-thought gains is primarily governed by","Across datasets like GSM8K and SingleOp, the magnitude of chain-of-thought gains is primarily governed by problem complexity",What task characteristic primarily governs the magnitude of chain-of-thought gains across datasets like GSM8K and SingleOp?,Problem complexity,Understanding that datasets can vary in difficulty (multi-step versus single-step) and that performance gains can depend on difficulty.,"['Second, chain-of-thought prompting has larger performance gains for more-complicated problems.', 'For instance, for GSM8K (the dataset with the lowest baseline performance), performance more than doubled for the largest GPT and PaLM models.', 'On the other hand, for SingleOp, the easiest subset of MAWPS which only requires a single step to solve, performance improvements were either negative or very small (see Appendix \\cref{tab:mawps-subsets}).']",It asks what property of tasks determines how much benefit chain-of-thought gives.,"Gains increase on GSM8K (hard) and diminish on SingleOp (easy), indicating that task complexity is the key modulator."
 Direct translatability,"The relative success of ""equation only"" on easy one- or two-step datasets implies that the text-to-equation mapping in these datasets exhibits","The relative success of ""equation only"" on easy one- or two-step datasets implies that the text-to-equation mapping in these datasets exhibits direct translatability","What does the relative success of ""equation only"" on easy one- or two-step datasets imply about how their text maps to formal equations?",Direct translatability,Simple problems often permit a straightforward mapping from words to equations without extensive intermediate reasoning.,"['For datasets of one-step or two-step problems, however, we find that equation only prompting does improve performance, since the equation can be easily derived from the question (see Appendix \\cref{tab:ablations-arithmetic}).']",It asks what the ablation result suggests about the ease of converting text into equations for simple problems.,"Because 'equation only' works on simple datasets where equations are easily derived, the text-to-equation mapping is directly translatable for those cases."
 stepwise reasoning,"Considering the ablations, the single ingredient that most directly explains why chain-of-thought prompting improves GSM8K performance, whereas ""equation only,"" ""variable compute only,"" and ""chain of thought after answer"" do not, is","Considering the ablations, the single ingredient that most directly explains why chain-of-thought prompting improves GSM8K performance, whereas ""equation only,"" ""variable compute only,"" and ""chain of thought after answer"" do not, is stepwise reasoning","Considering the ablations, what single ingredient most directly explains why chain-of-thought prompting improves GSM8K performance when ""equation only,"" ""variable compute only,"" and ""chain of thought after answer"" do not?",Stepwise reasoning,"Understanding what each ablation isolates: 'equation only' focuses on producing a formula, 'variable compute only' controls token budget without content, and 'chain of thought after answer' isolates knowledge activation without guiding reasoning. Knowing that GSM8K problems require multi-step semantic reasoning.","['cref{fig:bar_ablation} shows that equation only prompting does not help much for GSM8K, which implies that the semantics of the questions in GSM8K are too challenging to directly translate into an equation without the natural language reasoning steps in chain of thought.', 'This variant performs about the same as the baseline, which suggests that variable computation by itself is not the reason for the success of chain-of-thought prompting, and that there appears to be utility from expressing intermediate steps via natural language.', 'This variant performs about the same as the baseline, which suggests that the sequential reasoning embodied in the chain of thought is useful for reasons beyond just activating knowledge.']","It asks you to identify what aspect of chain-of-thought actually drives better results, given that other similar strategies fail on GSM8K.","Since removing the natural-language, sequential steps (via 'equation only' or tokens without content) does not help, and providing the chain of thought only after the answer also does not help, the remaining unique, causal ingredient is the explicit, step-by-step reasoning before the answer."
 very large scales,"Based on the scaling results, chain-of-thought prompts start to confer measurable gains only at","Based on the scaling results, chain-of-thought prompts start to confer measurable gains only at very large scales","Based on the scaling results, under what model-scale condition do chain-of-thought prompts start to confer measurable gains?",Very large scale,Meaning of 'emergent ability' and how model size affects capability; understanding that 'small models' vs '∼100B parameters' contrasts different scales.,"['First, \\cref{fig:main-math} shows that chain-of-thought prompting is an emergent ability of model scale \\citep{wei2022emergent}.', 'That is, chain-of-thought prompting does not positively impact performance for small models, and only yields performance gains when used with models of $\\sim$100B parameters.']",It asks when (at what size) models begin to benefit from chain-of-thought prompting.,"The text says small models get no gains and that gains appear around ~100B parameters, which collectively implies that only very large models begin to benefit."
 Hallucinated reasoning,"When small models output fluent but illogical chains that hurt accuracy, this reflects the failure mode of","When small models output fluent but illogical chains that hurt accuracy, this reflects the failure mode of hallucinated reasoning","When small models output fluent but illogical chains that hurt accuracy, what failure mode does this reflect?",Hallucinated reasoning,"Understanding that 'hallucination' in language models refers to confident but incorrect or fabricated content, including flawed reasoning.","['We qualitatively found that models of smaller scale produced fluent but illogical chains of thought, leading to lower performance than standard prompting.']",It asks you to name the type of error when a model sounds confident but reasons incorrectly.,"Fluent yet illogical chains that reduce performance are characteristic of hallucination—here, specifically hallucinated reasoning."
 High sample efficiency,"Given that just $8$ chain-of-thought exemplars enable state-of-the-art math problem solving that surpasses a fine-tuned system with a verifier, this implies the approach exhibits","Given that just $8$ chain-of-thought exemplars enable state-of-the-art math problem solving that surpasses a fine-tuned system with a verifier, this implies the approach exhibits high sample efficiency","If just eight chain-of-thought exemplars enable state-of-the-art math problem solving that surpasses a finetuned system with a verifier, what does this imply about the approach's data efficiency?",High sample efficiency,Understanding that sample efficiency means achieving strong performance with very few examples.,"['For instance, prompting a PaLM 540B with just eight chain-of-thought exemplars achieves state-of-the-art accuracy on the GSM8K benchmark of math word problems, surpassing even finetuned GPT-3 with a verifier.']",It asks what it says about efficiency when very few prompt examples beat a heavily trained and verified system.,"Reaching state-of-the-art with only eight exemplars shows the method learns effectively from minimal prompt data, indicating high sample efficiency."
 Majority voting,"Given the greedy decoding setup and the follow-up finding, the alternative generation strategy that would likely yield higher accuracy is","Given the greedy decoding setup and the follow-up finding, the alternative generation strategy that would likely yield higher accuracy is Majority voting","Given the greedy decoding setup and follow-up finding, which alternative generation strategy would likely yield higher accuracy?",Majority voting,Knowing that aggregating across multiple sampled outputs via a majority decision can improve reliability (self-consistency).,['We sample from the models via greedy decoding (though follow-up work shows chain-of-thought prompting can be improved by taking the majority final answer over many sampled generations \\citep{wang2022self}).'],It asks which different way to generate answers could improve results beyond greedy decoding.,The text indicates gains from taking the majority across multiple generations; this corresponds to using majority voting over sampled outputs.
 reduced reliance on external verification,"Since a prompted very large model outperforms a finetuned model equipped with a verifier on GSM8K, it implies that pairing scale with chain-of-thought prompting leads to","Since a prompted very large model outperforms a finetuned model equipped with a verifier on GSM8K, it implies that pairing scale with chain-of-thought prompting leads to reduced reliance on external verification","Since a prompted very large model outperforms a finetuned model equipped with a verifier on GSM8K, what can be inferred about the dependence on external verification when pairing scale with chain-of-thought prompting?",Reduced reliance,Knowing that verifiers are external components used to check or select answers; outperforming a system that uses one suggests needing them less.,"['For instance, prompting a PaLM 540B with just eight chain-of-thought exemplars achieves state-of-the-art accuracy on the GSM8K benchmark of math word problems, surpassing even finetuned GPT-3 with a verifier.']",It asks what this result implies about how necessary an extra checking module is when using large models with step-by-step prompting.,"Because the prompted model wins without relying on a verifier, it suggests that, at sufficient scale, external verification is less necessary."
 deeper comprehension,"Scaling PaLM from $62\text{B}$ to $540\text{B}$ fixes many 'one-step missing' and 'semantic understanding' errors, indicating that the underlying capability most strengthened by scale is","Scaling PaLM from $62\text{B}$ to $540\text{B}$ fixes many 'one-step missing' and 'semantic understanding' errors, indicating that the underlying capability most strengthened by scale is deeper comprehension","If scaling PaLM from 62B to 540B fixes many ""one-step missing"" and ""semantic understanding"" errors, what underlying capability is most strengthened by scale?",Deeper comprehension,Fixing semantic understanding errors indicates improved comprehension; fixing missing steps indicates better coverage of reasoning steps.,['The summary is that scaling PaLM to 540B fixes a large portion of one-step missing and semantic understanding errors in the 62B model (see \\cref{subsec:why-scale-helps}).'],It asks what core ability improved when the bigger model corrected specific types of errors seen in the smaller one.,"Reducing semantic understanding and missing-step errors implies the larger model better comprehends problem statements and executes more complete reasoning—i.e., deeper comprehension."
