document,row_1based_before_drop,old_target,new_target,method,probe_repaired,old_probe,new_probe
arxiv/OFT,168, $\bm{z}=\bm{W}^\top\bm{x}$,\bm{z}=\bm{W}^\top\bm{x},strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer with weight matrix $\bm{W}\in\mathbb{R}^{d\times n}$ and input vector $\bm{x}\in\mathbb{R}^d$, the output vector $\bm{z}\in\mathbb{R}^n$ is computed as","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer with weight matrix $\bm{W}\in\mathbb{R}^{d\times n}$ and input vector $\bm{x}\in\mathbb{R}^d$, the output vector $\bm{z}\in\mathbb{R}^n$ is computed as"
arxiv/OFT,169,$\bm{x}\in\mathbb{R}^d$.,\bm{x}\in\mathbb{R}^d,strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the fully connected layer example used to explain OFT, the notation for the input vector is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the fully connected layer example used to explain OFT, the notation for the input vector is"
arxiv/OFT,171, $\text{HE}(\bm{W}):= \sum_{i\neq j} \|\hat{\bm{w}}_i-\hat{\bm{w}}_j\|^{-1}$,\text{HE}(\bm{W}):= \sum_{i\neq j} \|\hat{\bm{w}}_i-\hat{\bm{w}}_j\|^{-1},strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the hyperspherical energy of a fully connected layer $\bm{W}$ in terms of its normalized neurons $\hat{\bm{w}}_i$ is defined as","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the hyperspherical energy of a fully connected layer $\bm{W}$ in terms of its normalized neurons $\hat{\bm{w}}_i$ is defined as"
arxiv/OFT,174, $\bm{W}=\bm{R}\bm{W}^0$,\bm{W}=\bm{R}\bm{W}^0,strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when the minimum of the hyperspherical energy matching objective is achieved up to a rotation or reflection, the equation gives the relationship between the fully connected layer weights $\bm{W}$ and the pretrained weights $\bm{W}^0$ as","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when the minimum of the hyperspherical energy matching objective is achieved up to a rotation or reflection, the equation gives the relationship between the fully connected layer weights $\bm{W}$ and the pretrained weights $\bm{W}^0$ as"
arxiv/OFT,179, $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$,\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x},strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for a pretrained fully connected layer in OFT, the new forward pass expression after replacing the original weights with the orthogonally finetuned weights is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for a pretrained fully connected layer in OFT, the new forward pass expression after replacing the original weights with the orthogonally finetuned weights is"
arxiv/OFT,180, $\bm{R}^\top\bm{R}=\bm{R}\bm{R}^\top=\bm{I}$.,\bm{R}^\top\bm{R}=\bm{R}\bm{R}^\top=\bm{I},strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the constraint imposed on the orthogonal matrix $\bm{R}$ in the OFT formulation for a pretrained fully connected layer is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the constraint imposed on the orthogonal matrix $\bm{R}$ in the OFT formulation for a pretrained fully connected layer is"
arxiv/OFT,195, $\text{O}(\frac{d}{r})$,\text{O}(\frac{d}{r}),strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the block-diagonal parameterization of the orthogonal matrix $\bm{R}$ with $r$ blocks, each block $\bm{R}_i$ belongs to the orthogonal group","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the block-diagonal parameterization of the orthogonal matrix $\bm{R}$ with $r$ blocks, each block $\bm{R}_i$ belongs to the orthogonal group"
arxiv/OFT,199, $d(d-1)/2$,d(d-1)/2,strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", an orthogonal matrix of size $d\times d$ has","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", an orthogonal matrix of size $d\times d$ has"
arxiv/OFT,203, $r'(d+n)$,r'(d+n),strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for LoRA with a low-rank parameter $r'$, the number of trainable parameters is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for LoRA with a low-rank parameter $r'$, the number of trainable parameters is"
arxiv/OFT,209, $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$,\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x},strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in COFT's forward pass, the expression for the transformed output $\bm{z}$ in terms of $\bm{W}$, $\bm{x}$, $\bm{R}$, and the pretrained weight matrix $\bm{W}^0$ under the orthogonality and $\epsilon$-deviation constraints is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in COFT's forward pass, the expression for the transformed output $\bm{z}$ in terms of $\bm{W}$, $\bm{x}$, $\bm{R}$, and the pretrained weight matrix $\bm{W}^0$ under the orthogonality and $\epsilon$-deviation constraints is"
arxiv/OFT,210, $\bm{R}^\top\bm{R}=\bm{R}\bm{R}^\top=\bm{I}$,\bm{R}^\top\bm{R}=\bm{R}\bm{R}^\top=\bm{I},strip_outer_dollars,no,"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", COFT defines its forward pass as $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$ with both an orthogonality condition and an $\epsilon$-deviation constraint. The constraint on $\bm{R}$ that enforces orthogonality in this forward pass is","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", COFT defines its forward pass as $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$ with both an orthogonality condition and an $\epsilon$-deviation constraint. The constraint on $\bm{R}$ that enforces orthogonality in this forward pass is"
arxiv/OFT,213, $\|\bm{Q}-\bm{0}\|\leq\epsilon'$,\|\bm{Q}-\bm{0}\|\leq\epsilon',strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", after moving the deviation constraint $\|\bm{R}-\bm{I}\|\leq\epsilon$ inside the Cayley transform for the orthogonal matrix $\bm{R}$, the equivalent constraint imposed on $\bm{Q}$ is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", after moving the deviation constraint $\|\bm{R}-\bm{I}\|\leq\epsilon$ inside the Cayley transform for the orthogonal matrix $\bm{R}$, the equivalent constraint imposed on $\bm{Q}$ is"
arxiv/OFT,241, $(\bm{R}-\bm{I})\bm{W}^0$.,(\bm{R}-\bm{I})\bm{W}^0,strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when the authors rewrite OFT's forward pass in their connection to LoRA, the expression analogous to LoRA's low-rank weight update is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when the authors rewrite OFT's forward pass in their connection to LoRA, the expression analogous to LoRA's low-rank weight update is"
arxiv/OFT,242, $\bm{z}=(\bm{R}\bm{W}^0)^\top\bm{x}=(\bm{W}^0+(\bm{R}-\bm{I})\bm{W}^0)^\top\bm{x}$,\bm{z}=(\bm{R}\bm{W}^0)^\top\bm{x}=(\bm{W}^0+(\bm{R}-\bm{I})\bm{W}^0)^\top\bm{x},strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT's forward pass can be rewritten in terms of the pretrained weight matrix $\bm{W}^0$ and the orthogonal transform $\bm{R}$ as","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT's forward pass can be rewritten in terms of the pretrained weight matrix $\bm{W}^0$ and the orthogonal transform $\bm{R}$ as"
arxiv/OFT,259, the learned orthogonal matrix \bm{R}.,the learned orthogonal matrix $\bm{R}$,source_math_wrap,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", during the inference stage, the pretrained weight matrix $\bm{W}^0$ is multiplied by","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", during the inference stage, the pretrained weight matrix $\bm{W}^0$ is multiplied by"
arxiv/OFT,260, $\bm{W}=\bm{R}\bm{W}^0$,\bm{W}=\bm{R}\bm{W}^0,strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the inference stage of OFT, the authors obtain the equivalent weight matrix by multiplying the learned orthogonal matrix $\bm{R}$ into the pretrained weight matrix $\bm{W}^0$, which is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the inference stage of OFT, the authors obtain the equivalent weight matrix by multiplying the learned orthogonal matrix $\bm{R}$ into the pretrained weight matrix $\bm{W}^0$, which is"
arxiv/QLoRA,65, $\frac{\mathbf{X}^{\text{Int8}}}{c^{\text{FP32}}}$,\frac{\mathbf{X}^{\text{Int8}}}{c^{\text{FP32}}},strip_outer_dollars,no,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the expression given for the dequantization function $\text{dequant}(c^{\text{FP32}}, \mathbf{X}^{\text{Int8}})$ before it is shown to equal $\mathbf{X}^{\text{FP32}}$ is","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the expression given for the dequantization function $\text{dequant}(c^{\text{FP32}}, \mathbf{X}^{\text{Int8}})$ before it is shown to equal $\mathbf{X}^{\text{FP32}}$ is"
arxiv/QLoRA,66, $\mathbf{X}^{\text{FP32}}$.,\mathbf{X}^{\text{FP32}},strip_outer_dollars,no,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the description of quantizing an FP32 tensor into an Int8 tensor, the dequantization function $\text{dequant}(c^{\text{FP32}}, \mathbf{X}^{\text{Int8}})$ recovers the FP32 tensor","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the description of quantizing an FP32 tensor into an Int8 tensor, the dequantization function $\text{dequant}(c^{\text{FP32}}, \mathbf{X}^{\text{Int8}})$ recovers the FP32 tensor"
arxiv/QLoRA,78, $s\mathbf{X}\mathbf{L}_1\mathbf{L}_2$,s\mathbf{X}\mathbf{L}_1\mathbf{L}_2,strip_outer_dollars,no,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", for a projection ${\mathbf{X} \mathbf{W} = \mathbf{Y}}$, the expression for $\mathbf{Y}$ adds the term","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", for a projection ${\mathbf{X} \mathbf{W} = \mathbf{Y}}$, the expression for $\mathbf{Y}$ adds the term"
arxiv/QLoRA,116, $\frac{1}{2}\left( Q_X\left(\frac{i}{2^k+1}\right) + Q_X\left(\frac{i+1}{2^k+1}\right)\right)$.,\frac{1}{2}\left( Q_X\left(\frac{i}{2^k+1}\right) + Q_X\left(\frac{i+1}{2^k+1}\right)\right),strip_outer_dollars,no,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the $2^k$ values $q_i$ of the data type are estimated using the quantile function $Q_X(\cdot)$ of the standard normal distribution $N(0,1)$ by","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the $2^k$ values $q_i$ of the data type are estimated using the quantile function $Q_X(\cdot)$ of the standard normal distribution $N(0,1)$ by"
arxiv/fa3,62,$\mathbb{R}^{N \times d}$.,\mathbb{R}^{N \times d},strip_outer_dollars,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the single-head attention formulation, $\mathbf{Q}, \mathbf{K}, \mathbf{V}$ denote the query, key, and value input sequences for a head and belong to","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the single-head attention formulation, $\mathbf{Q}, \mathbf{K}, \mathbf{V}$ denote the query, key, and value input sequences for a head and belong to"
arxiv/fa3,71,$\mathbf{P}^\top \mathbf{dO}$,\mathbf{P}^\top \mathbf{dO},strip_outer_dollars,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$, $\mathbf{dV}$ is computed as","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$, $\mathbf{dV}$ is computed as"
arxiv/fa3,72, $\alpha \mathbf{dS} \mathbf{K}$.,\alpha \mathbf{dS} \mathbf{K},strip_outer_dollars,no,"According to the paper **""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision""**, in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$ and the chain-rule expressions for $\mathbf{dV}$, $\mathbf{dP}$, and $\mathbf{dS}$, $\mathbf{dQ}$ is computed as","According to the paper **""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision""**, in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$ and the chain-rule expressions for $\mathbf{dV}$, $\mathbf{dP}$, and $\mathbf{dS}$, $\mathbf{dQ}$ is computed as"
arxiv/fa3,120, $\mathbb{R}^{B_r \times d}$,\mathbb{R}^{B_r \times d},strip_outer_dollars,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the shape of $\mathbf{Q}_i$ in the requirements of the FlashAttention-3 forward pass without intra-consumer overlapping — CTA view algorithm is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the shape of $\mathbf{Q}_i$ in the requirements of the FlashAttention-3 forward pass without intra-consumer overlapping — CTA view algorithm is"
arxiv/fa3,155, $\mathbb{R}^{B_r \times d}$.,\mathbb{R}^{B_r \times d},strip_outer_dollars,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the consumer warpgroup forward pass, the shape of the matrix $\mathbf{Q}_i$ in the requirement that $\mathbf{Q}_i$, $\mathbf{K}$, and $\mathbf{V}$ are matrices in HBM is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the consumer warpgroup forward pass, the shape of the matrix $\mathbf{Q}_i$ in the requirement that $\mathbf{Q}_i$, $\mathbf{K}$, and $\mathbf{V}$ are matrices in HBM is"
arxiv/fa3,156,$(0)$.,(0),strip_outer_dollars,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the FlashAttention-3 consumer warpgroup forward pass algorithm, during on-chip initialization, \mathbf{O}_i is set to","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the FlashAttention-3 consumer warpgroup forward pass algorithm, during on-chip initialization, \mathbf{O}_i is set to"
arxiv/fa3,157, $(-\infty)$.,(-\infty),strip_outer_dollars,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the on-chip initialization of the consumer warpgroup forward pass, the value assigned to $m_i$ is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the on-chip initialization of the consumer warpgroup forward pass, the value assigned to $m_i$ is"
arxiv/fa3,167, $\tilde{\mathbf{P}}_{\mathrm{last}} \mathbf{V}_{T_c - 1}$.,\tilde{\mathbf{P}}_{\mathrm{last}} \mathbf{V}_{T_c - 1},strip_outer_dollars,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the epilogue of the \cref{alg:flash3_wgmma} algorithm, after waiting for $\mathbf{V}_{T_c - 1}$ to be loaded in shared memory, the term added to $\mathbf{O}_{i}$ using WGMMA is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the epilogue of the \cref{alg:flash3_wgmma} algorithm, after waiting for $\mathbf{V}_{T_c - 1}$ to be loaded in shared memory, the term added to $\mathbf{O}_{i}$ using WGMMA is"
arxiv/fa3,206,"columns 0, 1, 8, and 9.",columns $0189$,source_compact_notation,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the register permutation for the logical shape of the P tile, become the first four columns after the maneuver.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the register permutation for the logical shape of the P tile, become the first four columns after the maneuver."
arxiv/fa3,215, a random orthogonal matrix \mathbf{M},a random orthogonal matrix $\mathbf{M}$,source_math_wrap,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the incoherent processing step used to even out outliers before quantizing to FP8, \mathbf{Q} and \mathbf{K} are multiplied with","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the incoherent processing step used to even out outliers before quantizing to FP8, \mathbf{Q} and \mathbf{K} are multiplied with"
arxiv/fa3,231,75%.,75\%,replace_%_strip_period,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the fraction of theoretical maximum TFLOPs/s that FlashAttention-3 reaches on H100 GPUs is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the fraction of theoretical maximum TFLOPs/s that FlashAttention-3 reaches on H100 GPUs is"
arxiv/fa3,248, $4 \cdot \text{seqlen}^2 \cdot \text{head dimension} \cdot \text{number of heads}$,4 \cdot \text{seqlen}^2 \cdot \text{head dimension} \cdot \text{number of heads},strip_outer_dollars,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the authors use the expression to compute the FLOPs of the forward pass in their benchmark settings:","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the authors use the expression to compute the FLOPs of the forward pass in their benchmark settings:"
arxiv/fa3,254," $\{ 4, 8448, 16, 128\}$","\{ 4, 8448, 16, 128\}",strip_outer_dollars,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the ablation study of 2-stage WGMMA-softmax pipelining and warp-specialization for non-causal FP16 \textsc{FlashAttention-3}, the fixed values used for $\{\text{batch}, \text{seqlen}, \text{nheads}, \text{hdim}\}$ were","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the ablation study of 2-stage WGMMA-softmax pipelining and warp-specialization for non-causal FP16 \textsc{FlashAttention-3}, the fixed values used for $\{\text{batch}, \text{seqlen}, \text{nheads}, \text{hdim}\}$ were"
arxiv/fa3,274,50%.,50\%,replace_%_strip_period,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the fraction of the cycle that exponential can take compared to matmul for the attention forward pass in FP16 with head dimension 128 is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the fraction of the cycle that exponential can take compared to matmul for the attention forward pass in FP16 with head dimension 128 is"
arxiv/fa3,277,it is difficult to integrate into a standard library.,is difficult to integrate into a standard library,source_wording,no,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the reason option (1a), fusing the transpose into the epilogue of a preceding step such as rotary embedding, is not suitable is that","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the reason option (1a), fusing the transpose into the epilogue of a preceding step such as rotary embedding, is not suitable is that"
arxiv/xLSTM,62, $\!\exp \left( \tilde{i}_t  \right)$,\!\exp \left( \tilde{i}_t  \right),strip_outer_dollars,no,"In the paper ""xLSTM: Extended Long Short-Term Memory"", the activation function applied to the input gate $i_t$ in the scalar sLSTM forward pass is","In the paper ""xLSTM: Extended Long Short-Term Memory"", the activation function applied to the input gate $i_t$ in the scalar sLSTM forward pass is"
arxiv/xLSTM,66, $\max$,\max,strip_outer_dollars,no,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the gate stabilization mechanism that introduces the additional stabilizer state $m_t$, the operation used to combine $\log ( f_t ) + m_{t-1}$ and $\log ( i_t )$ in the update for $m_t$ is","According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the gate stabilization mechanism that introduces the additional stabilizer state $m_t$, the operation used to combine $\log ( f_t ) + m_{t-1}$ and $\log ( i_t )$ in the update for $m_t$ is"
legal/America_First_Legal_Foundation_v_Jamieson_Greer,15,standing based on its interest in that information.,standing based on its interest in the information,source_wording,no,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer"", after analyzing AFL’s theory that OSC’s failure to investigate prevented AFL from obtaining records requested from DOJ through FOIA, the court said AFL could not establish","According to the opinion in ""America First Legal Foundation v. Jamieson Greer"", after analyzing AFL’s theory that OSC’s failure to investigate prevented AFL from obtaining records requested from DOJ through FOIA, the court said AFL could not establish"
legal/Apex_Bank_v_Cc_Serve_Corp,36,"a question of law based on findings of relevant underlying facts, namely findings under the DuPont factors.","a question of law, based on findings of relevant underlying facts, namely findings under the DuPont factors",source_punctuation,no,"In the case ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is","In the case ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is"
legal/Apex_Bank_v_Cc_Serve_Corp,53,several exhibits showing third-party uses of marks including the word “Aspire.”,several exhibits to the Board that showed third-party uses of marks including the word “Aspire”,source_wording,no,"In the case ""Apex Bank v. CC Serve Corp."", when addressing the sixth DuPont factor, Apex submitted to the Board","In the case ""Apex Bank v. CC Serve Corp."", when addressing the sixth DuPont factor, Apex submitted to the Board"
legal/Bruce_Cohen_v_Consilio_LLC,7,vacated the district court’s grant of summary judgment as to that MFLSA claim.,vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim,source_tense,yes,"In the case ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court","In the case ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court decided to"
legal/Bruce_Cohen_v_Consilio_LLC,37,the specific section the employer allegedly violated.,the MPWA that the employer allegedly violates,source_wording,no,"In the case ""Bruce Charles Cohen v. Consilio, LLC"", the court explained that an employee may recover civil penalties or damages under the MPWA only when those remedies are authorized by","In the case ""Bruce Charles Cohen v. Consilio, LLC"", the court explained that an employee may recover civil penalties or damages under the MPWA only when those remedies are authorized by"
legal/Bruce_Cohen_v_Consilio_LLC,70,whether Consilio’s violative overtime policy was still in place.,whether Consilio’s violative overtime policy is still in place,source_tense,no,"In the case ""Bruce Charles Cohen v. Consilio, LLC"", while reviewing the district court’s summary judgment ruling on Cohen’s MFLSA claim, the Eighth Circuit noted that although the parties agreed Cohen had been paid all overtime wages and liquidated damages before Consilio moved for summary judgment, the remaining dispute was","In the case ""Bruce Charles Cohen v. Consilio, LLC"", while reviewing the district court’s summary judgment ruling on Cohen’s MFLSA claim, the Eighth Circuit noted that although the parties agreed Cohen had been paid all overtime wages and liquidated damages before Consilio moved for summary judgment, the remaining dispute was"
legal/Bruce_Cohen_v_Consilio_LLC,75,the court does not address it.,we do not address it,source_wording,no,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the court cited Milligan v. City of Red Oak for the rule that when a party’s brief does not support an assertion with argument or legal authority, the issue is waived, and","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the court cited Milligan v. City of Red Oak for the rule that when a party’s brief does not support an assertion with argument or legal authority, the issue is waived, and"
legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC,73,“separately identifiable.”,"“separately identifiable,”",source_punctuation,no,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC"", in the district court’s summary-judgment claim-construction ruling on the ’775 patent, the claim words “three signals S1, S2 and S3” were construed as","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC"", in the district court’s summary-judgment claim-construction ruling on the ’775 patent, the claim words “three signals S1, S2 and S3” were construed as"
legal/Foad_Farahi_v_FBI,43,one of the agency's law enforcement duties.,one of the agency’s law enforcement duties,source_apostrophe,no,"In the case ""Foad Farahi v. Federal Bureau of Investigation"", the opinion said the FBI's declarations must establish a rational nexus between the investigation and","In the case ""Foad Farahi v. Federal Bureau of Investigation"", the opinion said the FBI's declarations must establish a rational nexus between the investigation and"
legal/Foad_Farahi_v_FBI,82,a detailed justification for why the protected records were not reasonably segregable.,a “detailed justification” for why the protected records were not reasonably segregable,source_quote,no,"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", in its second order, the district court said Bender’s supplemental ex parte submission provided","According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", in its second order, the district court said Bender’s supplemental ex parte submission provided"
legal/Foad_Farahi_v_FBI,90,Bender’s ex parte declaration in its FOIA segregability analysis.,Bender’s ex parte declaration in its segregability analysis,source_wording,no,"In the case ""Foad Farahi v. Federal Bureau of Investigation"", Farahi argued that the district court relied too heavily on","In the case ""Foad Farahi v. Federal Bureau of Investigation"", Farahi argued that the district court relied too heavily on"
legal/Jimenez_v_Bondi,18,the Colombian government was unable or unwilling to protect them.,the Colombian government is unable or unwilling to protect them.,source_tense,no,"In the case ""Jimenez v. Bondi"", the petitioners argued that even if they could not establish past persecution, they had a well-founded fear of future persecution because","In the case ""Jimenez v. Bondi"", the petitioners argued that even if they could not establish past persecution, they had a well-founded fear of future persecution because"
legal/Jimenez_v_Bondi,73,internal relocation within Colombia was not reasonably available.,internal relocation was not reasonably available,source_wording,no,"In the case ""Jimenez v. Bondi"", although the Immigration Judge found Petitioners credible, the IJ concluded that Petitioners failed to establish that","In the case ""Jimenez v. Bondi"", although the Immigration Judge found Petitioners credible, the IJ concluded that Petitioners failed to establish that"
legal/Jimenez_v_Bondi,77,a well-founded fear of future persecution that the government was unable or unwilling to protect them.,a well-founded fear of future persecution that the government is unable or unwilling to protect them.,source_tense,no,"In the case ""Jimenez v. Bondi"", Petitioners argued that the BIA erred by finding that they did not establish","In the case ""Jimenez v. Bondi"", Petitioners argued that the BIA erred by finding that they did not establish"
legal/Pacito_v_Trump,8,unaccompanied refugee children were at issue in the case.,unaccompanied refugee children at issue here.,source_wording,no,"According to the opinion in ""Pacito v. Trump"", in Judge Lee’s separate opinion in Pacito v. Trump, after discussing 8 U.S.C. § 1522(d)(2)(B), the opinion noted that the record did not clearly show whether","According to the opinion in ""Pacito v. Trump"", in Judge Lee’s separate opinion in Pacito v. Trump, after discussing 8 U.S.C. § 1522(d)(2)(B), the opinion noted that the record did not clearly show whether"
legal/Santos_v_Kimmel,25,“instigated the creation of the original Works.”,“instigated the creation of the original Works”,source_punctuation,no,"In the case ""George Santos v. James C. Kimmel"", Santos argued that Kimmel had","In the case ""George Santos v. James C. Kimmel"", Santos argued that Kimmel had"
legal/Santos_v_Kimmel,33,bad faith and therefore nullified the fair use defense.,bad faith and thus nullify the fair use defense.,source_wording,no,"In the case ""George Santos v. James C. Kimmel"", Santos argued that Kimmel’s false representations demonstrated","In the case ""George Santos v. James C. Kimmel"", Santos argued that Kimmel’s false representations demonstrated"
legal/United_States_v_Constantinescu,13,false and misleading information about the security on social media.,false and misleading information about the security on [social media],source_bracket,no,"In the case ""United States v. Constantinescu"", the government alleged that, to “pump” a security’s price, the defendants posted","In the case ""United States v. Constantinescu"", the government alleged that, to “pump” a security’s price, the defendants posted"
