document,row_1based,target,probe,fact
arxiv/LongRoPE,296,$N_1=N_2=16$.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for target window sizes within 256k, LongRoPE uses mutation and crossover sizes","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for target window sizes within 256k, LongRoPE uses mutation and crossover sizes $N_1=N_2=16$."
arxiv/LongRoPE,384,good initialization for fine-tuning.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", exploiting two RoPE non-uniformities with evolutionary search provides","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", exploiting two RoPE non-uniformities with evolutionary search provides good initialization for fine-tuning."
arxiv/OFT,84,the original control signal,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the control consistency metric, the estimated control signal is compared with:","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the control consistency metric for controllable generation, the control signal estimated from the generated image is compared with the original control signal.
"
arxiv/OFT,157,$\| \bm{M} - \bm{M}^0\|$,"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", according to the discussion of conventional finetuning with a small learning rate, standard finetuning is essentially aiming to minimize the quantity between the finetuned model weights $\bm{M}$ and the pretrained model weights $\bm{M}^0$:","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", according to the discussion of conventional finetuning with a small learning rate, standard finetuning is essentially aiming to minimize the quantity between the finetuned model weights $\bm{M}$ and the pretrained model weights $\bm{M}^0$: $\| \bm{M} - \bm{M}^0\|$"
arxiv/OFT,162,$\text{rank}(\bm{M} - \bm{M}^0)=r'$.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when discussing LoRA as compared with standard finetuning, the low-rank constraint imposed on the weight update is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when discussing LoRA as compared with standard finetuning, the low-rank constraint imposed on the weight update is $\text{rank}(\bm{M} - \bm{M}^0)=r'$."
arxiv/OFT,165,$\| \text{HE}(\bm{M})-\text{HE}(\bm{M}^0) \|=0$,"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT introduces the constraint on pair-wise neuron similarity between the updated weight matrix $\bm{M}$ and the pretrained weight matrix $\bm{M}^0$ as","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT introduces the constraint on pair-wise neuron similarity between the updated weight matrix $\bm{M}$ and the pretrained weight matrix $\bm{M}^0$ as $\| \text{HE}(\bm{M})-\text{HE}(\bm{M}^0) \|=0$"
arxiv/OFT,166,"$\bm{W}=\{\bm{w}_1,\cdots,\bm{w}_n\}\in\mathbb{R}^{d\times n}$","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer used to explain OFT, the notation the authors use for that layer is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer used to explain OFT, the notation the authors use for that layer is $\bm{W}=\{\bm{w}_1,\cdots,\bm{w}_n\}\in\mathbb{R}^{d\times n}$"
arxiv/OFT,167,$\mathbb{R}^{d}$.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative fully connected layer example, each neuron $\bm{w}_i$ belongs to","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative fully connected layer example, each neuron $\bm{w}_i$ belongs to $\mathbb{R}^{d}$."
arxiv/OFT,168,$\bm{z}=\bm{W}^\top\bm{x}$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer with weight matrix $\bm{W}\in\mathbb{R}^{d\times n}$ and input vector $\bm{x}\in\mathbb{R}^d$, the output vector $\bm{z}\in\mathbb{R}^n$ is computed as","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer with weight matrix $\bm{W}\in\mathbb{R}^{d\times n}$ and input vector $\bm{x}\in\mathbb{R}^d$, the output vector $\bm{z}\in\mathbb{R}^n$ is computed as $\bm{z}=\bm{W}^\top\bm{x}$"
arxiv/OFT,169,$\bm{x}\in\mathbb{R}^d$.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the fully connected layer example used to explain OFT, the notation for the input vector is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the fully connected layer example used to explain OFT, the notation for the input vector is $\bm{x}\in\mathbb{R}^d$."
arxiv/OFT,171,$\text{HE}(\bm{W}):= \sum_{i\neq j} \|\hat{\bm{w}}_i-\hat{\bm{w}}_j\|^{-1}$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the hyperspherical energy of a fully connected layer $\bm{W}$ in terms of its normalized neurons $\hat{\bm{w}}_i$ is defined as","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the hyperspherical energy of a fully connected layer $\bm{W}$ in terms of its normalized neurons $\hat{\bm{w}}_i$ is defined as $\text{HE}(\bm{W}):= \sum_{i\neq j} \|\hat{\bm{w}}_i-\hat{\bm{w}}_j\|^{-1}$"
arxiv/OFT,174,$\bm{W}=\bm{R}\bm{W}^0$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when the minimum of the hyperspherical energy matching objective is achieved up to a rotation or reflection, the equation gives the relationship between the fully connected layer weights $\bm{W}$ and the pretrained weights $\bm{W}^0$ as","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when the minimum of the hyperspherical energy matching objective is achieved up to a rotation or reflection, the equation gives the relationship between the fully connected layer weights $\bm{W}$ and the pretrained weights $\bm{W}^0$ as $\bm{W}=\bm{R}\bm{W}^0$"
arxiv/OFT,179,$\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for a pretrained fully connected layer in OFT, the new forward pass expression after replacing the original weights with the orthogonally finetuned weights is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for a pretrained fully connected layer in OFT, the new forward pass expression after replacing the original weights with the orthogonally finetuned weights is $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$"
arxiv/OFT,180,$\bm{R}^\top\bm{R}=\bm{R}\bm{R}^\top=\bm{I}$.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the constraint imposed on the orthogonal matrix $\bm{R}$ in the OFT formulation for a pretrained fully connected layer is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the constraint imposed on the orthogonal matrix $\bm{R}$ in the OFT formulation for a pretrained fully connected layer is $\bm{R}^\top\bm{R}=\bm{R}\bm{R}^\top=\bm{I}$."
arxiv/OFT,195,$\text{O}(\frac{d}{r})$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the block-diagonal parameterization of the orthogonal matrix $\bm{R}$ with $r$ blocks, each block $\bm{R}_i$ belongs to the orthogonal group","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the block-diagonal parameterization of the orthogonal matrix $\bm{R}$ with $r$ blocks, each block $\bm{R}_i$ belongs to the orthogonal group $\text{O}(\frac{d}{r})$"
arxiv/OFT,199,$d(d-1)/2$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", an orthogonal matrix of size $d\times d$ has","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", an orthogonal matrix of size $d\times d$ has $d(d-1)/2$"
arxiv/OFT,203,$r'(d+n)$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for LoRA with a low-rank parameter $r'$, the number of trainable parameters is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for LoRA with a low-rank parameter $r'$, the number of trainable parameters is $r'(d+n)$"
arxiv/OFT,209,$\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in COFT's forward pass, the expression for the transformed output $\bm{z}$ in terms of $\bm{W}$, $\bm{x}$, $\bm{R}$, and the pretrained weight matrix $\bm{W}^0$ under the orthogonality and $\epsilon$-deviation constraints is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in COFT's forward pass, the expression for the transformed output $\bm{z}$ in terms of $\bm{W}$, $\bm{x}$, $\bm{R}$, and the pretrained weight matrix $\bm{W}^0$ under the orthogonality and $\epsilon$-deviation constraints is $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$"
arxiv/OFT,210,$\bm{R}^\top\bm{R}=\bm{R}\bm{R}^\top=\bm{I}$,"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", COFT defines its forward pass as $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$ with both an orthogonality condition and an $\epsilon$-deviation constraint. The constraint on $\bm{R}$ that enforces orthogonality in this forward pass is","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", COFT defines its forward pass as $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$ with both an orthogonality condition and an $\epsilon$-deviation constraint. The constraint on $\bm{R}$ that enforces orthogonality in this forward pass is $\bm{R}^\top\bm{R}=\bm{R}\bm{R}^\top=\bm{I}$"
arxiv/OFT,213,$\|\bm{Q}-\bm{0}\|\leq\epsilon'$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", after moving the deviation constraint $\|\bm{R}-\bm{I}\|\leq\epsilon$ inside the Cayley transform for the orthogonal matrix $\bm{R}$, the equivalent constraint imposed on $\bm{Q}$ is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", after moving the deviation constraint $\|\bm{R}-\bm{I}\|\leq\epsilon$ inside the Cayley transform for the orthogonal matrix $\bm{R}$, the equivalent constraint imposed on $\bm{Q}$ is $\|\bm{Q}-\bm{0}\|\leq\epsilon'$"
arxiv/OFT,241,$(\bm{R}-\bm{I})\bm{W}^0$.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when the authors rewrite OFT's forward pass in their connection to LoRA, the expression analogous to LoRA's low-rank weight update is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when the authors rewrite OFT's forward pass in their connection to LoRA, the expression analogous to LoRA's low-rank weight update is $(\bm{R}-\bm{I})\bm{W}^0$."
arxiv/OFT,242,$\bm{z}=(\bm{R}\bm{W}^0)^\top\bm{x}=(\bm{W}^0+(\bm{R}-\bm{I})\bm{W}^0)^\top\bm{x}$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT's forward pass can be rewritten in terms of the pretrained weight matrix $\bm{W}^0$ and the orthogonal transform $\bm{R}$ as","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT's forward pass can be rewritten in terms of the pretrained weight matrix $\bm{W}^0$ and the orthogonal transform $\bm{R}$ as $\bm{z}=(\bm{R}\bm{W}^0)^\top\bm{x}=(\bm{W}^0+(\bm{R}-\bm{I})\bm{W}^0)^\top\bm{x}$"
arxiv/OFT,243,$\bm{R}-\bm{I}$ is low-rank.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning,"" OFT also performs a low-rank weight update, given that $\bm{W}^0$ is typically full-rank, when","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning,"" OFT also performs a low-rank weight update, given that $\bm{W}^0$ is typically full-rank, when $\bm{R}-\bm{I}$ is low-rank."
arxiv/OFT,259,the learned orthogonal matrix \bm{R}.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", during the inference stage, the pretrained weight matrix $\bm{W}^0$ is multiplied by","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", during the inference stage, the pretrained weight matrix $\bm{W}^0$ is multiplied by the learned orthogonal matrix \bm{R}."
arxiv/OFT,260,$\bm{W}=\bm{R}\bm{W}^0$,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the inference stage of OFT, the authors obtain the equivalent weight matrix by multiplying the learned orthogonal matrix $\bm{R}$ into the pretrained weight matrix $\bm{W}^0$, which is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the inference stage of OFT, the authors obtain the equivalent weight matrix by multiplying the learned orthogonal matrix $\bm{R}$ into the pretrained weight matrix $\bm{W}^0$, which is $\bm{W}=\bm{R}\bm{W}^0$"
arxiv/OFT,376,convergence of the Neumann series in the operator norm,"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the Neumann-series approximation assumes:","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the Neumann-series approximation assumes: convergence of the Neumann series in the operator norm"
arxiv/QLoRA,65,$\frac{\mathbf{X}^{\text{Int8}}}{c^{\text{FP32}}}$,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the expression given for the dequantization function $\text{dequant}(c^{\text{FP32}}, \mathbf{X}^{\text{Int8}})$ before it is shown to equal $\mathbf{X}^{\text{FP32}}$ is","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the expression given for the dequantization function $\text{dequant}(c^{\text{FP32}}, \mathbf{X}^{\text{Int8}})$ before it is shown to equal $\mathbf{X}^{\text{FP32}}$ is $\frac{\mathbf{X}^{\text{Int8}}}{c^{\text{FP32}}}$"
arxiv/QLoRA,66,$\mathbf{X}^{\text{FP32}}$.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the description of quantizing an FP32 tensor into an Int8 tensor, the dequantization function $\text{dequant}(c^{\text{FP32}}, \mathbf{X}^{\text{Int8}})$ recovers the FP32 tensor","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the description of quantizing an FP32 tensor into an Int8 tensor, the dequantization function $\text{dequant}(c^{\text{FP32}}, \mathbf{X}^{\text{Int8}})$ recovers the FP32 tensor $\mathbf{X}^{\text{FP32}}$."
arxiv/QLoRA,78,$s\mathbf{X}\mathbf{L}_1\mathbf{L}_2$,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", for a projection ${\mathbf{X} \mathbf{W} = \mathbf{Y}}$, the expression for $\mathbf{Y}$ adds the term","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", for a projection ${\mathbf{X} \mathbf{W} = \mathbf{Y}}$, the expression for $\mathbf{Y}$ adds the term $s\mathbf{X}\mathbf{L}_1\mathbf{L}_2$"
arxiv/QLoRA,116,$\frac{1}{2}\left( Q_X\left(\frac{i}{2^k+1}\right) + Q_X\left(\frac{i+1}{2^k+1}\right)\right)$.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the $2^k$ values $q_i$ of the data type are estimated using the quantile function $Q_X(\cdot)$ of the standard normal distribution $N(0,1)$ by","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the $2^k$ values $q_i$ of the data type are estimated using the quantile function $Q_X(\cdot)$ of the standard normal distribution $N(0,1)$ by $\frac{1}{2}\left( Q_X\left(\frac{i}{2^k+1}\right) + Q_X\left(\frac{i+1}{2^k+1}\right)\right)$."
arxiv/fa3,62,$\mathbb{R}^{N \times d}$.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the single-head attention formulation, $\mathbf{Q}, \mathbf{K}, \mathbf{V}$ denote the query, key, and value input sequences for a head and belong to","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the single-head attention formulation, $\mathbf{Q}, \mathbf{K}, \mathbf{V}$ denote the query, key, and value input sequences for a head and belong to $\mathbb{R}^{N \times d}$."
arxiv/fa3,66,$\mathbf{P}\mathbf{V}$.,"According to the paper **""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision""**, for a single attention head with query, key, and value sequences $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, the attention output $\mathbf{O}$ is expressed after computing $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$ and $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ as","According to the paper **""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision""**, for a single attention head with query, key, and value sequences $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, the attention output $\mathbf{O}$ is expressed after computing $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$ and $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ as $\mathbf{P}\mathbf{V}$."
arxiv/fa3,71,$\mathbf{P}^\top \mathbf{dO}$,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$, $\mathbf{dV}$ is computed as","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$, $\mathbf{dV}$ is computed as $\mathbf{P}^\top \mathbf{dO}$"
arxiv/fa3,72,$\alpha \mathbf{dS} \mathbf{K}$.,"According to the paper **""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision""**, in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$ and the chain-rule expressions for $\mathbf{dV}$, $\mathbf{dP}$, and $\mathbf{dS}$, $\mathbf{dQ}$ is computed as","According to the paper **""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision""**, in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$ and the chain-rule expressions for $\mathbf{dV}$, $\mathbf{dP}$, and $\mathbf{dS}$, $\mathbf{dQ}$ is computed as $\alpha \mathbf{dS} \mathbf{K}$."
arxiv/fa3,120,$\mathbb{R}^{B_r \times d}$,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the shape of $\mathbf{Q}_i$ in the requirements of the FlashAttention-3 forward pass without intra-consumer overlapping — CTA view algorithm is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the shape of $\mathbf{Q}_i$ in the requirements of the FlashAttention-3 forward pass without intra-consumer overlapping — CTA view algorithm is $\mathbb{R}^{B_r \times d}$"
arxiv/fa3,155,$\mathbb{R}^{B_r \times d}$.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the consumer warpgroup forward pass, the shape of the matrix $\mathbf{Q}_i$ in the requirement that $\mathbf{Q}_i$, $\mathbf{K}$, and $\mathbf{V}$ are matrices in HBM is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the consumer warpgroup forward pass, the shape of the matrix $\mathbf{Q}_i$ in the requirement that $\mathbf{Q}_i$, $\mathbf{K}$, and $\mathbf{V}$ are matrices in HBM is $\mathbb{R}^{B_r \times d}$."
arxiv/fa3,156,$(0)$.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the FlashAttention-3 consumer warpgroup forward pass algorithm, during on-chip initialization, \mathbf{O}_i is set to","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the FlashAttention-3 consumer warpgroup forward pass algorithm, during on-chip initialization, \mathbf{O}_i is set to $(0)$."
arxiv/fa3,157,$(-\infty)$.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the on-chip initialization of the consumer warpgroup forward pass, the value assigned to $m_i$ is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the on-chip initialization of the consumer warpgroup forward pass, the value assigned to $m_i$ is $(-\infty)$.
"
arxiv/fa3,167,$\tilde{\mathbf{P}}_{\mathrm{last}} \mathbf{V}_{T_c - 1}$.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the epilogue of the \cref{alg:flash3_wgmma} algorithm, after waiting for $\mathbf{V}_{T_c - 1}$ to be loaded in shared memory, the term added to $\mathbf{O}_{i}$ using WGMMA is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the epilogue of the \cref{alg:flash3_wgmma} algorithm, after waiting for $\mathbf{V}_{T_c - 1}$ to be loaded in shared memory, the term added to $\mathbf{O}_{i}$ using WGMMA is $\tilde{\mathbf{P}}_{\mathrm{last}} \mathbf{V}_{T_c - 1}$."
arxiv/fa3,206,"columns 0, 1, 8, and 9.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the register permutation for the logical shape of the P tile, become the first four columns after the maneuver.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the register permutation for the logical shape of the P tile, become the first four columns after the maneuver. columns 0, 1, 8, and 9."
arxiv/fa3,215,a random orthogonal matrix \mathbf{M},"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the incoherent processing step used to even out outliers before quantizing to FP8, \mathbf{Q} and \mathbf{K} are multiplied with","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the incoherent processing step used to even out outliers before quantizing to FP8, \mathbf{Q} and \mathbf{K} are multiplied with a random orthogonal matrix \mathbf{M}"
arxiv/fa3,231,75%.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the fraction of theoretical maximum TFLOPs/s that FlashAttention-3 reaches on H100 GPUs is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the fraction of theoretical maximum TFLOPs/s that FlashAttention-3 reaches on H100 GPUs is 75%."
arxiv/fa3,248,$4 \cdot \text{seqlen}^2 \cdot \text{head dimension} \cdot \text{number of heads}$,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the authors use the expression to compute the FLOPs of the forward pass in their benchmark settings:","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the authors use the expression to compute the FLOPs of the forward pass in their benchmark settings: $4 \cdot \text{seqlen}^2 \cdot \text{head dimension} \cdot \text{number of heads}$"
arxiv/fa3,254,"$\{ 4, 8448, 16, 128\}$","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the ablation study of 2-stage WGMMA-softmax pipelining and warp-specialization for non-causal FP16 \textsc{FlashAttention-3}, the fixed values used for $\{\text{batch}, \text{seqlen}, \text{nheads}, \text{hdim}\}$ were","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the ablation study of 2-stage WGMMA-softmax pipelining and warp-specialization for non-causal FP16 \textsc{FlashAttention-3}, the fixed values used for $\{\text{batch}, \text{seqlen}, \text{nheads}, \text{hdim}\}$ were $\{ 4, 8448, 16, 128\}$"
arxiv/fa3,274,50%.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the fraction of the cycle that exponential can take compared to matmul for the attention forward pass in FP16 with head dimension 128 is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the fraction of the cycle that exponential can take compared to matmul for the attention forward pass in FP16 with head dimension 128 is 50%."
arxiv/fa3,277,it is difficult to integrate into a standard library.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the reason option (1a), fusing the transpose into the epilogue of a preceding step such as rotary embedding, is not suitable is that","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the reason option (1a), fusing the transpose into the epilogue of a preceding step such as rotary embedding, is not suitable is that it is difficult to integrate into a standard library."
arxiv/fa3,279,the product of random diagonal matrices of $\pm 1$ and a Hadamard matrix.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the low-precision attention technique, $\mathbf{M}$ is chosen as","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the low-precision attention technique, $\mathbf{M}$ is chosen as the product of random diagonal matrices of $\pm 1$ and a Hadamard matrix."
arxiv/xLSTM,62,$\!\exp \left( \tilde{i}_t  \right)$,"In the paper ""xLSTM: Extended Long Short-Term Memory"", the activation function applied to the input gate $i_t$ in the scalar sLSTM forward pass is","In the paper ""xLSTM: Extended Long Short-Term Memory"", the activation function applied to the input gate $i_t$ in the scalar sLSTM forward pass is $\!\exp \left( \tilde{i}_t  \right)$"
arxiv/xLSTM,66,$\max$,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the gate stabilization mechanism that introduces the additional stabilizer state $m_t$, the operation used to combine $\log ( f_t ) + m_{t-1}$ and $\log ( i_t )$ in the update for $m_t$ is","According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the gate stabilization mechanism that introduces the additional stabilizer state $m_t$, the operation used to combine $\log ( f_t ) + m_{t-1}$ and $\log ( i_t )$ in the update for $m_t$ is $\max$"
legal/America_First_Legal_Foundation_v_Jamieson_Greer,15,standing based on its interest in that information.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer"", after analyzing AFL’s theory that OSC’s failure to investigate prevented AFL from obtaining records requested from DOJ through FOIA, the court said AFL could not establish","According to the opinion in ""America First Legal Foundation v. Jamieson Greer"", after analyzing AFL’s theory that OSC’s failure to investigate prevented AFL from obtaining records requested from DOJ through FOIA, the court said AFL could not establish standing based on its interest in that information."
legal/Apex_Bank_v_Cc_Serve_Corp,36,"a question of law based on findings of relevant underlying facts, namely findings under the DuPont factors.","In the case ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is","In the case ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is a question of law based on findings of relevant underlying facts, namely findings under the DuPont factors."
legal/Apex_Bank_v_Cc_Serve_Corp,53,several exhibits showing third-party uses of marks including the word “Aspire.”,"In the case ""Apex Bank v. CC Serve Corp."", when addressing the sixth DuPont factor, Apex submitted to the Board","In the case ""Apex Bank v. CC Serve Corp."", when addressing the sixth DuPont factor, Apex submitted to the Board several exhibits showing third-party uses of marks including the word “Aspire.”"
legal/Bruce_Cohen_v_Consilio_LLC,7,vacated the district court’s grant of summary judgment as to that MFLSA claim.,"In the case ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court","In the case ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court vacated the district court’s grant of summary judgment as to that MFLSA claim."
legal/Bruce_Cohen_v_Consilio_LLC,21,the Minnesota Fair Labor Standards Act.,"In the case ""Bruce Charles Cohen v. Consilio, LLC"", Cohen alleged that Consilio violated several Minnesota wage statutes, including the statute abbreviated MFLSA:","In the case ""Bruce Charles Cohen v. Consilio, LLC"", Cohen alleged that Consilio violated several Minnesota wage statutes, including the statute abbreviated MFLSA: the Minnesota Fair Labor Standards Act."
