target,probe,fact,question,text_sentences,inference_type,answer
" data, the reward function, and the algorithm","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the unified paradigm states that the gradient coefficient and thus the learning signal are determined by three components:","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the unified paradigm states that the gradient coefficient and thus the learning signal are determined by three components: data, the reward function, and the algorithm","In the unified paradigm, which three components determine the gradient coefficient and thus the learning signal?","['There exist three key components: 1) Data Source D, which determines the training data; 2) Reward Function π_{rf}, which is the source of the training reward signal; 3) Algorithm A: which processes the training data and the reward signal to the gradient coefficient GC that determines the magnitude of the penalty or reinforcement for the data.', 'Generally, the gradient with respect to the parameter θ of a training method can be written as: (Equation)']",Conceptual Synthesis: Core Insight,"data, reward, algorithm"
 removal of the value function,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the core design change in GRPO that removes the substantial memory and computation burden present in PPO is estimating the baseline from group scores rather than training an additional model, specifically the","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the core design change in GRPO that removes the substantial memory and computation burden present in PPO is estimating the baseline from group scores rather than training an additional model, specifically the removal of the value function",What core design change in GRPO removes the substantial memory and computation burden present in PPO?,"['As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.', 'we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO, and instead uses the average reward of multiple sampled outputs, produced in response to the same question, as the baseline.']",Conceptual Synthesis: Core Insight,no value function
 uncertainty-aware rewards,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the reward model exhibits significant uncertainty or noise, the paper proposes that GRPO should be adapted to use","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the reward model exhibits significant uncertainty or noise, the paper proposes that GRPO should be adapted to use uncertainty-aware rewards","How should GRPO be adapted if the reward model exhibits significant uncertainty or noise, according to the paper's proposed directions?","['To this end, we will explore the reinforcement learning algorithm that is robust against noisy reward signals.', 'The uncertainty could potentially act as a linking bridge between the weak reward model and the weak-to-strong learning algorithms;']",Implicit Assumptions: Generalization,uncertainty-aware rewards
 relative comparison,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if GRPO is run with group size $G=1$, the key advantage described in the paper that would be lost is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if GRPO is run with group size $G=1$, the key advantage described in the paper that would be lost is relative comparison","If GRPO is run with group size G = 1, which key advantage described in the paper would be lost?","['GRPO samples a group of outputs {o_1, o_2, \\cdots, o_G} from the old policy π_{θ_{old}} and then optimizes the policy model by maximizing the following objective', 'These rewards are normalized by subtracting the group average and dividing by the group standard deviation.']",Counterfactual Scenarios: Predicting Hypotheticals,relative comparison
 larger model scale,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors' negative finding about arXiv data effectiveness is accompanied by caveats, and they explicitly mention that the conclusion about arXiv's usefulness might change with","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors' negative finding about arXiv data effectiveness is accompanied by caveats, and they explicitly mention that the conclusion about arXiv's usefulness might change with larger model scale",The authors' negative finding about arXiv data effectiveness is accompanied by caveats. Which condition do they explicitly mention that might change the conclusion about arXiv's usefulness?,"['Whether the benefits of arXiv papers would manifest themselves at a larger model scale.', 'Thus, further exploration is required, which we leave for future studies.']",Implicit Assumptions - Scope Assumption,larger model scale
 comparable rewards,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the group-relative advantage computation relies on an implicit property of the reward model $r_\varphi$'s training data: $per-example}$ assumes","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the group-relative advantage computation relies on an implicit property of the reward model $r_\varphi$'s training data: $per-example}$ assumes comparable rewards",The group-relative advantage computation relies on a property of the reward model's training data; what implicit property of the reward signals does GRPO assume to make within-group normalization meaningful?,"['The group relative way that GRPO leverages to calculate the advantages, aligns well with the comparative nature of rewards models, as reward models are typically trained on datasets of comparisons between outputs on the same question.']",Implicit Assumptions - Model Assumption,rewards comparable
 boosts $\text{top-}k$ correctness,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors observe that reinforcement learning (RL) improves $\text{Maj@}K$ but not $\text{Pass@}K$, and they interpret this change as indicating the model's outputs shift in a way that ultimately","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors observe that reinforcement learning (RL) improves $\text{Maj@}K$ but not $\text{Pass@}K$, and they interpret this change as indicating the model's outputs shift in a way that ultimately boosts $\text{top-}k$ correctness","The paper observes that RL improves Maj@K but not Pass@K. According to the authors' interpretation, what specific change in the model's outputs accounts for the observed improvement?","['As shown in Figure \\ref{fig:maj-pass}, RL enhances Maj@K’s performance but not Pass@K.', 'it seems that the improvement is attributed to boosting the correct response from TopK rather than the enhancement of fundamental capabilities.']",Conceptual Synthesis - Causal Mechanism,boosts top-k correctness
 equal per output,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', under outcome supervision as described, token-level advantages are determined solely by the normalized reward computed for each sampled output; hence the per-token advantage within a given output is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', under outcome supervision as described, token-level advantages are determined solely by the normalized reward computed for each sampled output; hence the per-token advantage within a given output is equal per output","Under outcome supervision as described, how are token-level advantages assigned across tokens of a given sampled output?","['Outcome supervision provides the normalized reward at the end of each output o_i and sets the advantages \\hat{A}_{i, t} of all tokens in the output as the normalized reward, i.e., \\hat{A}_{i, t} = \\widetilde{r}_i = \\frac{r_i- {\\rm mean}(\\mathbf{r})}{{\\rm std}(\\mathbf{r})}']",Mathematical Understanding - Equation Interpretation,equal per output
 baseline subtraction,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO normalizes group rewards by computing $\widetilde{r}_i = \frac{r_i - \mathrm{mean}(\mathbf{r})}{\mathrm{std}(\mathbf{r})}$ and uses these normalized values as the advantages for policy updates; this is analogous to the common reinforcement learning technique called","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO normalizes group rewards by computing $\widetilde{r}_i = \frac{r_i - \mathrm{mean}(\mathbf{r})}{\mathrm{std}(\mathbf{r})}$ and uses these normalized values as the advantages for policy updates; this is analogous to the common reinforcement learning technique called baseline subtraction",GRPO's subtraction of the group average reward as a baseline is analogous to which variance-reduction concept in reinforcement learning?,"['we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO, and instead uses the average reward of multiple sampled outputs, produced in response to the same question, as the baseline.', 'To address this, as shown in Figure \\ref{fig:grpo}, we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO...']",Analogous Understanding: Intuitive Analogy,baseline subtraction
 larger model scale,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors mention a plausible scenario where arXiv tokens might still benefit mathematical reasoning: when models are trained at","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors mention a plausible scenario where arXiv tokens might still benefit mathematical reasoning: when models are trained at larger model scale",What plausible scenario do the authors mention where arXiv tokens might still benefit mathematical reasoning?,"['We have not yet studied: ... Whether the benefits of arXiv papers would manifest themselves at a larger model scale.', 'Thus, further exploration is required, which we leave for future studies.']",Counterfactual Scenarios: Predicting Hypotheticals,larger model scale
 a direct KL penalty,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO uses a different KL regularization mechanism than the per-token KL penalty used in PPO. Answer:","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO uses a different KL regularization mechanism than the per-token KL penalty used in PPO. Answer: a direct KL penalty",What specific regularization modification does GRPO apply instead of the per-token KL penalty used in PPO?,"['Also note that, instead of adding KL penalty in the reward, GRPO regularizes by directly adding the KL divergence between the trained policy and the reference policy to the loss, avoiding complicating the calculation of \\hat{A}_{i,t}.', 'And different from the KL penalty term used in (\\ref{eq:PPO-reward}), we estimate the KL divergence with the following unbiased estimator']",Mathematical Understanding: Equation Interpretation,direct KL penalty
 improved reward model,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the iterative GRPO algorithm description suggests that performing an additional reinforcement learning iteration early in training is likely to yield substantial gains because it refines an internal supervisory component:","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the iterative GRPO algorithm description suggests that performing an additional reinforcement learning iteration early in training is likely to yield substantial gains because it refines an internal supervisory component: improved reward model","According to the iterative GRPO algorithm description, why does an additional RL iteration likely yield substantial gains early on?","['As the reinforcement learning training process progresses, the old reward model may not be sufficient to supervise the current policy model.', 'In iterative GRPO, we generate new training sets for the reward model based on the sampling results from the policy model and continually train the old reward model using a replay mechanism that incorporates 10% of historical data.']",Causal Mechanism,improved reward model
 data selection,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that, to remedy the model's relatively weaker performance on geometry and theorem-proof tasks, they will improve the pipeline used in future work —","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that, to remedy the model's relatively weaker performance on geometry and theorem-proof tasks, they will improve the pipeline used in future work — data selection","To address the model's weaker performance on geometry and theorem-proof tasks, what primary pipeline do the authors plan to improve?","['Although DeepSeekMath achieves impressive scores on quantitative reasoning benchmarks, its capability on geometry and theorem-proof are relatively weaker than closed models.', 'In the future, we will further improve our engineered data selection pipeline to construct more high-quality pre-trained corpus.']",Conceptual Synthesis: Generalization,data selection
