row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
34,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", a “handful of times” before the incident at issue., a “handful of times” before the incident at issue.,"In United States v. Justin Lyle Cutbank, where the district court allowed testimony as intrinsic evidence on the possession charge rather than excluding it under Federal Rule of Evidence 404(b), D.F. testified she had seen Cutbank with the sawed-off rifle","In the case ""United States v. Justin Cutbank"", where the district court allowed testimony as intrinsic evidence on the possession charge rather than excluding it under Federal Rule of Evidence 404(b), D.F. testified she had seen Cutbank with the sawed-off rifle","In United States v. Justin Lyle Cutbank, where the district court allowed testimony as intrinsic evidence on the possession charge rather than excluding it under Federal Rule of Evidence 404(b), D.F. testified she had seen Cutbank with the sawed-off rifle a “handful of times” before the incident at issue.","In the case ""United States v. Justin Cutbank"", where the district court allowed testimony as intrinsic evidence on the possession charge rather than excluding it under Federal Rule of Evidence 404(b), D.F. testified she had seen Cutbank with the sawed-off rifle a “handful of times” before the incident at issue."
35,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", to avoid hearsay and Confrontation Clause issues, to avoid hearsay and Confrontation Clause issues,"In United States v. Justin Lyle Cutbank, before trial Cutbank asked for a limiting jury instruction about D.F.’s statements to police","In the case ""United States v. Justin Cutbank"", before trial Cutbank asked for a limiting jury instruction about D.F.’s statements to police","In United States v. Justin Lyle Cutbank, before trial Cutbank asked for a limiting jury instruction about D.F.’s statements to police to avoid hearsay and Confrontation Clause issues","In the case ""United States v. Justin Cutbank"", before trial Cutbank asked for a limiting jury instruction about D.F.’s statements to police to avoid hearsay and Confrontation Clause issues"
36,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.",D.F. herself testified to the events., D.F. herself testified to the events.,"In United States v. Justin Lyle Cutbank, before trial Cutbank asked for a jury instruction that the jury could not treat D.F.’s statements to police as substantive evidence of his actions until","In the case ""United States v. Justin Cutbank"", before trial Cutbank asked for a jury instruction that the jury could not treat D.F.’s statements to police as substantive evidence of his actions until","In United States v. Justin Lyle Cutbank, before trial Cutbank asked for a jury instruction that the jury could not treat D.F.’s statements to police as substantive evidence of his actions untilD.F. herself testified to the events.","In the case ""United States v. Justin Cutbank"", before trial Cutbank asked for a jury instruction that the jury could not treat D.F.’s statements to police as substantive evidence of his actions until D.F. herself testified to the events."
37,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", police officer actions and their knowledge at the time, police officer actions and their knowledge at the time,"In United States v. Justin Lyle Cutbank, Cutbank sought a pretrial jury instruction to limit how the jury could use D.F.'s statements to police because of hearsay and Confrontation Clause concerns, and the government's argument was that those statements would establish the context for","In the case ""United States v. Justin Cutbank"", Cutbank sought a pretrial jury instruction to limit how the jury could use D.F.'s statements to police because of hearsay and Confrontation Clause concerns, and the government's argument was that those statements would establish the context for","In United States v. Justin Lyle Cutbank, Cutbank sought a pretrial jury instruction to limit how the jury could use D.F.'s statements to police because of hearsay and Confrontation Clause concerns, and the government's argument was that those statements would establish the context for police officer actions and their knowledge at the time","In the case ""United States v. Justin Cutbank"", Cutbank sought a pretrial jury instruction to limit how the jury could use D.F.'s statements to police because of hearsay and Confrontation Clause concerns, and the government's argument was that those statements would establish the context for police officer actions and their knowledge at the time"
38,repair,source_framing_issue|poor_wording,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed. Reworded the question-shaped cloze into a grammatical completion.", a later instruction from the bench, a later instruction from the bench,"In United States v. Justin Lyle Cutbank, after Cutbank sought a pretrial jury instruction to avoid hearsay and Confrontation Clause problems from D.F.'s statements to police, the government argued that if needed, what would be customary and sufficient was","In the case ""United States v. Justin Cutbank"", after Cutbank sought a pretrial jury instruction to avoid hearsay and Confrontation Clause problems from D.F.'s statements to police, the government argued that, if needed, the customary and sufficient response would be","In United States v. Justin Lyle Cutbank, after Cutbank sought a pretrial jury instruction to avoid hearsay and Confrontation Clause problems from D.F.'s statements to police, the government argued that if needed, what would be customary and sufficient was a later instruction from the bench","In the case ""United States v. Justin Cutbank"", after Cutbank sought a pretrial jury instruction to avoid hearsay and Confrontation Clause problems from D.F.'s statements to police, the government argued that, if needed, the customary and sufficient response would be a later instruction from the bench"
39,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed."," United States v. Bennett, 765 F.3d 887, 899 (8th Cir. 2014), cert. denied, 574 U.S. 1180 (2015)."," United States v. Bennett, 765 F.3d 887, 899 (8th Cir. 2014), cert. denied, 574 U.S. 1180 (2015).","According to the opinion in ""United States v. Justin Lyle Cutbank,"" the case cited for the abuse-of-discretion standard governing appellate review of a district court’s decision not to give a limiting instruction is","According to the opinion in ""United States v. Justin Cutbank"", the case cited for the abuse-of-discretion standard governing appellate review of a district court’s decision not to give a limiting instruction is","According to the opinion in ""United States v. Justin Lyle Cutbank,"" the case cited for the abuse-of-discretion standard governing appellate review of a district court’s decision not to give a limiting instruction is United States v. Bennett, 765 F.3d 887, 899 (8th Cir. 2014), cert. denied, 574 U.S. 1180 (2015).","According to the opinion in ""United States v. Justin Cutbank"", the case cited for the abuse-of-discretion standard governing appellate review of a district court’s decision not to give a limiting instruction is United States v. Bennett, 765 F.3d 887, 899 (8th Cir. 2014), cert. denied, 574 U.S. 1180 (2015)."
40,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", regarding each item of evidence at the time the evidence is admitted if the court provides an appropriate instruction at the close of trial, regarding each item of evidence at the time the evidence is admitted if the court provides an appropriate instruction at the close of trial,"According to the opinion in ""United States v. Justin Lyle Cutbank,"" when reviewing whether the district court should have given a limiting instruction at the time evidence was admitted, the court said it need not instruct the jury","According to the opinion in ""United States v. Justin Cutbank"", when reviewing whether the district court should have given a limiting instruction at the time evidence was admitted, the court said it need not instruct the jury","According to the opinion in ""United States v. Justin Lyle Cutbank,"" when reviewing whether the district court should have given a limiting instruction at the time evidence was admitted, the court said it need not instruct the jury regarding each item of evidence at the time the evidence is admitted if the court provides an appropriate instruction at the close of trial","According to the opinion in ""United States v. Justin Cutbank"", when reviewing whether the district court should have given a limiting instruction at the time evidence was admitted, the court said it need not instruct the jury regarding each item of evidence at the time the evidence is admitted if the court provides an appropriate instruction at the close of trial"
41,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", “when the hearsay declarants . . . actually appear in court and testify in person.”, “when the hearsay declarants . . . actually appear in court and testify in person.”,"In United States v. Justin Lyle Cutbank, after D.F. testified at trial, the Eighth Circuit cited United States v. Charboneau while addressing the Confrontation Clause issue, and under Charboneau the Confrontation Clause is satisfied","In the case ""United States v. Justin Cutbank"", after D.F. testified at trial, the Eighth Circuit cited United States v. Charboneau while addressing the Confrontation Clause issue, and under Charboneau the Confrontation Clause is satisfied","In United States v. Justin Lyle Cutbank, after D.F. testified at trial, the Eighth Circuit cited United States v. Charboneau while addressing the Confrontation Clause issue, and under Charboneau the Confrontation Clause is satisfied “when the hearsay declarants . . . actually appear in court and testify in person.”","In the case ""United States v. Justin Cutbank"", after D.F. testified at trial, the Eighth Circuit cited United States v. Charboneau while addressing the Confrontation Clause issue, and under Charboneau the Confrontation Clause is satisfied “when the hearsay declarants . . . actually appear in court and testify in person.”"
42,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", the hearsay declarants, the hearsay declarants,"In United States v. Justin Lyle Cutbank, in addressing Confrontation Clause concerns about D.F.'s statements to police, the opinion states that the Confrontation Clause is satisfied by the appearance in court and in-person testimony of","In the case ""United States v. Justin Cutbank"", in addressing Confrontation Clause concerns about D.F.'s statements to police, the opinion states that the Confrontation Clause is satisfied by the appearance in court and in-person testimony of","In United States v. Justin Lyle Cutbank, in addressing Confrontation Clause concerns about D.F.'s statements to police, the opinion states that the Confrontation Clause is satisfied by the appearance in court and in-person testimony of the hearsay declarants","In the case ""United States v. Justin Cutbank"", in addressing Confrontation Clause concerns about D.F.'s statements to police, the opinion states that the Confrontation Clause is satisfied by the appearance in court and in-person testimony of the hearsay declarants"
43,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", the sawed-off rifle, the sawed-off rifle,"In United States v. Justin Lyle Cutbank, D.F. testified at trial that she had seen Cutbank with","In the case ""United States v. Justin Cutbank"", D.F. testified at trial that she had seen Cutbank with","In United States v. Justin Lyle Cutbank, D.F. testified at trial that she had seen Cutbank with the sawed-off rifle","In the case ""United States v. Justin Cutbank"", D.F. testified at trial that she had seen Cutbank with the sawed-off rifle"
44,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", a government witness, a government witness,"In United States v. Justin Lyle Cutbank, when the district court overruled the defense objection during trial after C.F. testified about having seen the gun used in the incident before, C.F. was testifying as","In the case ""United States v. Justin Cutbank"", when the district court overruled the defense objection during trial after C.F. testified about having seen the gun used in the incident before, C.F. was testifying as","In United States v. Justin Lyle Cutbank, when the district court overruled the defense objection during trial after C.F. testified about having seen the gun used in the incident before, C.F. was testifying as a government witness","In the case ""United States v. Justin Cutbank"", when the district court overruled the defense objection during trial after C.F. testified about having seen the gun used in the incident before, C.F. was testifying as a government witness"
45,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", “once or twice” before, “once or twice” before,"In United States v. Justin Lyle Cutbank, when the district court overruled the defense's objection to C.F.'s testimony as a government witness at trial, she testified that she had seen the gun used in the incident","In the case ""United States v. Justin Cutbank"", when the district court overruled the defense's objection to C.F.'s testimony as a government witness at trial, she testified that she had seen the gun used in the incident","In United States v. Justin Lyle Cutbank, when the district court overruled the defense's objection to C.F.'s testimony as a government witness at trial, she testified that she had seen the gun used in the incident “once or twice” before","In the case ""United States v. Justin Cutbank"", when the district court overruled the defense's objection to C.F.'s testimony as a government witness at trial, she testified that she had seen the gun used in the incident “once or twice” before"
46,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.",intrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident., intrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident.,"In United States v. Justin Lyle Cutbank, on appeal Cutbank cited no authority refuting the district court’s pretrial ruling that testimony about his prior possession of the sawed-off rifle was","In the case ""United States v. Justin Cutbank"", on appeal Cutbank cited no authority refuting the district court’s pretrial ruling that testimony about his prior possession of the sawed-off rifle was","In United States v. Justin Lyle Cutbank, on appeal Cutbank cited no authority refuting the district court’s pretrial ruling that testimony about his prior possession of the sawed-off rifle wasintrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident.","In the case ""United States v. Justin Cutbank"", on appeal Cutbank cited no authority refuting the district court’s pretrial ruling that testimony about his prior possession of the sawed-off rifle was intrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident."
47,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", continuous possession of the firearm before the incident., continuous possession of the firearm before the incident.,"According to the opinion in ""United States v. Justin Lyle Cutbank,"" on appeal the defendant did not cite any authority refuting the district court’s pretrial ruling that treated witness testimony as intrinsic evidence, and under that ruling the intrinsic evidence was relevant to demonstrating","According to the opinion in ""United States v. Justin Cutbank"", on appeal the defendant did not cite any authority refuting the district court’s pretrial ruling that treated witness testimony as intrinsic evidence, and under that ruling the intrinsic evidence was relevant to demonstrating","According to the opinion in ""United States v. Justin Lyle Cutbank,"" on appeal the defendant did not cite any authority refuting the district court’s pretrial ruling that treated witness testimony as intrinsic evidence, and under that ruling the intrinsic evidence was relevant to demonstrating continuous possession of the firearm before the incident.","According to the opinion in ""United States v. Justin Cutbank"", on appeal the defendant did not cite any authority refuting the district court’s pretrial ruling that treated witness testimony as intrinsic evidence, and under that ruling the intrinsic evidence was relevant to demonstrating continuous possession of the firearm before the incident."
48,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", “not familiar with guns”, “not familiar with guns”,"In the case ""United States v. Justin Lyle Cutbank,"" during cross-examination about D.F.'s prior inconsistent statements regarding the gun, including her statement that she did not remember seeing the gun on the night in question, D.F. said one reason for those statements was","In the case ""United States v. Justin Cutbank"", during cross-examination about D.F.'s prior inconsistent statements regarding the gun, including her statement that she did not remember seeing the gun on the night in question, D.F. said one reason for those statements was","In the case ""United States v. Justin Lyle Cutbank,"" during cross-examination about D.F.'s prior inconsistent statements regarding the gun, including her statement that she did not remember seeing the gun on the night in question, D.F. said one reason for those statements was “not familiar with guns”","In the case ""United States v. Justin Cutbank"", during cross-examination about D.F.'s prior inconsistent statements regarding the gun, including her statement that she did not remember seeing the gun on the night in question, D.F. said one reason for those statements was “not familiar with guns”"
49,repair,source_framing_issue|target_source_repair,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed. Repaired the target to the exact source span ""sister was killed by a gun"" while preserving the same explanation for D.F.'s dislike of guns.",her sister had been killed by a gun., sister was killed by a gun,"In United States v. Justin Lyle Cutbank, during cross-examination about D.F.’s prior inconsistent statements concerning the gun, D.F. said she did not like guns because","In the case ""United States v. Justin Cutbank"", during cross-examination about D.F.’s prior inconsistent statements concerning the gun, D.F. said she did not like guns because her","In United States v. Justin Lyle Cutbank, during cross-examination about D.F.’s prior inconsistent statements concerning the gun, D.F. said she did not like guns becauseher sister had been killed by a gun.","In the case ""United States v. Justin Cutbank"", during cross-examination about D.F.’s prior inconsistent statements concerning the gun, D.F. said she did not like guns because her sister was killed by a gun"
50,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", what C.F. said to police, what C.F. said to police,"In United States v. Justin Lyle Cutbank, when the defense cross-examined C.F. about her prior statements to a police investigator, the district court allowed questioning about","In the case ""United States v. Justin Cutbank"", when the defense cross-examined C.F. about her prior statements to a police investigator, the district court allowed questioning about","In United States v. Justin Lyle Cutbank, when the defense cross-examined C.F. about her prior statements to a police investigator, the district court allowed questioning about what C.F. said to police","In the case ""United States v. Justin Cutbank"", when the defense cross-examined C.F. about her prior statements to a police investigator, the district court allowed questioning about what C.F. said to police"
51,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", the report was not authored by C.F., the report was not authored by C.F.,"In United States v. Justin Lyle Cutbank, the district court sustained the government's objections to defense counsel reading parts of the police report into the record for lack of foundation because","In the case ""United States v. Justin Cutbank"", the district court sustained the government's objections to defense counsel reading parts of the police report into the record for lack of foundation because","In United States v. Justin Lyle Cutbank, the district court sustained the government's objections to defense counsel reading parts of the police report into the record for lack of foundation because the report was not authored by C.F.","In the case ""United States v. Justin Cutbank"", the district court sustained the government's objections to defense counsel reading parts of the police report into the record for lack of foundation because the report was not authored by C.F."
52,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", ‘thwarted’ his efforts to cross-examine C.F. on her testimony regarding the gun possession, ‘thwarted’ his efforts to cross-examine C.F. on her testimony regarding the gun possession,"In the case ""United States v. Justin Lyle Cutbank,"" the government’s brief described one of Cutbank’s appellate claims concerning the district court’s handling of his cross-examination of C.F. on her testimony about gun possession as a claim that the district court","In the case ""United States v. Justin Cutbank"", the government’s brief described one of Cutbank’s appellate claims concerning the district court’s handling of his cross-examination of C.F. on her testimony about gun possession as a claim that the district court","In the case ""United States v. Justin Lyle Cutbank,"" the government’s brief described one of Cutbank’s appellate claims concerning the district court’s handling of his cross-examination of C.F. on her testimony about gun possession as a claim that the district court ‘thwarted’ his efforts to cross-examine C.F. on her testimony regarding the gun possession","In the case ""United States v. Justin Cutbank"", the government’s brief described one of Cutbank’s appellate claims concerning the district court’s handling of his cross-examination of C.F. on her testimony about gun possession as a claim that the district court ‘thwarted’ his efforts to cross-examine C.F. on her testimony regarding the gun possession"
53,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", C.F., C.F.,"In United States v. Justin Lyle Cutbank, the government's appellate brief argued that Cutbank claimed the district court had “thwarted” his efforts to cross-examine a witness about testimony concerning gun possession, and the witness was","In the case ""United States v. Justin Cutbank"", the government's appellate brief argued that Cutbank claimed the district court had “thwarted” his efforts to cross-examine a witness about testimony concerning gun possession, and the witness was","In United States v. Justin Lyle Cutbank, the government's appellate brief argued that Cutbank claimed the district court had “thwarted” his efforts to cross-examine a witness about testimony concerning gun possession, and the witness was C.F.","In the case ""United States v. Justin Cutbank"", the government's appellate brief argued that Cutbank claimed the district court had “thwarted” his efforts to cross-examine a witness about testimony concerning gun possession, and the witness was C.F."
54,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", impeachment by prior inconsistent statement, impeachment by prior inconsistent statement,"In the opinion in ""United States v. Justin Lyle Cutbank,"" which cited United States v. Cumbie, extrinsic evidence may be used for","According to the opinion in ""United States v. Justin Cutbank"", which cited United States v. Cumbie, extrinsic evidence may be used for","In the opinion in ""United States v. Justin Lyle Cutbank,"" which cited United States v. Cumbie, extrinsic evidence may be used for impeachment by prior inconsistent statement","According to the opinion in ""United States v. Justin Cutbank"", which cited United States v. Cumbie, extrinsic evidence may be used for impeachment by prior inconsistent statement"
55,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", authenticated, authenticated,"According to the opinion in ""United States v. Justin Lyle Cutbank,"" when a party uses extrinsic evidence to impeach a witness with a prior inconsistent statement, that extrinsic evidence must still be","According to the opinion in ""United States v. Justin Cutbank"", when a party uses extrinsic evidence to impeach a witness with a prior inconsistent statement, that extrinsic evidence must still be","According to the opinion in ""United States v. Justin Lyle Cutbank,"" when a party uses extrinsic evidence to impeach a witness with a prior inconsistent statement, that extrinsic evidence must still be authenticated","According to the opinion in ""United States v. Justin Cutbank"", when a party uses extrinsic evidence to impeach a witness with a prior inconsistent statement, that extrinsic evidence must still be authenticated"
56,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", if the error was harmless, if the error was harmless,"According to the opinion in ""United States v. Justin Lyle Cutbank,"" when the Eighth Circuit quoted United States v. DeMarce in discussing harmless error review of evidentiary rulings, it stated that the court will not reverse an erroneous evidentiary ruling","According to the opinion in ""United States v. Justin Cutbank"", when the Eighth Circuit quoted United States v. DeMarce in discussing harmless error review of evidentiary rulings, it stated that the court will not reverse an erroneous evidentiary ruling","According to the opinion in ""United States v. Justin Lyle Cutbank,"" when the Eighth Circuit quoted United States v. DeMarce in discussing harmless error review of evidentiary rulings, it stated that the court will not reverse an erroneous evidentiary ruling if the error was harmless","According to the opinion in ""United States v. Justin Cutbank"", when the Eighth Circuit quoted United States v. DeMarce in discussing harmless error review of evidentiary rulings, it stated that the court will not reverse an erroneous evidentiary ruling if the error was harmless"
57,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", the jury may have been substantially swayed by the improperly admitted evidence., the jury may have been substantially swayed by the improperly admitted evidence.,"According to the opinion in ""United States v. Justin Lyle Cutbank,"" the court will reverse an erroneous evidentiary ruling only if","According to the opinion in ""United States v. Justin Cutbank"", the court will reverse an erroneous evidentiary ruling only if","According to the opinion in ""United States v. Justin Lyle Cutbank,"" the court will reverse an erroneous evidentiary ruling only if the jury may have been substantially swayed by the improperly admitted evidence.","According to the opinion in ""United States v. Justin Cutbank"", the court will reverse an erroneous evidentiary ruling only if the jury may have been substantially swayed by the improperly admitted evidence."
58,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", the district court’s evidentiary rulings, the district court’s evidentiary rulings,"According to the opinion in ""United States v. Justin Lyle Cutbank,"" the rulings that ""did not influence or had only a slight influence on the verdict"" were","According to the opinion in ""United States v. Justin Cutbank"", the rulings that ""did not influence or had only a slight influence on the verdict"" were","According to the opinion in ""United States v. Justin Lyle Cutbank,"" the rulings that ""did not influence or had only a slight influence on the verdict"" were the district court’s evidentiary rulings","According to the opinion in ""United States v. Justin Cutbank"", the rulings that ""did not influence or had only a slight influence on the verdict"" were the district court’s evidentiary rulings"
59,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", substantial prejudice to the defendant., substantial prejudice to the defendant.,"In United States v. Justin Lyle Cutbank, before the court will overturn a conviction based on the cumulative effect of trial errors, there must be shown","In the case ""United States v. Justin Cutbank"", before the court will overturn a conviction based on the cumulative effect of trial errors, there must be shown","In United States v. Justin Lyle Cutbank, before the court will overturn a conviction based on the cumulative effect of trial errors, there must be shown substantial prejudice to the defendant.","In the case ""United States v. Justin Cutbank"", before the court will overturn a conviction based on the cumulative effect of trial errors, there must be shown substantial prejudice to the defendant."
60,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", the Armed Career Criminal Act’s enhanced penalties, the Armed Career Criminal Act’s enhanced penalties,"In United States v. Justin Lyle Cutbank, after the jury found Cutbank guilty of being a felon in possession of a firearm and also found that he had three or more prior violent felony convictions, those findings triggered","In the case ""United States v. Justin Cutbank"", after the jury found Cutbank guilty of being a felon in possession of a firearm and also found that he had three or more prior violent felony convictions, those findings triggered","In United States v. Justin Lyle Cutbank, after the jury found Cutbank guilty of being a felon in possession of a firearm and also found that he had three or more prior violent felony convictions, those findings triggered the Armed Career Criminal Act’s enhanced penalties","In the case ""United States v. Justin Cutbank"", after the jury found Cutbank guilty of being a felon in possession of a firearm and also found that he had three or more prior violent felony convictions, those findings triggered the Armed Career Criminal Act’s enhanced penalties"
61,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", 26 U.S.C. § 5845(a), 26 U.S.C. § 5845(a),"In United States v. Justin Lyle Cutbank, the Presentence Investigation Report recommended a base offense level of 26 for the felon-in-possession offense based on a sawed-off firearm described in","In the case ""United States v. Justin Cutbank"", the Presentence Investigation Report recommended a base offense level of 26 for the felon-in-possession offense based on a sawed-off firearm described in","In United States v. Justin Lyle Cutbank, the Presentence Investigation Report recommended a base offense level of 26 for the felon-in-possession offense based on a sawed-off firearm described in 26 U.S.C. § 5845(a)","In the case ""United States v. Justin Cutbank"", the Presentence Investigation Report recommended a base offense level of 26 for the felon-in-possession offense based on a sawed-off firearm described in 26 U.S.C. § 5845(a)"
62,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", an altered/obliterated serial number, an altered/obliterated serial number,"In United States v. Justin Lyle Cutbank, the Presentence Investigation Report recommended several sentencing increases for Cutbank’s felon-in-possession offense, including a three-level increase based on","In the case ""United States v. Justin Cutbank"", the Presentence Investigation Report recommended several sentencing increases for Cutbank’s felon-in-possession offense, including a three-level increase based on","In United States v. Justin Lyle Cutbank, the Presentence Investigation Report recommended several sentencing increases for Cutbank’s felon-in-possession offense, including a three-level increase based on an altered/obliterated serial number","In the case ""United States v. Justin Cutbank"", the Presentence Investigation Report recommended several sentencing increases for Cutbank’s felon-in-possession offense, including a three-level increase based on an altered/obliterated serial number"
63,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.",VI, VI,"In United States v. Justin Lyle Cutbank, the Presentence Investigation Report calculated Cutbank’s Criminal History Category as","In the case ""United States v. Justin Cutbank"", the Presentence Investigation Report calculated Cutbank’s Criminal History Category as","In United States v. Justin Lyle Cutbank, the Presentence Investigation Report calculated Cutbank’s Criminal History Category asVI","In the case ""United States v. Justin Cutbank"", the Presentence Investigation Report calculated Cutbank’s Criminal History Category as VI"
64,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", 292 to 365 months imprisonment., 292 to 365 months imprisonment.,"In United States v. Justin Lyle Cutbank, after the Presentence Investigation Report calculated a Criminal History Category of VI, the advisory Guidelines sentencing range was","In the case ""United States v. Justin Cutbank"", after the Presentence Investigation Report calculated a Criminal History Category of VI, the advisory Guidelines sentencing range was","In United States v. Justin Lyle Cutbank, after the Presentence Investigation Report calculated a Criminal History Category of VI, the advisory Guidelines sentencing range was 292 to 365 months imprisonment.","In the case ""United States v. Justin Cutbank"", after the Presentence Investigation Report calculated a Criminal History Category of VI, the advisory Guidelines sentencing range was 292 to 365 months imprisonment."
65,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", § 2K2.1(b)(6)(B), § 2K2.1(b)(6)(B),"In United States v. Justin Lyle Cutbank, Cutbank appealed his sentence and argued that the district court wrongly imposed a four-level enhancement for possessing a firearm in connection with another felony offense under","In the case ""United States v. Justin Cutbank"", Cutbank appealed his sentence and argued that the district court wrongly imposed a four-level enhancement for possessing a firearm in connection with another felony offense under","In United States v. Justin Lyle Cutbank, Cutbank appealed his sentence and argued that the district court wrongly imposed a four-level enhancement for possessing a firearm in connection with another felony offense under § 2K2.1(b)(6)(B)","In the case ""United States v. Justin Cutbank"", Cutbank appealed his sentence and argued that the district court wrongly imposed a four-level enhancement for possessing a firearm in connection with another felony offense under § 2K2.1(b)(6)(B)"
