target,probe,fact,question,text_sentences,inference_type,answer
 decoupling reward and optimization,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors note that, despite its computational cost, Best-of-N provides the practical advantage of","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors note that, despite its computational cost, Best-of-N provides the practical advantage of decoupling reward and optimization",What practical advantage does Best-of-N buy despite its computational cost?,"['This high-performing method decouples the quality of the reward model from the PPO optimization, but is computationally impractical even for moderate N as it requires sampling N completions for every query at test time.']",Conceptual Synthesis - Generalization,decouples reward and optimization
 reference policy,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if the learned reward model were perfectly accurate but the KL penalty $\beta$ became extremely large, the optimized policy $\pi_{\theta}$ would converge toward the","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if the learned reward model were perfectly accurate but the KL penalty $\beta$ became extremely large, the optimized policy $\pi_{\theta}$ would converge toward the reference policy","If the learned reward model were perfectly accurate but the KL penalty beta became extremely large, toward which distribution would the optimized policy converge?","['where \\beta is a parameter controlling the deviation from the base reference policy \\pi_\\text{ref}, namely the initial SFT model \\pi^\\text{SFT}.', 'The added constraint is important, as it prevents the model from deviating too far from the distribution on which the reward model is accurate, as well as maintaining the generation diversity and preventing mode-collapse to single high-reward answers.']",Counterfactual Scenarios - Predicting Hypotheticals,reference policy
 binary cross-entropy,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', DPO replaces the two-stage reward modeling plus RL pipeline with a single-stage optimization using a common supervised loss, and the supervised loss DPO uses to optimize the policy directly is","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', DPO replaces the two-stage reward modeling plus RL pipeline with a single-stage optimization using a common supervised loss, and the supervised loss DPO uses to optimize the policy directly is binary cross-entropy",DPO replaces the two-stage reward modeling plus RL pipeline with a single-stage optimization using a common supervised loss. Which supervised loss does DPO use to optimize the policy directly (1–5 words)?,"['Given a dataset of human preferences over model responses, DPO can therefore optimize a policy using a simple binary cross entropy objective, producing the optimal policy to an implicit reward function fit to the preference data.']",Analogous Understanding: Mapping to Supervised Learning,Binary cross entropy
 the exponential of each item's score,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the Bradley-Terry model defines pairwise preference probabilities as $p^*(y_1 \\succ y_2 \\mid x) = \\frac{\\phi(r(x,y_1))}{\\phi(r(x,y_1)) + \\phi(r(x,y_2))}$, which conceptually implies pairwise comparison probabilities are proportional to","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the Bradley-Terry model defines pairwise preference probabilities as $p^*(y_1 \\succ y_2 \\mid x) = \\frac{\\phi(r(x,y_1))}{\\phi(r(x,y_1)) + \\phi(r(x,y_2))}$, which conceptually implies pairwise comparison probabilities are proportional to the exponential of each item's score","The Bradley-Terry model defines pairwise preference probabilities using exponentiated scores. Conceptually, this implies pairwise comparison probabilities are proportional to what transformation of each item's score (1–5 words)?","['The BT model stipulates that the human preference distribution p^* can be written as:', 'p^*(y_1\\succ y_2 \\mid x)=\\frac{\\exp\\left(r^*(x, y_1)\\right)}{\\exp\\left(r^*(x, y_1)\\right) + \\exp\\left(r^*(x, y_2)\\right)}.']",Mathematical Understanding: Equation Interpretation,Exponential of reward
 high variance,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors argue that by eliminating the need for baselines, DPO primarily mitigates the instability in actor-critic RLHF methods that is caused by","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors argue that by eliminating the need for baselines, DPO primarily mitigates the instability in actor-critic RLHF methods that is caused by high variance","By eliminating the need for baselines, DPO primarily mitigates which instability in actor-critic RLHF methods?","['While this term does not affect the optimal solution, without it, the policy gradient of the objective could have high variance, making learning unstable.', 'we can accommodate for the normalization term using a learned value function, but that can also be difficult to optimize.', 'In contrast the DPO reparameterization yields a reward function that does not require any baselines.']",Causal Mechanism - Implicit Assumptions,high variance
 Plackett-Luce classes,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', Per Theorem 1, the family of reward classes that can be represented by the reparameterization $r(x,y)=\beta \log \frac{\pi(y\mid x)}{\pi_{\text{ref}}(y\mid x)}$ are the","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', Per Theorem 1, the family of reward classes that can be represented by the reparameterization $r(x,y)=\beta \log \frac{\pi(y\mid x)}{\pi_{\text{ref}}(y\mid x)}$ are the Plackett-Luce classes","Per Theorem 1, which family of reward classes can be represented by the reparameterization r(x,y)=β log(π/π_ref)?","['Under mild assumptions, all reward classes consistent with the Plackett-Luce (and Bradley-Terry in particular) models can be represented with the reparameterization {r(x, y) = \\beta \\log \\frac{\\pi(y\\mid x)}{\\pi_\\text{ref}(y\\mid x)}} for some model \\pi(y\\mid x) and a given reference model \\pi_\\text{ref}(y \\mid x).']",Conceptual Synthesis - Core Insight,Plackett-Luce classes
 Bradley-Terry,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors show that DPO's training objective is equivalent to fitting the preference model family known as","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors show that DPO's training objective is equivalent to fitting the preference model family known as Bradley-Terry",DPO's training objective is equivalent to fitting what preference model family?,"['Note the optimization objective Eq. \\ref{eq:main_eq} is equivalent to a Bradley-Terry model with a reward parameterization r^*(x, y) = \\beta \\log\\frac{\\pi^*_\\theta(y \\mid x)}{\\pi_\\text{ref}(y \\mid x)} and we optimize our parametric model \\pi_{\\theta}, equivalently to the reward model optimization in Eq. \\ref{eq:reward_model} under the change of variables.']",Conceptual Synthesis - Model Identification,Bradley-Terry
 reward differences,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the Bradley-Terry preference model is expressed in terms of a reward function $r(x,y)$ and a partition function $Z(x)$. The mathematical property of the Bradley-Terry model that lets the partition function cancel when expressing preference probabilities is that the probabilities depend only on","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the Bradley-Terry preference model is expressed in terms of a reward function $r(x,y)$ and a partition function $Z(x)$. The mathematical property of the Bradley-Terry model that lets the partition function cancel when expressing preference probabilities is that the probabilities depend only on reward differences",Which mathematical property of the Bradley-Terry model lets the partition function cancel when expressing preference probabilities?,"['Fortunately, the Bradley-Terry model depends only on the difference of rewards between two completions, i.e., {p^*(y_1 \\succ y_2 \\mid x) = \\sigma(r^*(x, y_1) - r^*(x, y_2))}.', 'Substituting the reparameterization in Eq.~\\ref{eq:main_eq} for r^*(x,y) into the preference model Eq.~\\ref{eq:bradley-terry}, the partition function cancels, and we can express the human preference probability in terms of only the optimal policy \\pi^* and reference policy \\pi_\\text{ref}.']",Implicit Assumptions - Causal Mechanism,reward differences
 sigmoid of the reward difference,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the factor in the DPO gradient that increases the training weight when the implicit reward orders the pair incorrectly is the","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the factor in the DPO gradient that increases the training weight when the implicit reward orders the pair incorrectly is the sigmoid of the reward difference",Which factor in the DPO gradient increases the training weight when the implicit reward orders the pair incorrectly?,"['where \\hat{r}_\\theta(x, y) = \\beta \\log \\frac{\\pi_\\theta(y \\mid x)}{\\pi_\\text{ref}(y \\mid x)} is the reward implicitly defined by the language model \\pi_\\theta and reference model \\pi_\\text{ref} (more in Section~\\ref{sec:theory}).', 'Importantly, the examples are weighed by how much higher the implicit reward model \\hat{r}_\\theta rates the dispreferred completions, scaled by \\beta, i.e, how incorrectly the implicit reward model orders the completions, accounting for the strength of the KL constraint.']",Causal Mechanism - Equation Interpretation,sigmoid of reward difference
 an increase in $\mathrm{KL,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', increasing the scalar $\beta$ typically allows the policy to deviate more from the reference policy, causing","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', increasing the scalar $\beta$ typically allows the policy to deviate more from the reference policy, causing an increase in $\mathrm{KL",What is the typical effect of increasing the scalar β on the policy's allowed deviation (KL) from the reference?,"['The gradient with respect to the parameters \\theta can be written as: ... -\\beta\\mathbb{E}_{(x, y_w, y_l) \\sim \\mathcal{D}} [ ... ]', 'Importantly, the examples are weighed by how much higher the implicit reward model \\hat{r}_\\theta rates the dispreferred completions, scaled by \\beta, i.e, how incorrectly the implicit reward model orders the completions, accounting for the strength of the KL constraint.', 'the optimal solution to the KL-constrained reward maximization objective in Eq.~\\ref{eq:RL} takes the form: \\pi_r(y\\mid x) = \\frac{1}{Z(x)}\\pi_\\text{ref}(y\\mid x)\\exp\\left(\\frac{1}{\\beta}r(x, y)\\right),']",Counterfactual Scenarios - Predicting Hypotheticals,increase KL
 maximum likelihood,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', when no SFT model is available, the reference policy $\pi_{\text{ref}}$ for DPO is initialized by","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', when no SFT model is available, the reference policy $\pi_{\text{ref}}$ for DPO is initialized by maximum likelihood","When no SFT model is available, how is the reference policy π_ref initialized for DPO?","['In practice, one would like to reuse preference datasets publicly available, rather than generating samples and gathering human preferences. Since the preference datasets are sampled using \\pi^\\text{SFT}, we initialize \\pi_\\text{ref} = \\pi^\\text{SFT} whenever available.', 'However, when \\pi^\\text{SFT} is not available, we initialize \\pi_\\text{ref} by maximizing likelihood of preferred completions {(x, y_w \\sim \\mathcal{D})}, that is, {\\pi_\\text{ref} = \\argmax_{\\pi}\\mathbb{E}_{x, y_w \\sim \\mathcal{D}}[\\log \\pi(y_w \\mid x)]}.']",Implicit Assumptions - Procedural,maximum likelihood
 per-example importance weight,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors state that the DPO update increases the relative $\log$-probability of preferred responses compared to dispreferred ones, and that it prevents model degeneration by adding a specific stabilizing component.","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors state that the DPO update increases the relative $\log$-probability of preferred responses compared to dispreferred ones, and that it prevents model degeneration by adding a specific stabilizing component. per-example importance weight",The authors say the DPO update increases the relative log probability of preferred responses but prevents model degeneration by adding a specific element. Which element prevents degeneration (1–5 words)?,"['Intuitively, the DPO update increases the relative log probability of preferred to dispreferred responses, but it incorporates a dynamic, per-example importance weight that prevents the model degeneration that we find occurs with a naive probability ratio objective.']",Causal Mechanism: Source of Effect,per-example importance weight
 normalized distribution,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', DPO picks a representative reward in each equivalence class by imposing the constraint that $\pi(y\mid x)$ is a","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', DPO picks a representative reward in each equivalence class by imposing the constraint that $\pi(y\mid x)$ is a normalized distribution",DPO picks a representative reward in each equivalence class by imposing what constraint on π(y|x)?,"['We can alternatively view Theorem~\\ref{thm:main} as specifying exactly which reward function within each equivalence class the DPO reparameterization selects, that is, the reward function satisfying:', 'i.e., \\pi(y\\mid x) is a valid distribution (probabilities are positive and sum to 1).']",Equation Interpretation - Conceptual Synthesis,normalized distribution
