target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 grows,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', as model size increases, the marginal latency speed-up of BitNet b$1.58$ relative to the $\mathrm{FP16}$ baseline","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', as model size increases, the marginal latency speed-up of BitNet b$1.58$ relative to the $\mathrm{FP16}$ baseline grows","As model size increases, does the marginal latency speed-up of BitNet b1.58 relative to FP16 grow or shrink?","['Figure~\\ref{fig:latency-memory-energy} illustrates the trends of latency and memory, showing that the speed-up increases as the model size scales.', 'This is because the time cost for nn.Linear grows with the model size.']","If the dominant term scales with size and is accelerated more by a method, relative speed-up generally increases with size.",It asks about the direction of change in the speed-up advantage when scaling up models.,"Since nn.Linear cost grows and BitNet reduces that cost more, the speed-up grows with size.",Grows
 integer addition and bitwise operations,"In the paper 'The Era of $1$-bit LLMs: All Large Language Models are in $1.58$ Bits', the authors argue that to best exploit BitNet's computation paradigm, dedicated hardware for $1$-bit LLMs should emphasize arithmetic support for","In the paper 'The Era of $1$-bit LLMs: All Large Language Models are in $1.58$ Bits', the authors argue that to best exploit BitNet's computation paradigm, dedicated hardware for $1$-bit LLMs should emphasize arithmetic support for integer addition and bitwise operations",What arithmetic support should dedicated hardware for 1-bit LLMs emphasize to best exploit BitNet’s computation paradigm?,"['We envision and call for actions to design new hardware and system specifically optimized for 1-bit LLMs, given the new computation paradigm enabled in BitNet.', 'The majority of BitNet b1.58 is INT8 addition calculation...']","Binary/ternary networks benefit from efficient integer additions, bitwise ops, and popcount-like primitives.",It asks which types of operations such hardware should prioritize.,"Since BitNet relies on addition-heavy integer math with low-bit weights, hardware should emphasize integer adds and bitwise operations.",Integer adds and bitwise
 fourfold,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if KV-cache activations are losslessly compressed from $16$ bits to $4$ bits, then for a fixed memory budget the maximum context length increases by a factor of $\frac{16}{4} = 4$, i.e.,","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if KV-cache activations are losslessly compressed from $16$ bits to $4$ bits, then for a fixed memory budget the maximum context length increases by a factor of $\frac{16}{4} = 4$, i.e., fourfold","If KV-cache activations are further losslessly compressed to 4 bits from 16 bits, what is the maximum context length increase at fixed memory?","['BitNet b1.58 represents a significant step towards native support for long sequences, as it reduces the activations from 16 bits to 8 bits, allowing the context length to be doubled given the same resources.', 'This can be further losslessly compressed to 4 bits or even lower for 1.58-bit LLMs, which we leave as future work.']","For a fixed memory budget, halving bits per value doubles capacity; reducing to one-quarter bits quadruples capacity.",It asks how much more context you can fit if you quarter the per-value bitwidth.,"Going from 16 to 4 bits yields a 4x reduction, enabling a fourfold context length increase under the same memory.",Fourfold
 increases,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', as the embedding remains full precision and thus occupies a smaller fraction of total model memory for larger models, BitNet b$1.58$'s relative memory advantage compared to $16$-bit LLMs does what?","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', as the embedding remains full precision and thus occupies a smaller fraction of total model memory for larger models, BitNet b$1.58$'s relative memory advantage compared to $16$-bit LLMs does what? increases","As embedding memory becomes a smaller fraction for larger models, how does BitNet b1.58’s relative memory advantage change with model size?","['The memory consumption follows a similar trend, as the embedding remains full precision and its memory proportion is smaller for larger models.']","If a non-optimized component’s share shrinks, the optimized components drive larger overall savings.",It asks whether memory savings get better or worse as models get bigger.,"With embeddings becoming a smaller fraction, BitNet’s low-bit linear layers dominate memory saving more, increasing the relative advantage.",increases
 offset additions,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', when symmetric activation quantization (i.e., no zero-point) is combined with removed biases, the integer accumulation path in inference no longer requires","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', when symmetric activation quantization (i.e., no zero-point) is combined with removed biases, the integer accumulation path in inference no longer requires offset additions","Combining symmetric activation quantization (no zero-point) with removed biases, what addition is eliminated in the integer accumulation path?","['Instead, the activations are all scaled to [-Q_b, Q_b] per token to get rid of the zero-point quantization.', 'and removes all biases.']",Bias terms and zero-points introduce constant offsets added during accumulation.,It asks what constant term you no longer need to add during inference.,No bias and no zero-point means no offset needs to be added to the accumulator.,Offset additions
 the zero-point offset,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', by scaling activations per token to the symmetric range $[-Q_b, Q_b]$ to remove zero-point quantization, the dequantization parameter that becomes redundant is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', by scaling activations per token to the symmetric range $[-Q_b, Q_b]$ to remove zero-point quantization, the dequantization parameter that becomes redundant is the zero-point offset","By scaling activations per token to a symmetric range and removing zero-point quantization, which dequantization parameter becomes redundant?","['Instead, the activations are all scaled to [-Q_b, Q_b] per token to get rid of the zero-point quantization.']",Zero-point quantization introduces an additive offset in dequantization; symmetric quantization around zero uses zero offset.,It asks which value you no longer need when converting integers back to real numbers.,Getting rid of zero-point quantization implies no additive offset is needed during dequantization.,Zero-point offset
 $2\times,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors explain that for a Mixture-of-Experts (MoE) model distributed across chips, switching activations from FP16 (i.e., $16$ bits per activation) to their proposed $8$-bit activations halves the per-token activation bandwidth, reducing it by a factor of","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors explain that for a Mixture-of-Experts (MoE) model distributed across chips, switching activations from FP16 (i.e., $16$ bits per activation) to their proposed $8$-bit activations halves the per-token activation bandwidth, reducing it by a factor of $2\times","In an MoE distributed across chips, by what factor does per-token activation bandwidth drop when moving from FP16 to the paper’s 8-bit activations?","['Moreover, it significantly reduces the overhead of transferring activations across networks.', 'BitNet b1.58 represents a significant step towards native support for long sequences, as it reduces the activations from 16 bits to 8 bits...']",Bandwidth scales linearly with bits per value for the same number of values transferred.,It asks how much the communication needed per token decreases when activations use half as many bits.,"Switching from 16 bits to 8 bits halves the data volume, thus halving per-token bandwidth.",2x
 remains unchanged,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', under positive scalar rescaling of the weight matrix $W$ (i.e., replacing $W$ with $\alpha W$ for $\alpha>0$), the ternary zero/non-zero pattern produced by the $\mathrm{absmean}$ quantization function","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', under positive scalar rescaling of the weight matrix $W$ (i.e., replacing $W$ with $\alpha W$ for $\alpha>0$), the ternary zero/non-zero pattern produced by the $\mathrm{absmean}$ quantization function remains unchanged","Under positive scalar rescaling of W, how does the ternary zero/nonzero pattern change after absmean quantization?","['widetilde{W} = \\mathrm{RoundClip}(\\frac{W}{\\gamma + \\epsilon}, -1, 1),', '\\gamma = \\frac{1}{nm}\\sum_{ij} |W_{ij}|.']","Normalization cancels global scaling, so threshold crossings remain the same after rounding; zero occurs only when normalized magnitude is below 0.5.",This checks if the positions of zeros versus ±1s change when the whole matrix is rescaled.,"Because the normalized values are unchanged by positive rescaling, entries that round to 0, +1, or -1 stay the same, preserving the sparsity mask.",Unchanged pattern
 the multipliers,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', compared to FP16, the microarchitectural unit that becomes less critical for energy optimization in BitNet b$1.58$'s matrix multiplies is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', compared to FP16, the microarchitectural unit that becomes less critical for energy optimization in BitNet b$1.58$'s matrix multiplies is the multipliers",Which microarchitectural unit becomes less critical for energy optimization in BitNet b1.58’s matrix multiplies compared to FP16?,"['The majority of BitNet b1.58 is INT8 addition calculation, while LLaMA LLM consists of both FP16 addition and FP16 multiplication.', 'According to the energy model in~\\cite{energycost, pokebnn}, BitNet b1.58 saves 71.4 times arithmetic operations energy consumption for matrix multiplication on 7nm chips.']","Multipliers are typically more energy-hungry than adders; if an algorithm relies mostly on additions, multipliers matter less.",It asks which hardware unit you can worry less about optimizing for BitNet.,"BitNet’s matmuls are dominated by additions, reducing the importance of multipliers for energy.",Multipliers
 a divide-by-zero error,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', in the absmean quantizer the weights are scaled as $\widetilde{W} = \mathrm{RoundClip}\left(\frac{W}{\gamma + \epsilon}, -1, 1\right)$; adding a small $\epsilon$ to the denominator primarily prevents","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', in the absmean quantizer the weights are scaled as $\widetilde{W} = \mathrm{RoundClip}\left(\frac{W}{\gamma + \epsilon}, -1, 1\right)$; adding a small $\epsilon$ to the denominator primarily prevents a divide-by-zero error","In the absmean quantizer, what stability issue does adding epsilon in W/(gamma+epsilon) primarily prevent?","['widetilde{W} = \\mathrm{RoundClip}(\\frac{W}{\\gamma + \\epsilon}, -1, 1),', '\\gamma = \\frac{1}{nm}\\sum_{ij} |W_{ij}|.']",Adding a small epsilon to denominators avoids division by zero or tiny denominators causing numerical blow-up.,It asks why a tiny constant is added under the division.,"If gamma could be zero or near-zero, epsilon prevents instability in normalization.",Divide-by-zero
 add/subtract/skip,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', when performing matrix multiplication $W x$ with weights constrained to $\{-1,0,+1\}$, each multiplication by a ternary weight reduces to either adding the activation (for $+1$), subtracting the activation (for $-1$), or skipping the operation (for $0$); hence the multiplications can be replaced by","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', when performing matrix multiplication $W x$ with weights constrained to $\{-1,0,+1\}$, each multiplication by a ternary weight reduces to either adding the activation (for $+1$), subtracting the activation (for $-1$), or skipping the operation (for $0$); hence the multiplications can be replaced by add/subtract/skip","With ternary weights {-1, 0, +1}, what operation effectively replaces multiplication in matrix multiplication?","['To constrain the weights to -1, 0, or +1, we adopt an absmean quantization function.', 'The majority of BitNet b1.58 is INT8 addition calculation...']","Multiplying by +1 is copy/add, by -1 is subtract, and by 0 is skip.",It asks what simple operations take the place of multiply when weights are ternary.,"Ternary weights imply each product is an add, subtract, or no-op, eliminating general multiplication.",Add/subtract/skip
 unchanged,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', since KV-cache memory is proportional to bit-width times sequence length ($	ext{KV memory} \propto \text{bit width}\times\text{sequence length}$), moving from $16$-bit to $8$-bit halves per-activation memory ($\times \tfrac{1}{2}$) while doubling the sequence length ($\times 2$), so the total KV memory usage remains $\tfrac{1}{2}\times 2 = 1$ and is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', since KV-cache memory is proportional to bit-width times sequence length ($	ext{KV memory} \propto \text{bit width}\times\text{sequence length}$), moving from $16$-bit to $8$-bit halves per-activation memory ($\times \tfrac{1}{2}$) while doubling the sequence length ($\times 2$), so the total KV memory usage remains $\tfrac{1}{2}\times 2 = 1$ and is unchanged","If KV-cache memory halves from 16-bit to 8-bit activations and sequence length is doubled to match memory, how does total KV memory usage change?","['it reduces the activations from 16 bits to 8 bits, allowing the context length to be doubled given the same resources.']",Total memory scales as bits-per-value times number of values; halving bits and doubling values cancel.,"It asks whether the total memory use goes up, down, or stays the same after compensating by sequence length.",Halving bits and doubling length yields the same total memory.,Unchanged
 $1.58$-bit BitNet,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', under a deployment budget matched to LLaMA $3\text{B}$'s latency and memory, the model class that would yield strictly higher accuracy is the","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', under a deployment budget matched to LLaMA $3\text{B}$'s latency and memory, the model class that would yield strictly higher accuracy is the $1.58$-bit BitNet","Under a deployment budget matched to LLaMA 3B’s latency and memory, which model class would yield strictly higher accuracy?","['BitNet b1.58 with a 3.9B model size is 2.4 times faster, consumes 3.32 times less memory, but performs significantly better than LLaMA LLM 3B.', 'This demonstrates that BitNet b1.58 is a Pareto improvement over the state-of-the-art LLM models.']","If a model fits within tighter resource budgets and performs better, it will outperform a baseline under the same or looser budgets.",It asks which family of models gives better accuracy within the same resource limits.,"Since BitNet can exceed LLaMA 3B’s accuracy with less latency and memory, selecting BitNet within that budget yields higher accuracy.",1.58-bit BitNet
 sparsity promotion,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', restricting the model weights to the ternary set $\{-1,0,+1\}$ (as used in BitNet b1.58) implicitly induces the regularization-like effect of","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', restricting the model weights to the ternary set $\{-1,0,+1\}$ (as used in BitNet b1.58) implicitly induces the regularization-like effect of sparsity promotion","What regularization-like effect does restricting weights to {-1,0,+1} implicitly induce?","['To constrain the weights to -1, 0, or +1, we adopt an absmean quantization function.']","Ternary quantization encourages exact zeros, akin to sparsity-promoting regularization.",It asks about the structural bias introduced by strong quantization.,Allowing zero in the codebook and rounding toward it promotes sparse weights.,sparsity promotion
 more experts,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', when interconnect bandwidth limits Mixture-of-Experts (MoE) deployment, adopting $1.58$-bit activations lowers activation communication cost and enables the use of","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', when interconnect bandwidth limits Mixture-of-Experts (MoE) deployment, adopting $1.58$-bit activations lowers activation communication cost and enables the use of more experts","When interconnect bandwidth is the bottleneck in MoE, how does adopting 1.58-bit activations affect the feasible number of experts?","['Moreover, it significantly reduces the overhead of transferring activations across networks.', 'Firstly, the reduced memory footprint reduces the number of devices required to deploy MoE models.']",Lower communication per token allows scaling to more experts within a fixed bandwidth budget.,It asks about the effect on scaling the expert count under a network limit.,Reduced activation bandwidth per token allows more experts to be communicated within bandwidth limits.,More experts
 steeper savings,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', the authors explain that BitNet b1.58 reduces memory consumption as model size grows because the embedding layer remains in full precision (e.g., $16$-bit), so its memory proportion decreases for larger models; they further note that if the embeddings were also quantized, the memory-saving curve versus model size would show","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', the authors explain that BitNet b1.58 reduces memory consumption as model size grows because the embedding layer remains in full precision (e.g., $16$-bit), so its memory proportion decreases for larger models; they further note that if the embeddings were also quantized, the memory-saving curve versus model size would show steeper savings","If embeddings were also quantized in BitNet b1.58, how would the memory-saving curve versus model size change?","['The memory consumption follows a similar trend, as the embedding remains full precision and its memory proportion is smaller for larger models.']",Quantizing a component increases savings proportionally to its share; removing a non-quantized anchor steepens overall savings.,It asks whether savings would improve if a previously unsimplified part were also quantized.,"Quantizing embeddings removes a limiting component, making savings grow faster with size.",steeper savings
 doubles,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', when reducing activation precision from $16$-bit to $8$-bit, the effective on-chip cache capacity for activations increases; specifically, it","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', when reducing activation precision from $16$-bit to $8$-bit, the effective on-chip cache capacity for activations increases; specifically, it doubles","When reducing activation precision from 16 bits to 8 bits, what happens to the effective on-chip cache capacity for activations?",['it reduces the activations from 16 bits to 8 bits'],Halving the size per element doubles how many elements fit in the same cache capacity.,It asks about effective capacity change when each item uses half the bits.,"With half the bits per activation, twice as many can fit in cache.",Doubles
 reduced advantage,"According to the paper 'The Era of $1$-bit LLMs: All Large Language Models are in $1.58$ Bits', if memory-access energy dominates over arithmetic energy, then despite large arithmetic savings, BitNet's end-to-end energy advantage would decrease, leading to","According to the paper 'The Era of $1$-bit LLMs: All Large Language Models are in $1.58$ Bits', if memory-access energy dominates over arithmetic energy, then despite large arithmetic savings, BitNet's end-to-end energy advantage would decrease, leading to reduced advantage","If memory-access energy dominates over arithmetic energy, how would BitNet’s end-to-end energy advantage change despite large arithmetic savings?","['According to the energy model in~\\cite{energycost, pokebnn}, BitNet b1.58 saves 71.4 times arithmetic operations energy consumption for matrix multiplication on 7nm chips.']",Overall energy is the sum of memory and compute; improving a non-dominant part yields limited total gains (Amdahl’s law).,It asks what happens to total energy benefits when the main cost is elsewhere.,"If memory dominates, arithmetic savings contribute less to total, reducing the overall advantage.",reduced advantage
 diminish,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if attention rather than nn.Linear dominates latency, BitNet b1.58's relative speed-up trend with model size would","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if attention rather than nn.Linear dominates latency, BitNet b1.58's relative speed-up trend with model size would diminish","If attention rather than nn.Linear dominates latency, how would BitNet b1.58’s relative speed-up trend with model size change?","['showing that the speed-up increases as the model size scales.', 'This is because the time cost for nn.Linear grows with the model size.']","If the accelerated component ceases to dominate cost, the overall speed-up diminishes.",It asks what happens to the advantage if the reason for the advantage disappears.,"Without nn.Linear dominance, BitNet’s main acceleration target shrinks in impact, reducing the speed-up trend.",Diminish
 scale-only dequantization,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors state that, when activations are scaled per token symmetrically to $[-Q_b, Q_b]$ and no zero-point ($0$) is used, the simplified dequantization form that suffices for activations is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors state that, when activations are scaled per token symmetrically to $[-Q_b, Q_b]$ and no zero-point ($0$) is used, the simplified dequantization form that suffices for activations is scale-only dequantization","With symmetric per-token activation scaling and no zero-point, what simplified dequantization form suffices for activations?","['the activations are all scaled to [-Q_b, Q_b] per token to get rid of the zero-point quantization.']",Symmetric quantization without zero-point uses only a multiplicative scale to dequantize values.,It asks what minimal formula converts integers back to reals under these conditions.,Removing zero-point means only a scale factor is needed: y = s * q.,scale-only dequantization
 lower latency,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', if BitNet b$1.58$ fits on a single device while an equivalent $FP16$ model requires pipeline parallelism (incurring inter-device communication overhead), then, all else equal, BitNet should achieve","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', if BitNet b$1.58$ fits on a single device while an equivalent $FP16$ model requires pipeline parallelism (incurring inter-device communication overhead), then, all else equal, BitNet should achieve lower latency","If BitNet b1.58 fits on a single device while FP16 requires pipeline parallelism, how should BitNet’s latency compare, all else equal?","['We compare the throughput of BitNet b1.58 and LLaMA LLM with 70B parameters on two 80GB A100 cards, using pipeline parallelism so that LLaMA LLM 70B could be run on the devices.']",Pipeline parallelism introduces pipeline bubbles and inter-stage communication overhead that increase latency.,It asks what happens to latency if pipeline overhead can be avoided.,"Avoiding pipeline stages removes associated overhead, lowering latency.",Lower latency
 high data efficiency,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the result of training a BitNet b1.58 model with $2T$ tokens (following the StableLM-3B data recipe) and evaluating on Winogrande, PIQA, SciQ, LAMBADA, and ARC-easy indicates that $1.58$-bit LLMs achieve","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the result of training a BitNet b1.58 model with $2T$ tokens (following the StableLM-3B data recipe) and evaluating on Winogrande, PIQA, SciQ, LAMBADA, and ARC-easy indicates that $1.58$-bit LLMs achieve high data efficiency",What does the 2T-token training outcome suggest about the data efficiency of 1.58-bit LLMs?,"['Our findings shows that BitNet b1.58 achieves a superior performance on all end tasks, indicating that 1.58-bit LLMs also have strong generalization capabilities.']","Stronger generalization at fixed data implies at least preserved, often improved, data efficiency.",It asks about how well the model turns data into performance despite extreme quantization.,Superior performance with the same token count implies high data efficiency despite low precision.,high data efficiency
