row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
38,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", hereditary pancreatitis., hereditary pancreatitis.,"According to the case report ""Pancreatopleural fistula in childhood"", when paediatric pancreatitis recurs or appears to be chronic, after taking a thorough family history, the specific possibility that should be considered is","According to the case report ""Pancreatopleural fistula in childhood"", when paediatric pancreatitis recurs or appears to be chronic, after taking a thorough family history, the specific possibility that should be considered is","According to the case report ""Pancreatopleural fistula in childhood"", when paediatric pancreatitis recurs or appears to be chronic, after taking a thorough family history, the specific possibility that should be considered is hereditary pancreatitis.","According to the case report ""Pancreatopleural fistula in childhood"", when paediatric pancreatitis recurs or appears to be chronic, after taking a thorough family history, the specific possibility that should be considered is hereditary pancreatitis."
39,repair,source_framing_issue,Repaired malformed case-report title framing by adding quotation marks around the title., suspected PPF, suspected PPF,"In the case report Pancreatopleural fistula in childhood, the authors note that pleural fluid amylase typing may be included as part of the diagnostic workup for","In the case report ""Pancreatopleural fistula in childhood"", the authors note that pleural fluid amylase typing may be included as part of the diagnostic workup for","In the case report Pancreatopleural fistula in childhood, the authors note that pleural fluid amylase typing may be included as part of the diagnostic workup for suspected PPF","In the case report ""Pancreatopleural fistula in childhood"", the authors note that pleural fluid amylase typing may be included as part of the diagnostic workup for suspected PPF"
40,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 33%–47%., 33%–47%.,"According to the case report ""Pancreatopleural fistula in childhood"", when CT is used in the diagnostic workup of pancreatopleural fistula, it depicts the actual fistula in","According to the case report ""Pancreatopleural fistula in childhood"", when CT is used in the diagnostic workup of pancreatopleural fistula, it depicts the actual fistula in","According to the case report ""Pancreatopleural fistula in childhood"", when CT is used in the diagnostic workup of pancreatopleural fistula, it depicts the actual fistula in 33%–47%.","According to the case report ""Pancreatopleural fistula in childhood"", when CT is used in the diagnostic workup of pancreatopleural fistula, it depicts the actual fistula in 33%–47%."
41,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", Octreotide., Octreotide.,"In the case report ""Pancreatopleural fistula in childhood"", the authors describe the initial conservative measures for treating pancreatopleural fistula (PPF) as including bowel rest, total parenteral nutrition, a somatostatin analogue, PERT, and thoracic drainage. The somatostatin analogue named in this list was","In the case report ""Pancreatopleural fistula in childhood"", the authors describe the initial conservative measures for treating pancreatopleural fistula (PPF) as including bowel rest, total parenteral nutrition, a somatostatin analogue, PERT, and thoracic drainage. The somatostatin analogue named in this list was","In the case report ""Pancreatopleural fistula in childhood"", the authors describe the initial conservative measures for treating pancreatopleural fistula (PPF) as including bowel rest, total parenteral nutrition, a somatostatin analogue, PERT, and thoracic drainage. The somatostatin analogue named in this list was Octreotide.","In the case report ""Pancreatopleural fistula in childhood"", the authors describe the initial conservative measures for treating pancreatopleural fistula (PPF) as including bowel rest, total parenteral nutrition, a somatostatin analogue, PERT, and thoracic drainage. The somatostatin analogue named in this list was Octreotide."
42,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", total parenteral nutrition., total parenteral nutrition.,"According to the case report ""Pancreatopleural fistula in childhood"", the nutritional support included among the initial conservative measures advocated for pancreatopleural fistula, along with bowel rest, somatostatin analogues (Octreotide), PERT, and thoracic drainage, was","According to the case report ""Pancreatopleural fistula in childhood"", the nutritional support included among the initial conservative measures advocated for pancreatopleural fistula, along with bowel rest, somatostatin analogues (Octreotide), PERT, and thoracic drainage, was","According to the case report ""Pancreatopleural fistula in childhood"", the nutritional support included among the initial conservative measures advocated for pancreatopleural fistula, along with bowel rest, somatostatin analogues (Octreotide), PERT, and thoracic drainage, was total parenteral nutrition.","According to the case report ""Pancreatopleural fistula in childhood"", the nutritional support included among the initial conservative measures advocated for pancreatopleural fistula, along with bowel rest, somatostatin analogues (Octreotide), PERT, and thoracic drainage, was total parenteral nutrition."
43,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", rest and close the fistulous tract., rest and close the fistulous tract.,"According to the case report ""Pancreatopleural fistula in childhood,"" in the discussion of conservative treatment for pancreatopleural fistula, bowel rest reduces pancreatic stimulation and is intended to","According to the case report ""Pancreatopleural fistula in childhood,"" in the discussion of conservative treatment for pancreatopleural fistula, bowel rest reduces pancreatic stimulation and is intended to","According to the case report ""Pancreatopleural fistula in childhood,"" in the discussion of conservative treatment for pancreatopleural fistula, bowel rest reduces pancreatic stimulation and is intended to rest and close the fistulous tract.","According to the case report ""Pancreatopleural fistula in childhood,"" in the discussion of conservative treatment for pancreatopleural fistula, bowel rest reduces pancreatic stimulation and is intended to rest and close the fistulous tract."
44,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", ERCP., ERCP.,"According to the case report ""Pancreatopleural fistula in childhood"", if conservative management of pancreatopleural fistula fails, the endoscopic method used for trans-papillary stenting is","According to the case report ""Pancreatopleural fistula in childhood"", if conservative management of pancreatopleural fistula fails, the endoscopic method used for trans-papillary stenting is","According to the case report ""Pancreatopleural fistula in childhood"", if conservative management of pancreatopleural fistula fails, the endoscopic method used for trans-papillary stenting is ERCP.","According to the case report ""Pancreatopleural fistula in childhood"", if conservative management of pancreatopleural fistula fails, the endoscopic method used for trans-papillary stenting is ERCP."
45,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 4 weeks to 6 months., 4 weeks to 6 months.,"According to the case report “Pancreatopleural fistula in childhood,” after endoscopic intervention, the stent usually lasts","According to the case report “Pancreatopleural fistula in childhood,” after endoscopic intervention, the stent usually lasts","According to the case report “Pancreatopleural fistula in childhood,” after endoscopic intervention, the stent usually lasts 4 weeks to 6 months.","According to the case report “Pancreatopleural fistula in childhood,” after endoscopic intervention, the stent usually lasts 4 weeks to 6 months."
46,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", abdominal trauma., abdominal trauma.,"According to the case report ""Pancreatopleural fistula in childhood"", the child developed recurrent right-sided pleural effusions after a preceding injury and had a history of","According to the case report ""Pancreatopleural fistula in childhood"", the child developed recurrent right-sided pleural effusions after a preceding injury and had a history of","According to the case report ""Pancreatopleural fistula in childhood"", the child developed recurrent right-sided pleural effusions after a preceding injury and had a history of abdominal trauma.","According to the case report ""Pancreatopleural fistula in childhood"", the child developed recurrent right-sided pleural effusions after a preceding injury and had a history of abdominal trauma."
47,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", recurrent right-sided pleural effusions., recurrent right-sided pleural effusions.,"According to the case report ""Pancreatopleural fistula in childhood"", after the patient's history of abdominal trauma, he developed","According to the case report ""Pancreatopleural fistula in childhood"", after the patient's history of abdominal trauma, he developed","According to the case report ""Pancreatopleural fistula in childhood"", after the patient's history of abdominal trauma, he developed recurrent right-sided pleural effusions.","According to the case report ""Pancreatopleural fistula in childhood"", after the patient's history of abdominal trauma, he developed recurrent right-sided pleural effusions."
48,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", the next 10 days., the next 10 days.,"According to the case report ""Pancreatopleural fistula in childhood"", after the child was kept nil per orally, the drainage gradually decreased, and it eventually stopped","According to the case report ""Pancreatopleural fistula in childhood"", after the child was kept nil per orally, the drainage gradually decreased, and it eventually stopped","According to the case report ""Pancreatopleural fistula in childhood"", after the child was kept nil per orally, the drainage gradually decreased, and it eventually stopped the next 10 days.","According to the case report ""Pancreatopleural fistula in childhood"", after the child was kept nil per orally, the drainage gradually decreased, and it eventually stopped the next 10 days."
49,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", ICD, ICD,"In the case report ""Pancreatopleural fistula in childhood"", after the drainage gradually decreased over 10 days and then stopped, the tube that was removed was","In the case report ""Pancreatopleural fistula in childhood"", after the drainage gradually decreased over 10 days and then stopped, the tube that was removed was","In the case report ""Pancreatopleural fistula in childhood"", after the drainage gradually decreased over 10 days and then stopped, the tube that was removed was ICD","In the case report ""Pancreatopleural fistula in childhood"", after the drainage gradually decreased over 10 days and then stopped, the tube that was removed was ICD"
50,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", easy to miss., easy to miss.,"According to the case report ""Pancreatopleural fistula in childhood,"" the authors note that the disease has a pulmonary mask and that these cases are diagnostically","According to the case report ""Pancreatopleural fistula in childhood,"" the authors note that the disease has a pulmonary mask and that these cases are diagnostically","According to the case report ""Pancreatopleural fistula in childhood,"" the authors note that the disease has a pulmonary mask and that these cases are diagnostically easy to miss.","According to the case report ""Pancreatopleural fistula in childhood,"" the authors note that the disease has a pulmonary mask and that these cases are diagnostically easy to miss."
51,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", a PPF., a PPF.,"According to the case report ""Pancreatopleural fistula in childhood"", the boy was initially treated empirically for tuberculosis while clinicians were searching for a pulmonary cause of his repeated pleural effusions, and the diagnosis ultimately identified as the reason for the recurrent effusions was","According to the case report ""Pancreatopleural fistula in childhood"", the boy was initially treated empirically for tuberculosis while clinicians were searching for a pulmonary cause of his repeated pleural effusions, and the diagnosis ultimately identified as the reason for the recurrent effusions was","According to the case report ""Pancreatopleural fistula in childhood"", the boy was initially treated empirically for tuberculosis while clinicians were searching for a pulmonary cause of his repeated pleural effusions, and the diagnosis ultimately identified as the reason for the recurrent effusions was a PPF.","According to the case report ""Pancreatopleural fistula in childhood"", the boy was initially treated empirically for tuberculosis while clinicians were searching for a pulmonary cause of his repeated pleural effusions, and the diagnosis ultimately identified as the reason for the recurrent effusions was a PPF."
52,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", hydropneumothorax, hydropneumothorax,"In the case report ""Pancreatopleural fistula in childhood"", a boy presented with recurrent right-sided pleural effusions after recent abdominal trauma, and a chest CT scan showed right patchy consolidation, a multiloculated hypodense collection tracking from the right paraesophageal region to the tail of the pancreas, and","In the case report ""Pancreatopleural fistula in childhood"", a boy presented with recurrent right-sided pleural effusions after recent abdominal trauma, and a chest CT scan showed right patchy consolidation, a multiloculated hypodense collection tracking from the right paraesophageal region to the tail of the pancreas, and","In the case report ""Pancreatopleural fistula in childhood"", a boy presented with recurrent right-sided pleural effusions after recent abdominal trauma, and a chest CT scan showed right patchy consolidation, a multiloculated hypodense collection tracking from the right paraesophageal region to the tail of the pancreas, and hydropneumothorax","In the case report ""Pancreatopleural fistula in childhood"", a boy presented with recurrent right-sided pleural effusions after recent abdominal trauma, and a chest CT scan showed right patchy consolidation, a multiloculated hypodense collection tracking from the right paraesophageal region to the tail of the pancreas, and hydropneumothorax"
53,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", Magnetic resonance cholangiopancreatography, Magnetic resonance cholangiopancreatography.,"According to the case report ""Pancreatopleural fistula in childhood"", the imaging modality that confirmed the bilateral (right greater than left) pancreatopleural fistulas in the boy with recurrent right-sided pleural effusions was","According to the case report ""Pancreatopleural fistula in childhood"", the imaging modality that confirmed the bilateral (right greater than left) pancreatopleural fistulas in the boy with recurrent right-sided pleural effusions was","According to the case report ""Pancreatopleural fistula in childhood"", the imaging modality that confirmed the bilateral (right greater than left) pancreatopleural fistulas in the boy with recurrent right-sided pleural effusions was Magnetic resonance cholangiopancreatography.","According to the case report ""Pancreatopleural fistula in childhood"", the imaging modality that confirmed the bilateral (right greater than left) pancreatopleural fistulas in the boy with recurrent right-sided pleural effusions was Magnetic resonance cholangiopancreatography."
54,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", bilateral (right greater than left) pancreatopleural fistulas, bilateral (right greater than left) pancreatopleural fistulas,"In the case report ""Pancreatopleural fistula in childhood,"" magnetic resonance cholangiopancreatography confirmed","In the case report ""Pancreatopleural fistula in childhood,"" magnetic resonance cholangiopancreatography confirmed","In the case report ""Pancreatopleural fistula in childhood,"" magnetic resonance cholangiopancreatography confirmed bilateral (right greater than left) pancreatopleural fistulas","In the case report ""Pancreatopleural fistula in childhood,"" magnetic resonance cholangiopancreatography confirmed bilateral (right greater than left) pancreatopleural fistulas"
55,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", the chest tube, the chest tube,"According to the case report ""Pancreatopleural fistula in childhood,"" after 10 days of treatment during which the drainage decreased, the item removed before the child was discharged from the hospital was","According to the case report ""Pancreatopleural fistula in childhood,"" after 10 days of treatment during which the drainage decreased, the item removed before the child was discharged from the hospital was","According to the case report ""Pancreatopleural fistula in childhood,"" after 10 days of treatment during which the drainage decreased, the item removed before the child was discharged from the hospital was the chest tube","According to the case report ""Pancreatopleural fistula in childhood,"" after 10 days of treatment during which the drainage decreased, the item removed before the child was discharged from the hospital was the chest tube"
56,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", an extremely rare entity, an extremely rare entity,"According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula (PPF) is described as","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula (PPF) is described as","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula (PPF) is described as an extremely rare entity","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula (PPF) is described as an extremely rare entity"
57,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", acute pancreatitis, acute pancreatitis,"In the case report ""Pancreatopleural fistula in childhood,"" the background section notes that pancreatopleural fistula is observed in cases of","In the case report ""Pancreatopleural fistula in childhood,"" the background section notes that pancreatopleural fistula is observed in cases of","In the case report ""Pancreatopleural fistula in childhood,"" the background section notes that pancreatopleural fistula is observed in cases of acute pancreatitis","In the case report ""Pancreatopleural fistula in childhood,"" the background section notes that pancreatopleural fistula is observed in cases of acute pancreatitis"
58,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", recurrent pleural effusions, recurrent pleural effusions,"According to the case report ""Pancreatopleural fistula in childhood"", this condition can present with signs of respiratory distress even though the underlying pathology is in the pancreas because of","According to the case report ""Pancreatopleural fistula in childhood"", this condition can present with signs of respiratory distress even though the underlying pathology is in the pancreas because of","According to the case report ""Pancreatopleural fistula in childhood"", this condition can present with signs of respiratory distress even though the underlying pathology is in the pancreas because of recurrent pleural effusions","According to the case report ""Pancreatopleural fistula in childhood"", this condition can present with signs of respiratory distress even though the underlying pathology is in the pancreas because of recurrent pleural effusions"
59,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 47 cases, 47 cases,"According to the case report ""Pancreatopleural fistula in childhood,"" the number of cases of pancreatopleural fistula (PPF) reported in the paediatric age group at the time discussed in the background section was","According to the case report ""Pancreatopleural fistula in childhood,"" the number of cases of pancreatopleural fistula (PPF) reported in the paediatric age group at the time discussed in the background section was","According to the case report ""Pancreatopleural fistula in childhood,"" the number of cases of pancreatopleural fistula (PPF) reported in the paediatric age group at the time discussed in the background section was 47 cases","According to the case report ""Pancreatopleural fistula in childhood,"" the number of cases of pancreatopleural fistula (PPF) reported in the paediatric age group at the time discussed in the background section was 47 cases"
60,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", more than 300 cases of PPF have been reported among adults., more than 300 cases of PPF have been reported among adults.,"According to the case report ""Pancreatopleural fistula in childhood"", the background section notes that pancreatopleural fistula (PPF) is extremely rare in children and that only 47 cases had been reported in the paediatric age group, whereas","According to the case report ""Pancreatopleural fistula in childhood"", the background section notes that pancreatopleural fistula (PPF) is extremely rare in children and that only 47 cases had been reported in the paediatric age group, whereas","According to the case report ""Pancreatopleural fistula in childhood"", the background section notes that pancreatopleural fistula (PPF) is extremely rare in children and that only 47 cases had been reported in the paediatric age group, whereas more than 300 cases of PPF have been reported among adults.","According to the case report ""Pancreatopleural fistula in childhood"", the background section notes that pancreatopleural fistula (PPF) is extremely rare in children and that only 47 cases had been reported in the paediatric age group, whereas more than 300 cases of PPF have been reported among adults."
61,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 1 week., 1 week.,"According to the case report ""Pancreatopleural fistula in childhood"", a child presented to the outpatient department with difficulty breathing and right-sided chest pain that had been present for","According to the case report ""Pancreatopleural fistula in childhood"", a child presented to the outpatient department with difficulty breathing and right-sided chest pain that had been present for","According to the case report ""Pancreatopleural fistula in childhood"", a child presented to the outpatient department with difficulty breathing and right-sided chest pain that had been present for 1 week.","According to the case report ""Pancreatopleural fistula in childhood"", a child presented to the outpatient department with difficulty breathing and right-sided chest pain that had been present for 1 week."
62,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", his grandfather, his grandfather,"According to the case report ""Pancreatopleural fistula in childhood"", the child’s mother reported a history of Koch’s contact with","According to the case report ""Pancreatopleural fistula in childhood"", the child’s mother reported a history of Koch’s contact with","According to the case report ""Pancreatopleural fistula in childhood"", the child’s mother reported a history of Koch’s contact with his grandfather","According to the case report ""Pancreatopleural fistula in childhood"", the child’s mother reported a history of Koch’s contact with his grandfather"
63,repair,target_source_repair,Second-pass repair to a conservative source span that validates in both cleaned and raw source texts despite apostrophe variation., pulmonary Koch's, pulmonary Koch,"According to the case report ""Pancreatopleural fistula in childhood"", the boy’s mother reported a history of Koch’s contact with his grandfather having","According to the case report ""Pancreatopleural fistula in childhood"", the boy's mother reported a history of Koch's contact with his grandfather, who had","According to the case report ""Pancreatopleural fistula in childhood"", the boy’s mother reported a history of Koch’s contact with his grandfather having pulmonary Koch's","According to the case report ""Pancreatopleural fistula in childhood"", the boy's mother reported a history of Koch's contact with his grandfather, who had pulmonary Koch"
64,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", frequent consumption of processed and high-calorie foods, frequent consumption of processed and high-calorie foods,"According to the case report ""Pancreatopleural fistula in childhood"", the child’s dietary history was described as involving limited consumption of fresh fruits, vegetables, and balanced home-cooked meals, along with","According to the case report ""Pancreatopleural fistula in childhood"", the child’s dietary history was described as involving limited consumption of fresh fruits, vegetables, and balanced home-cooked meals, along with","According to the case report ""Pancreatopleural fistula in childhood"", the child’s dietary history was described as involving limited consumption of fresh fruits, vegetables, and balanced home-cooked meals, along with frequent consumption of processed and high-calorie foods","According to the case report ""Pancreatopleural fistula in childhood"", the child’s dietary history was described as involving limited consumption of fresh fruits, vegetables, and balanced home-cooked meals, along with frequent consumption of processed and high-calorie foods"
65,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed."," fresh fruits, vegetables and balanced home-cooked meals"," fresh fruits, vegetables and balanced home-cooked meals","According to the case report ""Pancreatopleural fistula in childhood"", after the boy presented with difficulty breathing and right-sided chest pain and his dietary history was reviewed, the foods or meals reported to be limited in his diet were","According to the case report ""Pancreatopleural fistula in childhood"", after the boy presented with difficulty breathing and right-sided chest pain and his dietary history was reviewed, the foods or meals reported to be limited in his diet were","According to the case report ""Pancreatopleural fistula in childhood"", after the boy presented with difficulty breathing and right-sided chest pain and his dietary history was reviewed, the foods or meals reported to be limited in his diet were fresh fruits, vegetables and balanced home-cooked meals","According to the case report ""Pancreatopleural fistula in childhood"", after the boy presented with difficulty breathing and right-sided chest pain and his dietary history was reviewed, the foods or meals reported to be limited in his diet were fresh fruits, vegetables and balanced home-cooked meals"
66,repair,poor_wording,Repaired colon-before-target cloze into a grammatical standalone cloze while preserving the same examination finding.," Stony dull percussion was present on the right subscapular, right infra-axillary and axillary regions.", stony dull percussion.,"According to the case report ""Pancreatopleural fistula in childhood"", the child presented with progressive right-sided chest pain and breathing difficulty, and examination showed:","According to the case report ""Pancreatopleural fistula in childhood"", the child presented with progressive right-sided chest pain and breathing difficulty, and the percussion finding over the right subscapular, right infra-axillary, and axillary regions was","According to the case report ""Pancreatopleural fistula in childhood"", the child presented with progressive right-sided chest pain and breathing difficulty, and examination showed: Stony dull percussion was present on the right subscapular, right infra-axillary and axillary regions.","According to the case report ""Pancreatopleural fistula in childhood"", the child presented with progressive right-sided chest pain and breathing difficulty, and the percussion finding over the right subscapular, right infra-axillary, and axillary regions was stony dull percussion."
67,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", tachycardia with no murmurs., tachycardia with no murmurs.,"In the case report ""Pancreatopleural fistula in childhood"", during evaluation for difficulty breathing and right-sided chest pain, the child's cardiovascular system examination revealed","In the case report ""Pancreatopleural fistula in childhood"", during evaluation for difficulty breathing and right-sided chest pain, the child's cardiovascular system examination revealed","In the case report ""Pancreatopleural fistula in childhood"", during evaluation for difficulty breathing and right-sided chest pain, the child's cardiovascular system examination revealed tachycardia with no murmurs.","In the case report ""Pancreatopleural fistula in childhood"", during evaluation for difficulty breathing and right-sided chest pain, the child's cardiovascular system examination revealed tachycardia with no murmurs."
68,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", Pediatric Intensive Care Unit, Pediatric Intensive Care Unit,"According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was moved from the outpatient setting before starting oxygen by mask at 5 L/min in the","According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was moved from the outpatient setting before starting oxygen by mask at 5 L/min in the","According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was moved from the outpatient setting before starting oxygen by mask at 5 L/min in the Pediatric Intensive Care Unit","According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was moved from the outpatient setting before starting oxygen by mask at 5 L/min in the Pediatric Intensive Care Unit"
69,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", A chest X-ray, A chest X-ray.,"In the case report ""Pancreatopleural fistula in childhood"", after the boy presented with progressive difficulty breathing and right-sided chest pain, was moved to the Pediatric Intensive Care Unit, and had blood cultures sent before further evaluation, the imaging study ordered for him at that point was","In the case report ""Pancreatopleural fistula in childhood"", after the boy presented with progressive difficulty breathing and right-sided chest pain, was moved to the Pediatric Intensive Care Unit, and had blood cultures sent before further evaluation, the imaging study ordered for him at that point was","In the case report ""Pancreatopleural fistula in childhood"", after the boy presented with progressive difficulty breathing and right-sided chest pain, was moved to the Pediatric Intensive Care Unit, and had blood cultures sent before further evaluation, the imaging study ordered for him at that point was A chest X-ray.","In the case report ""Pancreatopleural fistula in childhood"", after the boy presented with progressive difficulty breathing and right-sided chest pain, was moved to the Pediatric Intensive Care Unit, and had blood cultures sent before further evaluation, the imaging study ordered for him at that point was A chest X-ray."
70,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", piperacillin-tazobactam, piperacillin-tazobactam,"In the case report ""Pancreatopleural fistula in childhood"", when a child with respiratory distress and suspected pleural disease had a chest X-ray ordered and blood cultures sent, empirical antibiotic therapy was started with","In the case report ""Pancreatopleural fistula in childhood"", when a child with respiratory distress and suspected pleural disease had a chest X-ray ordered and blood cultures sent, empirical antibiotic therapy was started with","In the case report ""Pancreatopleural fistula in childhood"", when a child with respiratory distress and suspected pleural disease had a chest X-ray ordered and blood cultures sent, empirical antibiotic therapy was started with piperacillin-tazobactam","In the case report ""Pancreatopleural fistula in childhood"", when a child with respiratory distress and suspected pleural disease had a chest X-ray ordered and blood cultures sent, empirical antibiotic therapy was started with piperacillin-tazobactam"
71,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", blunting of right-sided costophrenic angle, blunting of right-sided costophrenic angle,"According to the case report ""Pancreatopleural fistula in childhood"", during evaluation of his breathing difficulty and right-sided chest pain, the boy’s chest X-ray showed right-sided pleural effusion with","According to the case report ""Pancreatopleural fistula in childhood"", during evaluation of his breathing difficulty and right-sided chest pain, the boy’s chest X-ray showed right-sided pleural effusion with","According to the case report ""Pancreatopleural fistula in childhood"", during evaluation of his breathing difficulty and right-sided chest pain, the boy’s chest X-ray showed right-sided pleural effusion with blunting of right-sided costophrenic angle","According to the case report ""Pancreatopleural fistula in childhood"", during evaluation of his breathing difficulty and right-sided chest pain, the boy’s chest X-ray showed right-sided pleural effusion with blunting of right-sided costophrenic angle"
72,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", pleural effusion of around one litre, pleural effusion of around one litre.,"According to the case report ""Pancreatopleural fistula in childhood"", bedside lung ultrasound performed during the boy's initial evaluation in the pediatric intensive care setting revealed","According to the case report ""Pancreatopleural fistula in childhood"", bedside lung ultrasound performed during the boy's initial evaluation in the pediatric intensive care setting revealed","According to the case report ""Pancreatopleural fistula in childhood"", bedside lung ultrasound performed during the boy's initial evaluation in the pediatric intensive care setting revealed pleural effusion of around one litre.","According to the case report ""Pancreatopleural fistula in childhood"", bedside lung ultrasound performed during the boy's initial evaluation in the pediatric intensive care setting revealed pleural effusion of around one litre."
73,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 95%–98%, 95%–98%,"According to the case report ""Pancreatopleural fistula in childhood"", after the child underwent thoracocentesis for a right-sided pleural effusion and his tachypnoea settled, his oxygen saturation on room air improved to","According to the case report ""Pancreatopleural fistula in childhood"", after the child underwent thoracocentesis for a right-sided pleural effusion and his tachypnoea settled, his oxygen saturation on room air improved to","According to the case report ""Pancreatopleural fistula in childhood"", after the child underwent thoracocentesis for a right-sided pleural effusion and his tachypnoea settled, his oxygen saturation on room air improved to 95%–98%","According to the case report ""Pancreatopleural fistula in childhood"", after the child underwent thoracocentesis for a right-sided pleural effusion and his tachypnoea settled, his oxygen saturation on room air improved to 95%–98%"
74,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", a right-sided pleural effusion., a right-sided pleural effusion.,"In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted after 6 days with recurrent right-sided chest pain, tachypnoea, and difficulty breathing, shifted back to the PICU, and the chest X-ray (CXR) again revealed","In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted after 6 days with recurrent right-sided chest pain, tachypnoea, and difficulty breathing, shifted back to the PICU, and the chest X-ray (CXR) again revealed","In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted after 6 days with recurrent right-sided chest pain, tachypnoea, and difficulty breathing, shifted back to the PICU, and the chest X-ray (CXR) again revealed a right-sided pleural effusion.","In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted after 6 days with recurrent right-sided chest pain, tachypnoea, and difficulty breathing, shifted back to the PICU, and the chest X-ray (CXR) again revealed a right-sided pleural effusion."
75,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", the PICU again, the PICU again,"In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted 6 days after discharge with recurrent right-sided chest pain, tachypnoea, and difficulty breathing and was shifted to","In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted 6 days after discharge with recurrent right-sided chest pain, tachypnoea, and difficulty breathing and was shifted to","In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted 6 days after discharge with recurrent right-sided chest pain, tachypnoea, and difficulty breathing and was shifted to the PICU again","In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted 6 days after discharge with recurrent right-sided chest pain, tachypnoea, and difficulty breathing and was shifted to the PICU again"
