domain,probe_index,source_correct,source_pred,source_group,para_correct,para_pred,expl_correct,expl_pred,model,expl_over_source,expl_over_para,gain_type,probe_file,question,answer,correct_label,option_a,option_b,option_c,option_d,option_e,inference_type,derivation,source_facts
BOFT,6,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,"Under the paper's information-transmission view, if every first-level node can reach every last-level node, what must the composed matrix be?",dense,(A),dense,block-diagonal,orthogonal,low-rank,sparse,Reasoning Step,"If every source node can reach every receiver node, then every entry can be non-zero, which means the composed matrix is dense.","['For the matrix $\\bm{R}$, if the element $R_{ij}$ is zero, then it indicates that information from the $j$-th node cannot flow to the $i$-th node. If $R_{ij}$ is non-zero, then the information can be transmitted.', 'Generally, for a matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ to be dense, the $m$ factorization matrices $\\bm{B}_m,\\cdots,\\bm{B}_1$ needs to correspond to a set of directed edges on a $d\\times (m+1)$ grid where one directed edge can only connect two nodes between adjacent levels (\\emph{i.e.}, columns), such that information from every node in the first level can be transmitted to every node in the $(m+1)$-th level.']"
ByteLatent,15,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,"Because cross-attention uses no positional embeddings, which layers must carry byte order information?",the self-attention layers,(C),the feed-forward layers,the cross-attention layers,the self-attention layers,"the query, key, and value projection layers",the pre-LayerNorm layers,Multi-Fact Integration,"Since cross-attention has no positional embeddings and RoPE is only in self-attention, sequence order must come from the self-attention layers.","['Finally, we use a pre-LayerNorm on the queries, keys and values and no positional embeddings are used in this cross-attention module.', 'For all the transformer blocks in {\\textsc BLT}, i.e. both local and global models, we largely follow the architecture of Llama~3~\\citep{dubey2024llama}; we use the SwiGLU activation function~\\citep{swiglu} in the feed-forward layers, rotary positional embeddings (RoPE)~\\citep{RoPe} with $\\theta=500000$~\\citep{xiong2024effective} only in self-attention layers']"
DPO,6,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/DPO/inference/probes_v12_mcqa.csv,"If one algorithm gets slightly higher reward only by moving much farther from the reference model, what aspect of performance has it failed to improve?",the reward/KL tradeoff,(D),the absolute reward level,the reference-policy quality,the implicit reward model,the reward/KL tradeoff,the pairwise preference objective,Synthesized Insight,"If reward rises only by allowing much larger divergence, the method has not improved the objective's intended balance between reward and staying near the reference.","['The KL-constrained reward maximization objective used in typical RLHF algorithms balances exploitation of reward while restricting the policy from deviating far from the reference policy.', 'Therefore, when comparing algorithms, we must take into account both reward achieved as well as the KL discrepancy; achieving slightly higher reward but with much higher KL is not necessarily desirable.']"
FeatLLM,0,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,What is the ensemble trying to increase by using both higher-temperature decoding and randomized demonstration order?,diversity in prediction,(E),randomness in rule generation,accuracy of the query outcome,coverage of selected features or instances,robustness of predictions,diversity in prediction,Multi-Fact Integration,"Higher temperature and varied demonstration order both increase variation across trials, which the ensemble then exploits for robustness.","['To introduce randomness in rule generation for ensemble, a sufficiently high temperature is set for LLM inference.', 'We also randomize the order of few-shot demonstrations based on the observation that the order can impact the query outcome of LLM~\\cite{lu2022fantastically}', 'To utilize the diversity in prediction for more robust predictions, we adopt bagging to select a subset of features or instances for each trial']"
GRPO,4,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,Why can training on the DeepSeekMath Corpus keep improving for longer than training on the smaller baseline corpora?,less repeated data,(C),more lasting improvements,a steeper learning curve,less repeated data,stronger optimization settings,higher-quality mathematical content,Multi-Fact Integration,"The paper contrasts longer-lasting gains on the larger corpus with early plateaus on smaller corpora that get repeated many times, implying repetition is the limiting factor.","['The DeepSeekMath~Corpus is several times larger than existing mathematical corpora.', 'As depicted in Figure \\ref{fig:corpora_comparisons}, DeepSeek-LLM 1.3B, when trained on the DeepSeekMath~Corpus, shows a steeper learning curve along with more lasting improvements.', 'In contrast, the baseline corpora are much smaller, and have already been repeated multiple rounds during training, with the resulting model performance quickly reaching a plateau.']"
GRPO,9,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,"By including code tokens during continual training, what downside of math training did DeepSeekMath-Base avoid?",loss of coding performance,(C),overfitting to the two coding benchmarks,reduced performance on MMLU and BBH,loss of coding performance,loss of language understanding and reasoning performance,loss of mathematical reasoning performance,Multi-Fact Integration,The model gained reasoning improvements from math training while preserving coding ability because code tokens prevented that capability from dropping.,"['Additionally, by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.', 'DeepSeekMath-Base 7B exhibits significant enhancements in performance on MMLU and BBH over its precursor, DeepSeek-Coder-Base-v1.5 \\citep{deepseek-coder}, illustrating the positive impact of math training on language understanding and reasoning.']"
QLoRA,13,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"At 33B-65B scale, what stronger comparison remains unproven even though QLoRA matches 16-bit LoRA?",full 16-bit finetuning,(D),the original 16-bit pretrained model,NF4 with double quantization,16-bit LoRA finetuning,full 16-bit finetuning,full 8-bit finetuning,Multi-Fact Integration,"Matching 16-bit LoRA at large scale does not prove matching the stronger baseline of full 16-bit finetuning, which the paper says remains unestablished.","['Results are shown in Table~\\ref{tbl:llama-datatype} where we see that NF4 with double quantization fully recovers the 16-bit LoRA MMLU performance.', 'Despite this evidence, we did not establish that \\textsc{QLoRA} can match full 16-bit finetuning performance at 33B and 65B scales.']"
QLoRA,18,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,What response pattern tends to make Guanaco's math answers more reliable?,showing its work,(C),"using more conversational, open-ended wording",avoiding step-by-step decomposition,showing its work,giving a brief final answer without explanation,sticking to simple arithmetic problems,Reasoning Step,"Because accuracy is better when the model shows its work and worse when it does not break problems down step-by-step, that format improves its math reliability.","['When {Guanaco} shows its work, it tends to be accurate', 'However {Guanaco} can breakdown at even simple problems if it fails to break them down step-by-step']"
ByteLatent,14,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,What property of plain BPE prevents BLT from using it directly to decide patch boundaries during generation?,lack of incremental patching,(C),dependence on latent-transformer compute to place boundaries,requirement for a globally optimal merge sequence,lack of incremental patching,inability to operate directly on raw bytes,reliance on fixed-length token boundaries,Multi-Fact Integration,"Because generation must decide boundaries from the current prefix alone, a scheme whose segmentation changes with future continuation cannot be used directly for that decision.","['When generating, {\\textsc BLT} needs to decide whether the current step in the byte sequence is at a patch boundary or not as this determines whether more compute is invoked via the Latent Transformer.', 'This decision needs to occur independently of the rest of the sequence which has yet to be generated.', 'bpe is not an incremental patching scheme as the same prefix can be tokenized differently depending on the continuation sequence, and therefore does not satisfy the property above']"
ByteLatent,19,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,What kind of information do the CUTE results imply is hard for BPE models to learn?,character level information,(D),byte-level patch boundary information,data-scale-dependent world knowledge,long-range contextual information,character level information,subword frequency information,Synthesized Insight,"The strong CUTE gain despite far less data implies the missing capability is learning character-level information, not simply data scale.","['Table~\\ref{tab:char_tasks} shows that {\\textsc BLT}-Entropy outperforms both BPE Llama 3 models by more than 25 points on this benchmark.', 'Such large improvements despite {\\textsc BLT} having been trained on 16x less data than Llama 3.1 indicates that character level information is hard to learn for BPE models.']"
DPO,0,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/DPO/inference/probes_v12_mcqa.csv,"Compared with the Best of 128 baseline on dialogue, what expensive test-time operation does DPO avoid while reaching similar or better performance?",sampling 128 completions,(B),running PPO optimization for each dialogue query,sampling 128 completions,decoupling reward-model quality from the optimization procedure,training a separate reward model to rank dialogue responses,sampling 128 preference pairs for every dialogue prompt,Multi-Fact Integration,"Because Best of 128 needs many sampled completions per query and DPO matches or beats it efficiently, DPO avoids that repeated test-time sampling cost.","['This high-performing method decouples the quality of the reward model from the PPO optimization, but is computationally impractical even for moderate $N$ as it requires sampling $N$ completions for every query at test time.', 'Overall, DPO is the only computationally efficient method that improves over the preferred completions in the Anthropic HH dataset, and provides similar or better performance to the computationally demanding Best of 128 baseline.']"
DPO,2,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/DPO/inference/probes_v12_mcqa.csv,"When $\pi^\text{SFT}$ is unavailable and $\pi_\text{ref}$ is fit on preferred completions instead, what problem is this meant to reduce?",distribution shift,(C),reward model misspecification,optimization instability,distribution shift,preference label noise,sampling bias toward preferred completions,Multi-Fact Integration,"When the original SFT sampling policy is missing, fitting π_ref on preferred completions is used to better match the unavailable true reference source of the data.","['Since the preference datasets are sampled using $\\pi^\\text{SFT}$, we initialize $\\pi_\\text{ref} = \\pi^\\text{SFT}$ whenever available.', 'However, when $\\pi^\\text{SFT}$ is not available, we initialize $\\pi_\\text{ref}$ by maximizing likelihood of preferred completions ${(x, y_w)}$', 'This procedure helps mitigate the distribution shift between the true reference distribution which is unavailable, and $\\pi_\\text{ref}$ used by DPO.']"
FeatLLM,1,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,Why might extracting substantially more than 10 rules per class fail to improve low-shot performance even though it adds information?,more overfitting,(D),prompt-length bottlenecks,more underfitting,higher input dimensionality,more overfitting,greater feature redundancy,Reasoning Step,"Adding many more rules increases information but also increases overfitting in low-shot learning, so performance need not improve.","[""As for the number of rules, while there wasn't a statistically significant difference, we determined that 10 is the most appropriate number considering the trade-off between prompt length and performance"", 'We speculate this result is due to more rules enlarging input dimensionality, leading to an increase in information, yet also resulting in overfitting within the low-shot regime.']"
GRPO,15,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,"If the corpus had followed previous work and used English-only math pre-training data, which evaluation advantage would most likely shrink?",Chinese benchmarks,(C),MATH benchmarks,English benchmarks,Chinese benchmarks,GSM8K results,overall benchmark averages,Multi-Fact Integration,"Because the paper links Chinese-benchmark gains to multilingual, non-English training data, removing that multilinguality would most directly reduce the Chinese-benchmark advantage.","['The DeepSeekMath Corpus is multilingual, so we notice an improvement in Chinese mathematical benchmarks.', ""Notably, DeepSeekMath-Base is superior on Chinese benchmarks, likely because we don't follow previous works to collect English-only math pre-training data, and also include high-quality non-English ones.""]"
OFT,17,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"If OFT shares its block matrices to cut parameters further, what key preservation guarantee still remains unchanged?",hyperspherical energy,(C),parameter efficiency of the finetuning scheme,orthogonality of the resulting matrix,hyperspherical energy,equality across all block matrices,parameter complexity of $\mathcal{O}(d^2/r^2)$,Multi-Fact Integration,"Even after sharing blocks to reduce parameters, the matrix is still orthogonal, so the same preservation guarantee remains intact.","['We can optionally share the block matrix to further reduce the number of parameters, \\emph{i.e.}, $\\thickmuskip=2mu \\medmuskip=2mu\\bm{R}_i=\\bm{R}_j,\\forall i\\neq j$. This reduces the parameter complexity to $\\mathcal{O}(d^2/r^2)$.', 'Despite all these strategies to improve parameter efficiency, we note that the resulting matrix $\\bm{R}$ remains orthogonal, so there is no sacrifice in preserving hyperspherical energy.']"
OFT,18,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"If several OFT task matrices are multiplied together and applied to a layer, what relation among neurons would still be preserved?",pairwise hyperspherical similarity,(C),pairwise feature covariance,pairwise orthogonal coupling,pairwise hyperspherical similarity,pairwise hyperspherical energy,pairwise semantic alignment,Multi-Fact Integration,"Since the product of multiple OFT task matrices is still orthogonal, applying that product still has the orthogonal-transformation invariance that preserves pairwise hyperspherical similarity.","['Second, OFT has unique potential in compositionality, in the sense that the orthogonal matrices produced by multiple OFT finetuning tasks can be multiplied together and remains an orthogonal matrix.', 'Therefore, we take advantage of an invariance property of hyperspherical energy -- the pairwise hyperspherical similarity is provably preserved if we apply the same orthogonal transformation for all neurons.']"
QLoRA,16,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"Given the typical distribution of pretrained weights, which 4-bit datatype is theoretically the best match for storing them?",NF4,(E),FP4,uniform 4-bit quantization,INT4,E2M1,NF4,Reasoning Step,"If pretrained weights are usually zero-centered normal and NFk is optimal for that distribution, then NF4 is the best-matched 4-bit storage type for those weights.","['Since pretrained neural network weights usually have a zero-centered normal distribution with standard deviation $\\sigma$', 'we term the resulting data type that has equal expected number of values in each quantization bin \\emph{k-bit NormalFloat} (NFk), since the data type is information-theoretically optimal for zero-centered normally distributed data.']"
QLoRA,24,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"If you only have a single 48GB GPU, what training setup becomes feasible with QLoRA but not with regular 16-bit finetuning?",65B finetuning,(D),65B inference,16-bit finetuning of a 65B model,65B pretraining,65B finetuning,48B finetuning,Multi-Fact Integration,"If regular finetuning needs more than 780GB but QLoRA needs less than 48GB, then a single 48GB GPU can handle the 65B finetuning only with QLoRA.","['regular 16-bit finetuning of a LLaMA 65B parameter model~\\citep{touvron2023llama} requires more than 780 GB of GPU memory.', '\\textsc{QLoRA} reduces the average memory requirements of finetuning a 65B parameter model from $>$780GB of GPU memory to $<$48GB without degrading the runtime or predictive performance compared to a 16-bit fully finetuned baseline.']"
fa3,13,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,"Besides transposing V, what additional change is needed so the output of one FP8 WGMMA can feed the next one correctly?",a register permutation,(B),a change to operand B's column-major layout,a register permutation,a matching row permutation of the Q tile,a shared-memory swizzle of the FP32 accumulator,an extra FP32 rescaling step before the second WGMMA,Multi-Fact Integration,"Since the accumulator layout does not already match the next FP8 WGMMA input layout, a register-side permutation is needed in addition to the V-tile permutation.","['Second, we observe that unlike with FP16, the memory layout of the FP32 accumulator of an FP8 WGMMA is different from that assumed for its operand A when held in registers.', ""By using byte permute instructions, we can then transform the first WGMMA's accumulator into a format suitable for the second WGMMA,"", 'For WGMMA to then compute the correct output tile, we can correspondingly arrange for the in-kernel transpose to write out a matching row permutation of the $\\mathbf{V}$ tile.']"
xLSTM,0,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,Which xLSTM cell matches both of these goals: larger storage capacity and full parallelization?,mLSTM,(B),sLSTM,mLSTM,the scalar-update xLSTM variant,the scalar-memory cell with memory mixing,the standard LSTM with exponential gating,Multi-Fact Integration,"The variant that explicitly increases storage capacity via a matrix memory is mLSTM, and the same sentence also states that this variant is fully parallelizable.","['To enhance storage capacities of LSTMs, we increase the LSTM memory cell from a scalar $c \\in \\mathbb{R}$ to a matrix $\\mathbf{C} \\in \\mathbb{R}^{d \\times d}$.', 'Those modifications --- exponential gating and novel memory structures --- enrich the LSTM family by two members: (i) the new sLSTM (see Section~\\ref{sec:sLSTM}) with a scalar memory, a scalar update, and memory mixing, and (ii) the new mLSTM (see Section~\\ref{sec:mLSTM}) with a matrix memory and a covariance (outer product) update rule, which is fully parallelizable.']"
xLSTM,7,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,"If you want a tested 2-block xLSTM that contains both matrix memory and memory mixing, which architecture fits?",xLSTM[1:1],(C),xLSTM[1:0],Mamba,xLSTM[1:1],xLSTM[0:1],LSTM (Block),Multi-Fact Integration,"A 2-block xLSTM[1:1] includes both one sLSTM block and one mLSTM block, so it is the tested architecture that combines memory mixing with matrix memory.","['Those modifications --- exponential gating and novel memory structures --- enrich the LSTM family by two members: (i) the new sLSTM (see Section~\\ref{sec:sLSTM}) with a scalar memory, a scalar update, and memory mixing, and (ii) the new mLSTM (see Section~\\ref{sec:mLSTM}) with a matrix memory and a covariance (outer product) update rule, which is fully parallelizable.', 'We compare 2-block architectures of the following methods on these tasks: xLSTM[0:1] (i.e., only sLSTM), xLSTM[1:0] (i.e., only mLSTM), xLSTM[1:1], Llama, Mamba, RWKV, Retention, Hyena, LSTM, and LSTM in Transformer blocks (LSTM (Block)).']"
xLSTM,9,0,,arxiv,0,,1,,32B,1,1,E only vs both,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,"After residual backbones and up-projection are already in place, which two later additions are identified as the main sources of xLSTM's performance gain?",exponential gating and matrix memory,(C),LSTM layer integration and post up-projection blocks,matrix memory and post up-projection blocks,exponential gating and matrix memory,pre-LayerNorm residual backbones and post up-projection blocks,exponential gating and pre-LayerNorm residual backbones,Multi-Fact Integration,"Since the ablation sequence separates backbone changes from the final additions, and the reported gains are attributed to the latter, those two additions are the main drivers.","['Firstly, we integrate LSTM layers into pre-LayerNorm residual backbones. Secondly, we extend this to a post up-projection block. Finally, we add exponential gating and matrix memory.', 'The ablation studies attribute the strong performance improvement to both the exponential gating and the matrix memory.']"
Pacito_v_Trump,2,1,,legal,0,,1,,32B,0,1,E beats para only,probes/legal/Pacito_v_Trump/inference/probes_v12_mcqa.csv,Which stay factor points in opposite directions for the admissions issue and the APA services issue?,likelihood of success,(D),the first two factors together,public interest,balance of equities,likelihood of success,irreparable injury,Synthesized Insight,"Since the court identifies the first two factors as most critical and expressly reaches opposite conclusions on success on the merits for the two issues, that factor is the one driving the different outcomes.","['Of these factors, the first two—the showing of success on the merits and irreparable injury—are “the most critical.”', 'The government is likely to prevail on plaintiffs’ challenge to the validity of Executive Order No. 14163’s suspension of refugee admissions', 'For reasons to be explained in full in an opinion to follow, however, the government is not likely to prevail on at least one of plaintiffs’ challenges under the APA.']"
Apex_Bank_v_Cc_Serve_Corp,0,0,,legal,1,,1,,32B,1,0,E beats source only,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,"If remand shows the field is crowded with similar Aspire marks, what does the opinion say that tends to show about CC Serve’s mark?",lack of commercial strength,(C),presumption of exclusive rights in the Aspire term,broader scope of protection against similar marks,lack of commercial strength,heightened likelihood of consumer confusion,stronger inherent distinctiveness,Reasoning Step,"If remand reveals many similar Aspire marks in the field, the opinion says that would indicate the mark lacks commercial strength.","['When a field is crowded with similar marks, the theory is that customers will be more adept at distinguishing marks from each other and are less likely to be confused by similar marks.', 'Evidence that consumers have been educated to distinguish between marks in this way tends to indicate a lack of commercial strength.']"
Apex_Bank_v_Cc_Serve_Corp,1,0,,legal,1,,1,,32B,1,0,E beats source only,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,What feature of the ASPIRE mark could change on remand and thereby alter the first-factor analysis?,commercial strength or weakness,(A),commercial strength or weakness,overall commercial impression,normal scope of protection accorded to the mark,priority of use in the ASPIRE name,conceptual distinctiveness as an inherently distinctive mark,Reasoning Step,The court vacated factor one because a new strength-or-weakness determination under factor six could alter the premise supporting the prior commercial-impression analysis.,"['The Board found that “[CC Serve] has not shown that its mark has any particular commercial strength, but [Apex] has not shown that [CC Serve]’s mark is commercially or conceptually weak such that it is entitled to a narrow scope of protection,” and determined that CC Serve’s mark is entitled to the “normal scope of protection accorded inherently distinctive marks.” J.A. 51.', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']"
Apex_Bank_v_Cc_Serve_Corp,5,0,,legal,1,,1,,32B,1,0,E beats source only,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,"After the examining attorney approved publication despite CC Serve’s protest, what procedural device did CC Serve use next to challenge Apex’s marks?",an opposition,(D),a notice of appeal to the TTAB,a second letter of protest,a request for reconsideration with the examining attorney,an opposition,a petition to cancel,Multi-Fact Integration,"Once the protest did not stop publication, CC Serve continued its challenge by filing an opposition.","['During prosecution, CC Serve submitted a letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.', 'Nonetheless, the examining attorney approved the ASPIRE BANK word and design marks for publication, and the marks published on December 17, 2019.', 'CC Serve initiated an opposition to Apex’s marks in February 2020, alleging a likelihood of confusion with CC Serve’s standard character mark, ASPIRE.']"
Jimenez_v_Bondi,0,0,,legal,1,,1,,32B,1,0,E beats source only,probes/legal/Jimenez_v_Bondi/inference/probes_v12_mcqa.csv,"Even if Petitioners had established past persecution and gained the presumption, what stated ground could still have rebutted it?",relocating to another part of Colombia,(A),relocating to another part of Colombia,proving that their fear stemmed from generalized criminal violence rather than persecution,seeking protection from Colombian authorities in their home region,relocating to a neighboring country outside Colombia,showing only that general conditions in Colombia had improved,Multi-Fact Integration,"Even if the presumption had arisen from past persecution, the court identified relocation elsewhere in Colombia as a stated way to rebut it.","['One way an applicant may obtain refugee status is “through a showing of past persecution, which gives rise to a rebuttable presumption of a well-founded fear of future persecution.”', 'The government may rebut an applicant’s presumption of a well-founded fear of future persecution and prevent his asylum application if it shows by a preponderance of the evidence that: “(1) there has been a ‘fundamental change’ in circumstances, such that the applicant no longer has a well-founded fear of persecution; or (2) the applicant could avoid future persecution by relocating to another part of the applicant’s country.”', 'Petitioners have not demonstrated a fear of future persecution, but even if they had, the record supports the finding that they could reasonably relocate to another part of Colombia.']"
United_States_v_Constantinescu,0,0,,legal,1,,1,,32B,1,0,E beats source only,probes/legal/United_States_v_Constantinescu/inference/probes_v12_mcqa.csv,"After taking the indictment’s allegations as true and finding an offense stated, what procedural step followed in the court of appeals?",reversal and remand,(E),remand for additional fact-finding,dismissal of the appeal,affirmance of the dismissal,vacatur of the indictment,reversal and remand,Multi-Fact Integration,"After taking the allegations as true and finding that they state an offense, the court logically reversed the dismissal and sent the case back.","['“[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment and REMAND for proceedings consistent with this opinion.']"
America_First_Legal_Foundation_v_Jamieson_Greer,4,0,,legal,0,,1,,32B,1,1,E only vs both,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/inference/probes_v12_mcqa.csv,"Under the court’s reasoning, what was missing if AFL had only a bare right to an OSC investigation?",a concrete interest,(E),a final OSC determination,a particularized procedural right,a statutory cause of action,a substantive right to a favorable investigation outcome,a concrete interest,Reasoning Step,"A bare failure to give procedure is not enough unless that failure affects a concrete, particularized interest.","['But the “deprivation of a procedural right without some concrete interest that is affected by the deprivation—a procedural right in vacuo—is insufficient” to confer Article III standing.', 'In such cases, plaintiffs thus must show that the violation of a procedural right “resulted in injury” to some “concrete, particularized interest.”']"
Bruce_Cohen_v_Consilio_LLC,1,0,,legal,0,,1,,32B,1,1,E only vs both,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v12_mcqa.csv,What procedural defect kept Cohen’s request to rescind the 2019 overtime policy from being considered on appeal?,raised only in summary judgment briefing,(D),rendered moot by later policy changes,included only in an untimely Rule 15 motion,omitted from the notice of appeal,raised only in summary judgment briefing,first presented in his appellate reply brief,Reasoning Step,"Because Cohen switched to a new injunction request in summary-judgment briefing rather than by amendment, the appellate court treated that request as procedurally improper.","['In his complaint, Cohen sought certain specific forms of injunctive relief, only to later change course and request different relief—withdrawing the 2019 policy—in his summary judgment briefing.', 'And the district court—understandably—did not consider it. Thus, the issue is not properly before us.', 'See InfoDeli, LLC, 136 F.4th at 801 n.6 (8th Cir. 2025) (explaining that “[n]ew claims are properly raised through amended complaints, not opposition briefs”); see also Fed. R. Civ. P. 15(a).']"
Bruce_Cohen_v_Consilio_LLC,7,0,,legal,0,,1,,32B,1,1,E only vs both,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v12_mcqa.csv,What filing would Cohen have needed to properly present his new request that Consilio withdraw the 2019 policy?,an amended complaint,(A),an amended complaint,a supplemental complaint,a motion to reconsider,an opposition brief,a Rule 65 motion for injunctive relief,Reasoning Step,"Since Cohen changed the requested injunctive relief in briefing and new claims must be raised by amendment, he needed to amend his pleading to properly present that request.","['In his complaint, Cohen sought certain specific forms of injunctive relief, only to later change course and request different relief—withdrawing the 2019 policy—in his summary judgment briefing.', 'Thus, the issue is not properly before us. See InfoDeli, LLC, 136 F.4th at 801 n.6 (8th Cir. 2025) (explaining that “[n]ew claims are properly raised through amended complaints, not opposition briefs”); see also Fed. R. Civ. P. 15(a).']"
Finesse_Wireless_LLC_v_Att_Mobility_LLC,5,0,,legal,0,,1,,32B,1,1,E only vs both,probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/inference/probes_v12_mcqa.csv,Why could Finesse’s new appellate clarification of the multiplication mapping not preserve the jury’s ’775 verdict under the court’s stated standard?,not presented to the jury,(A),not presented to the jury,inconsistent with the district court’s claim construction,waived by Finesse’s failure to preserve the issue in its post-trial motions,outside the scope of the asserted ’775 claims,contradicted by Finesse’s own infringement expert,Synthesized Insight,"Because substantial-evidence review looks to what the jury heard at trial, a new appellate explanation cannot supply missing proof.","['A factual finding is supported by substantial evidence if a reasonable jury could have found in favor of the prevailing party in light of the evidence presented at trial.', 'Finesse attempts to clarify the mapping on appeal, but that evidence was never presented to the jury.']"
Williams_v_GoAuto_Insurance,0,0,,legal,0,,1,,32B,1,1,E only vs both,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,"Applying the panel’s definition of “receipt,” what did GoAuto have before its system canceled the policy when the email reached GoAuto’s web service?",receipt of notice of cancellation,(A),receipt of notice of cancellation,actual awareness by a GoAuto employee of the cancellation request,acceptance of the request for cancellation,physical possession of a signed paper notice of cancellation,delivery of the cancellation request during normal business hours,Multi-Fact Integration,"The court treated the email reaching GoAuto’s computer system as GoAuto’s taking possession, delivery, or custody of the request, which satisfies receipt before cancellation.","['A leading law dictionary defines “receipt” as ""[t]he act of receiving something, esp[ecially] by taking physical possession,"" and ""receive"" as ""[t]o take (something offered, given, sent, etc.); to come into possession of or get from some outside source.""', 'We accept these definitions and conclude that GoAuto may cancel a policy once it takes possession, delivery, or custody of a request for cancellation.', 'As we explained, once the e-mailed notice is received in early morning hours by GoAuto’s computer system, that computer system cancels the policy.']"
Williams_v_GoAuto_Insurance,3,0,,legal,0,,1,,32B,1,1,E only vs both,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,"When APAC's notice certified the required information but named no employee and bore no signature before automatic cancellation, what conclusion follows about the Plaintiffs’ signature-based objection?",no signature requirement,(D),signature required for compliance,automatic cancellation was ineffective,printed-name identification required,no signature requirement,Benitez mandated a signed notice,Multi-Fact Integration,"Because the statute does not mention signatures and the notices still certified the required information, the absence of a named signer does not defeat compliance.","['The statute makes no explicit reference to a signature.', 'As in Benitez, the notices in this record do not identify any particular employee by printed name or by signature. Unlike in Benitez, each notice “certifies” the relevant information.', 'We conclude that Louisiana law does not require a signature on the notice sent by the premium finance company to the insurer.']"
