domain,probe_index,source_correct,source_pred,source_group,para_correct,para_pred,expl_correct,expl_pred,model,expl_over_source,expl_over_para,probe_file,question,answer,correct_label,option_a,option_b,option_c,option_d,option_e,inference_type,derivation,source_facts
Santos_v_Kimmel,1,1,,legal,1,,0,,13B,-1,-1,probes/legal/Santos_v_Kimmel/inference/probes_v12_mcqa.csv,"Because fair use could be resolved by comparing the original videos and the JKL segments alone, what procedural result was available without further factfinding?",dismissal at the pleading stage,(E),remand for additional factfinding on the fair-use factors,dismissal for lack of subject-matter jurisdiction,summary judgment after limited discovery,a bench trial on substantial similarity before judgment,dismissal at the pleading stage,Multi-Fact Integration,"If fair use can be resolved by comparing the works identified in the complaint itself, then no further factual development is needed before dismissal.","['It may be “so clearly established by a complaint as to support dismissal of a copyright infringement claim” at the pleading stage.', 'Because we need only consider “the original version of [the videos] and the [JKL segments] at issue” to decide “the question of fair use,”', 'we affirm the District Court’s conclusion that fair use bars Santos’s copyright claims even at the pleading stage.']"
United_States_v_Constantinescu,0,0,,legal,0,,1,,13B,1,1,probes/legal/United_States_v_Constantinescu/inference/probes_v12_mcqa.csv,"After taking the indictment’s allegations as true and finding an offense stated, what procedural step followed in the court of appeals?",reversal and remand,(E),remand for additional fact-finding,dismissal of the appeal,affirmance of the dismissal,vacatur of the indictment,reversal and remand,Multi-Fact Integration,"After taking the allegations as true and finding that they state an offense, the court logically reversed the dismissal and sent the case back.","['“[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment and REMAND for proceedings consistent with this opinion.']"
United_States_v_Constantinescu,6,1,,legal,0,,0,,13B,-1,0,probes/legal/United_States_v_Constantinescu/inference/probes_v12_mcqa.csv,What fact would have supported defendants’ no-fraud argument if the statutes required the victim to be economically worse off?,receipt of market-value securities,(B),the government’s failure to allege that the securities were worthless,receipt of market-value securities,the followers’ voluntary participation in the trades,proof that defendants never sought to obtain the followers’ money or property,defendants’ lack of intent to leave the followers economically worse off,Reasoning Step,"If economic worsening were required, the followers’ getting market-value securities would have supported defendants’ claim that no fraud was alleged.","['The Court rejected that assertion, holding that a defendant violates the fraud statutes when he “schem[es] to ‘obtain’ the victim’s ‘money or property,’ regardless of whether he seeks to leave the victim economically worse off.”', 'Because the fraud statutes do not require actual economic harm, defendants’ followers’ receipt of market-value securities does not obviate the fraud charges.']"
United_States_v_Jaison_Coleman,0,1,,legal,1,,0,,13B,-1,-1,probes/legal/United_States_v_Jaison_Coleman/inference/probes_v12_mcqa.csv,"Given the clear-error standard and the court’s acceptance of both district-court findings, what appellate result followed for the suppression issue?",affirmance of the suppression ruling,(B),reversal of the suppression ruling,affirmance of the suppression ruling,suppression of the evidence based on entry beyond the scope of Lisa’s consent,remand for reconsideration of the voluntary-consent and scope determinations,vacatur of the suppression ruling and remand for further findings,Multi-Fact Integration,"Given clear-error review, once the appellate court found no clear error in either the consent finding or the scope finding, the suppression ruling remained in place.","['We review a district court’s finding of voluntary consent and any challenge to its scope for clear error.', 'we see no clear error in the district court’s finding that she consented to the police officers entering her home.', 'We likewise agree with the district court’s finding that the officers acted within the scope of Lisa’s consent upon their entry into the home.']"
United_States_v_Jaison_Coleman,5,0,,legal,0,,1,,13B,1,1,probes/legal/United_States_v_Jaison_Coleman/inference/probes_v12_mcqa.csv,"According to the court’s reasoning, why did the officers’ quick canvas and basic questioning remain within the scope of consent?",checking the children’s welfare,(D),determining who lived there,investigating possible domestic violence,locating Coleman as a suspect,checking the children’s welfare,conducting a protective sweep,Multi-Fact Integration,"Because the consented purpose was a welfare check that included confirming safety from Coleman, the brief scan and questioning were treated as necessary means to carry out that purpose.","['Their stated purpose was to check the welfare of her children inside, including by confirming that Coleman presented no danger to them or anyone else.', 'Doing so necessarily required the police to scan the home, locate everyone, and ask some basic questions.']"
United_States_v_Justin_Cutbank,2,1,,legal,1,,0,,13B,-1,-1,probes/legal/United_States_v_Justin_Cutbank/inference/probes_v12_mcqa.csv,"Because the government’s testimonial and physical evidence was substantial, what happened to Cutbank’s attempt to obtain reversal based on the combined effect of the trial rulings?",no substantial prejudice,(E),a new trial based on the cumulative effect of the evidentiary errors,a finding that the evidentiary rulings were not harmless,a determination that the jury was substantially swayed by the improperly admitted evidence,substantial prejudice warranting reversal,no substantial prejudice,Synthesized Insight,"Because the evidence was substantial and any evidentiary mistakes had at most slight influence, the cumulative-error theory could not show the required level of harm.","['“this court will not reverse an erroneous evidentiary ruling if the error was harmless. . . . In other words, we will reverse only if the jury may have been substantially swayed by the improperly admitted evidence.”', 'The government’s evidence, both testimonial and physical, was substantial.', 'Thus, the district court’s evidentiary rulings “did not influence or had only a slight influence on the verdict.”', '“We will not overturn a conviction based on the cumulative effect of trial errors unless there is substantial prejudice to the defendant.”']"
Williams_v_GoAuto_Insurance,2,0,,legal,1,,0,,13B,0,-1,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,"Under the panel’s reading of the statute, whose certification mattered even though no individual employee was named on the notice?",the insurance premium finance company,(C),the insured whose policy was being canceled,the individual employee who prepared the notice,the insurance premium finance company,the insurance agent or broker listed on the account,the insurer that issued the policy,Reasoning Step,"The statute locates certification in the company itself, so the absence of an identified employee does not defeat who is doing the certifying.","['The statutory section itself states it is “the insurance premium finance company” who effects cancellation by “certifying” certain information in a notice. La. Rev. Stat. § 9:3550(G)(3)(a).', 'Without clearer Louisiana authority, we see no reason that a company cannot certify information without a named employee being identified.']"
Williams_v_GoAuto_Insurance,5,0,,legal,0,,1,,13B,1,1,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,"Under the court’s reading of ""receipt,"" what gave GoAuto authority to cancel before any employee handled the printed documents?",receipt of the e-mailed notice,(C),custody of the printed documents by GoAuto personnel,the computer system's automatic cancellation of the policy,receipt of the e-mailed notice,delivery of the printed cancellation request to a GoAuto employee,transmission of the e-mailed notice,Multi-Fact Integration,"The court equated receipt with possession, delivery, or custody, and found that standard met when GoAuto’s computer system received the e-mail.","['We accept these definitions and conclude that GoAuto may cancel a policy once it takes possession, delivery, or custody of a request for cancellation.', 'As we explained, once the e-mailed notice is received in early morning hours by GoAuto’s computer system, that computer system cancels the policy.', 'GoAuto’s method of receiving the notice and reacting to it satisfies the statute.']"
Williams_v_GoAuto_Insurance,9,1,,legal,1,,0,,13B,-1,-1,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,"Under the court’s accepted definition of “receipt,” what event satisfied GoAuto’s receipt requirement before any human handled the printed documents?",e-mail to GoAuto’s computer system,(C),a GoAuto employee’s later review of the printed notice,the insured’s sending of the cancellation request by e-mail,e-mail to GoAuto’s computer system,printing of the cancellation e-mail in GoAuto’s office,automatic cancellation of the policy by GoAuto’s computer system,Multi-Fact Integration,"Since receipt means possession, delivery, or custody, and the e-mailed notice reached GoAuto’s computer system before any person acted, that electronic arrival satisfied receipt.","['We accept these definitions and conclude that GoAuto may cancel a policy once it takes possession, delivery, or custody of a request for cancellation.', 'As we explained, once the e-mailed notice is received in early morning hours by GoAuto’s computer system, that computer system cancels the policy.', 'No person is involved until later in the morning after the GoAuto computer system effects cancellation.']"
Williams_v_GoAuto_Insurance,12,0,,legal,1,,1,,13B,1,0,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,Which step in APAC’s process most directly provides the statute’s function of granting “a minimum time during which the default may be cured”?,the ten-day notice,(A),the ten-day notice,the exact cancellation date,the policy cancellation,the insured’s missed payment,APAC’s strict adherence to the statute,Multi-Fact Integration,A notice that gives the insured ten days before cancellation directly supplies the minimum time to cure described by the court.,"['Strict adherence to the statute “serves two functions: (1) it provides a clear method of fixing the exact time and date of cancellation, and (2) it grants a minimum time during which the default may be cured.”', 'When an insured fails to make timely payment, APAC sends notice to the insured that their policy will be cancelled if no payment is submitted within ten days.']"
1_58,1,1,,arxiv,1,,0,,32B,-1,-1,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,Under what deployment condition would MoE activation-transfer overhead disappear?,a single chip,(E),the same network fabric,a multi-chip package,a rack-local cluster,a single server node,a single chip,Reasoning Step,"If cross-network activation transfer causes the overhead, then putting the whole model on one chip removes that transfer and thus the overhead.","['Moreover, it significantly reduces the overhead of transferring activations across networks.', 'Ultimately, there would be no overhead if the entire models could be placed on a single chip.']"
1_58,5,0,,arxiv,1,,1,,32B,1,0,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,Which component's growing share is the paper's reason that BitNet b1.58 gains more end-to-end energy advantage at larger model sizes?,nn.Linear,(C),the embedding layer,self-attention,nn.Linear,matrix multiplication,LayerNorm,Multi-Fact Integration,"Since matrix multiplication dominates cost and its share grows with model size through nn.Linear, the growing component behind larger end-to-end energy gains is nn.Linear.","['We focus mainly on the calculation for matrix multiplication, since it contributes the most to the cost of LLMs.', 'According to the energy model in~\\cite{energycost, pokebnn}, \\text{BitNet b1.58} saves 71.4 times arithmetic operations energy consumption for matrix multiplication on 7nm chips.', 'Our results show that as the model size scales, \\text{BitNet b1.58} becomes increasingly more efficient in terms of energy consumption compared to the FP16 \\text{LLaMA LLM} baseline. This is due to the fact that the percentage of \\emph{nn.Linear} grows with the model size']"
1_58,7,0,,arxiv,1,,1,,32B,1,0,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,"By halving activation precision, BitNet b1.58 directly eases the memory problem of what long-sequence component?",KV caches,(C),rotary embeddings,attention maps,KV caches,context windows,model parameters,Multi-Fact Integration,"Since KV cache memory is identified as the long-sequence bottleneck, lowering activation precision helps by reducing that bottleneck.","['One major challenge for long sequence inference is the memory consumption introduced by the KV caches.', 'BitNet b1.58 represents a significant step towards native support for long sequences, as it reduces the activations from 16 bits to 8 bits, allowing the context length to be doubled given the same resources.']"
1_58,12,0,,arxiv,1,,1,,32B,1,0,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,What architectural choice is the reason BitNet b1.58 can be integrated into popular open-source software with minimal effort?,LLaMA-alike components,(D),rotary embedding,the 1.58-bit quantization scheme,removing all biases,LLaMA-alike components,"native compatibility with Huggingface, vLLM, and llama.cpp APIs",Multi-Fact Integration,The second sentence states that minimal integration follows from the LLaMA-alike design choice in the first sentence.,"['To embrace the open-source community, our design of \\text{BitNet b1.58} adopts the LLaMA-alike components. Specifically, it uses RMSNorm~\\cite{rmsnorm}, SwiGLU~\\cite{swiglu}, rotary embedding~\\cite{rope}, and removes all biases.', 'In this way, \\text{BitNet b1.58} can be integrated into the popular open-source software (e.g., Huggingface, vLLM~\\cite{vllm}, and llama.cpp) with minimal efforts.']"
BOFT,1,1,,arxiv,1,,0,,32B,-1,-1,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,"After BOFT initializes all butterfly components as identity, what is the effective weight matrix used in the modified forward pass at the very start of finetuning?",the pretrained weight matrix,(D),the identity matrix,the orthogonal matrix \(\mathbf{R}\),the pretrained weight matrix plus a zero-initialized Cayley-transform update,the pretrained weight matrix,the product of the identity-initialized butterfly component matrices,Multi-Fact Integration,"If every butterfly component starts as identity, their product $\bm{R}$ is identity, so the effective weight in $\bm{R}\bm{W}^0$ is just the original pretrained matrix.","['Concretely, OFT optimizes an orthogonal matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ for a pretrained linear layer $\\bm{W}^0\\in\\mathbb{R}^{d\\times n}$, and modifies the forward pass from $\\bm{z}=(\\bm{W}^0)^\\top\\bm{x}$ to $\\bm{z}=(\\bm{R}\\bm{W}^0)^\\top\\bm{x}$', 'The orthogonal matrix $\\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d}$ is composed of a product of multiple orthogonal butterfly components.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']"
BOFT,6,0,,arxiv,1,,1,,32B,1,0,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,"Under the paper's information-transmission view, if every first-level node can reach every last-level node, what must the composed matrix be?",dense,(A),dense,block-diagonal,orthogonal,low-rank,sparse,Reasoning Step,"If every source node can reach every receiver node, then every entry can be non-zero, which means the composed matrix is dense.","['For the matrix $\\bm{R}$, if the element $R_{ij}$ is zero, then it indicates that information from the $j$-th node cannot flow to the $i$-th node. If $R_{ij}$ is non-zero, then the information can be transmitted.', 'Generally, for a matrix $\\bm{R}\\in\\mathbb{R}^{d\\times d}$ to be dense, the $m$ factorization matrices $\\bm{B}_m,\\cdots,\\bm{B}_1$ needs to correspond to a set of directed edges on a $d\\times (m+1)$ grid where one directed edge can only connect two nodes between adjacent levels (\\emph{i.e.}, columns), such that information from every node in the first level can be transmitted to every node in the $(m+1)$-th level.']"
BOFT,12,0,,arxiv,1,,0,,32B,0,-1,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,Why would expanding BOFT to represent the entire orthogonal group not necessarily give the best finetuning performance?,the expressivity-regularity trade-off,(D),the difficulty of enforcing exact orthogonality during training,the computational overhead of covering all orthogonal transformations,the universal expressiveness of full finetuning,the expressivity-regularity trade-off,the loss of BOFT's parameter-efficient factorized structure,Synthesized Insight,"Since the paper says more expressiveness alone can hurt finetuning and that generalization depends on balancing expressivity with regularity, full orthogonal expressiveness is not automatically best.","['""However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance.""', '""The trade-off between expressivity and regularity is the key to the generalizability of model finetuning.""']"
ByteLatent,1,0,,arxiv,1,,0,,32B,0,-1,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,"According to the paper's comparison, what kind of information missing from token-based models likely contributes to their weaker noisy-input robustness?",direct byte-level information,(B),patch-level latent representations,direct byte-level information,long-range contextual information,explicit subword segmentation information,noise-corruption labels,Synthesized Insight,"The comparison pairs token models' lack of direct byte-level information with BLT's better noisy-input robustness, implying that missing byte-level information is a likely cause of the gap.","['We also measure the robustness of {\\textsc BLT} compared to token-based models that lack direct byte-level information', 'In Table \\ref{tab:char_tasks} we report results on noised HellaSwag~\\citep{Eval_hellaswag} and find that {\\textsc BLT} indeed outperforms tokenizer-based models across the board in terms of robustness']"
ByteLatent,2,0,,arxiv,1,,0,,32B,0,-1,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,What encoder simplification becomes workable once hash n-gram embeddings are included?,a one-layer encoder,(D),an encoder-free decoder-only architecture,a token-based encoder,a two-layer encoder,a one-layer encoder,a heavier encoder with a one-layer decoder,Multi-Fact Integration,"Since hash n-gram embeddings are described as vital and the model works well with an extremely light encoder when they are present, they make that encoder simplification viable.","['This indicates that hashes are vital to bringing the performance of {\\textsc BLT} to match those of tokenizer based models', 'When paired with hash n-gram embeddings, {\\textsc BLT} works well with an encoder that is extremely light-weight i.e. just one layer, and with a heavier decoder.']"
ByteLatent,8,1,,arxiv,0,,1,,32B,0,1,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,"In repetitive structured content, what unwanted patching pattern were newline resets and the approximate monotonicity rule meant to reduce?",progressively larger patches,(A),progressively larger patches,uniformly fixed patch sizes,context-length entropy spikes,erratically shifting patch boundaries,progressively smaller patches,Multi-Fact Integration,"The two changes are introduced right after noting that repetitive structured content causes patches to keep growing, so they are meant to curb that growth pattern.","['Empirically, we find that using entropy patching yields progressively larger patches in structured content like multiple choice tasks (see patching on an MMLU example in \\autoref{fig:mmlu_patching}) which are often very repetitive.', 'So for the large scale run of {\\textsc BLT}-Entropy with patch size 4.5, we reset the entropy context with new lines and use approximate monontonicity constraint as it suffers less from ""entropy drift"" from changes in context length.']"
ByteLatent,9,1,,arxiv,0,,0,,32B,-1,0,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,"If sequence length were not reduced for models with larger patches, what unfair advantage would they get?",larger contexts,(D),lower attention costs,additional model capacity,finer-grained token representations,larger contexts,more bytes per batch,Reasoning Step,"If larger-patch models were not given shorter sequences, they would see more bytes and therefore a larger effective context.","['To maintain the same average context length and avoid giving larger patch sizes unfair advantage, we ensure that the number of bytes in each batch remains constant in expectation. This means that we reduce the sequence length of models with larger patch sizes.', 'All the models see the same number of bytes in each sequence during training and inference in expectation to prevent any confounding factors from being able to model larger contexts.']"
ByteLatent,14,0,,arxiv,0,,1,,32B,1,1,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,What property of plain BPE prevents BLT from using it directly to decide patch boundaries during generation?,lack of incremental patching,(C),dependence on latent-transformer compute to place boundaries,requirement for a globally optimal merge sequence,lack of incremental patching,inability to operate directly on raw bytes,reliance on fixed-length token boundaries,Multi-Fact Integration,"Because generation must decide boundaries from the current prefix alone, a scheme whose segmentation changes with future continuation cannot be used directly for that decision.","['When generating, {\\textsc BLT} needs to decide whether the current step in the byte sequence is at a patch boundary or not as this determines whether more compute is invoked via the Latent Transformer.', 'This decision needs to occur independently of the rest of the sequence which has yet to be generated.', 'bpe is not an incremental patching scheme as the same prefix can be tokenized differently depending on the continuation sequence, and therefore does not satisfy the property above']"
ByteLatent,15,0,,arxiv,1,,1,,32B,1,0,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,"Because cross-attention uses no positional embeddings, which layers must carry byte order information?",the self-attention layers,(C),the feed-forward layers,the cross-attention layers,the self-attention layers,"the query, key, and value projection layers",the pre-LayerNorm layers,Multi-Fact Integration,"Since cross-attention has no positional embeddings and RoPE is only in self-attention, sequence order must come from the self-attention layers.","['Finally, we use a pre-LayerNorm on the queries, keys and values and no positional embeddings are used in this cross-attention module.', 'For all the transformer blocks in {\\textsc BLT}, i.e. both local and global models, we largely follow the architecture of Llama~3~\\citep{dubey2024llama}; we use the SwiGLU activation function~\\citep{swiglu} in the feed-forward layers, rotary positional embeddings (RoPE)~\\citep{RoPe} with $\\theta=500000$~\\citep{xiong2024effective} only in self-attention layers']"
ByteLatent,18,0,,arxiv,1,,0,,32B,0,-1,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,Which kind of operation appears relatively harder for byte-level models than for BPE models on CUTE?,word manipulation,(B),semantic reasoning,word manipulation,character manipulation,character-to-word composition,subword tokenization,Synthesized Insight,"Since BPE only leads on deletion and insertion and the authors tie that lead to word manipulation, that operation is comparatively harder for byte-level models.","['Word deletion and insertion are the only two tasks where BPE performs better.', 'Such word manipulation might not be straightforward for a byte-level model but the gap is not too wide and building from characters to words could be easier than the other way around.']"
ByteLatent,19,0,,arxiv,0,,1,,32B,1,1,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,What kind of information do the CUTE results imply is hard for BPE models to learn?,character level information,(D),byte-level patch boundary information,data-scale-dependent world knowledge,long-range contextual information,character level information,subword frequency information,Synthesized Insight,"The strong CUTE gain despite far less data implies the missing capability is learning character-level information, not simply data scale.","['Table~\\ref{tab:char_tasks} shows that {\\textsc BLT}-Entropy outperforms both BPE Llama 3 models by more than 25 points on this benchmark.', 'Such large improvements despite {\\textsc BLT} having been trained on 16x less data than Llama 3.1 indicates that character level information is hard to learn for BPE models.']"
DPO,0,0,,arxiv,0,,1,,32B,1,1,probes/arxiv/DPO/inference/probes_v12_mcqa.csv,"Compared with the Best of 128 baseline on dialogue, what expensive test-time operation does DPO avoid while reaching similar or better performance?",sampling 128 completions,(B),running PPO optimization for each dialogue query,sampling 128 completions,decoupling reward-model quality from the optimization procedure,training a separate reward model to rank dialogue responses,sampling 128 preference pairs for every dialogue prompt,Multi-Fact Integration,"Because Best of 128 needs many sampled completions per query and DPO matches or beats it efficiently, DPO avoids that repeated test-time sampling cost.","['This high-performing method decouples the quality of the reward model from the PPO optimization, but is computationally impractical even for moderate $N$ as it requires sampling $N$ completions for every query at test time.', 'Overall, DPO is the only computationally efficient method that improves over the preferred completions in the Anthropic HH dataset, and provides similar or better performance to the computationally demanding Best of 128 baseline.']"
DPO,2,0,,arxiv,0,,1,,32B,1,1,probes/arxiv/DPO/inference/probes_v12_mcqa.csv,"When $\pi^\text{SFT}$ is unavailable and $\pi_\text{ref}$ is fit on preferred completions instead, what problem is this meant to reduce?",distribution shift,(C),reward model misspecification,optimization instability,distribution shift,preference label noise,sampling bias toward preferred completions,Multi-Fact Integration,"When the original SFT sampling policy is missing, fitting π_ref on preferred completions is used to better match the unavailable true reference source of the data.","['Since the preference datasets are sampled using $\\pi^\\text{SFT}$, we initialize $\\pi_\\text{ref} = \\pi^\\text{SFT}$ whenever available.', 'However, when $\\pi^\\text{SFT}$ is not available, we initialize $\\pi_\\text{ref}$ by maximizing likelihood of preferred completions ${(x, y_w)}$', 'This procedure helps mitigate the distribution shift between the true reference distribution which is unavailable, and $\\pi_\\text{ref}$ used by DPO.']"
DPO,4,1,,arxiv,0,,1,,32B,0,1,probes/arxiv/DPO/inference/probes_v12_mcqa.csv,"Because DPO beats PPO even when PPO is given ground-truth rewards, what part of the usual RLHF pipeline is the more likely bottleneck than reward modeling?",RL optimization,(C),reward model capacity,supervised fine-tuning initialization,RL optimization,KL-regularization tuning,preference data quality,Synthesized Insight,"If PPO still loses when given perfect rewards while optimizing the same objective, the weakness lies in the RL optimization stage rather than reward estimation.","[""First, DPO and PPO optimize the same objective, but DPO is notably more efficient; DPO's reward/KL tradeoff strictly dominates PPO."", 'Second, DPO achieves a better frontier than PPO, \\emph{even when PPO can access ground truth rewards} (PPO-GT).']"
DPO,6,0,,arxiv,1,,1,,32B,1,0,probes/arxiv/DPO/inference/probes_v12_mcqa.csv,"If one algorithm gets slightly higher reward only by moving much farther from the reference model, what aspect of performance has it failed to improve?",the reward/KL tradeoff,(D),the absolute reward level,the reference-policy quality,the implicit reward model,the reward/KL tradeoff,the pairwise preference objective,Synthesized Insight,"If reward rises only by allowing much larger divergence, the method has not improved the objective's intended balance between reward and staying near the reference.","['The KL-constrained reward maximization objective used in typical RLHF algorithms balances exploitation of reward while restricting the policy from deviating far from the reference policy.', 'Therefore, when comparing algorithms, we must take into account both reward achieved as well as the KL discrepancy; achieving slightly higher reward but with much higher KL is not necessarily desirable.']"
FeatLLM,0,0,,arxiv,1,,1,,32B,1,0,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,What is the ensemble trying to increase by using both higher-temperature decoding and randomized demonstration order?,diversity in prediction,(E),randomness in rule generation,accuracy of the query outcome,coverage of selected features or instances,robustness of predictions,diversity in prediction,Multi-Fact Integration,"Higher temperature and varied demonstration order both increase variation across trials, which the ensemble then exploits for robustness.","['To introduce randomness in rule generation for ensemble, a sufficiently high temperature is set for LLM inference.', 'We also randomize the order of few-shot demonstrations based on the observation that the order can impact the query outcome of LLM~\\cite{lu2022fantastically}', 'To utilize the diversity in prediction for more robust predictions, we adopt bagging to select a subset of features or instances for each trial']"
FeatLLM,1,0,,arxiv,0,,1,,32B,1,1,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,Why might extracting substantially more than 10 rules per class fail to improve low-shot performance even though it adds information?,more overfitting,(D),prompt-length bottlenecks,more underfitting,higher input dimensionality,more overfitting,greater feature redundancy,Reasoning Step,"Adding many more rules increases information but also increases overfitting in low-shot learning, so performance need not improve.","[""As for the number of rules, while there wasn't a statistically significant difference, we determined that 10 is the most appropriate number considering the trade-off between prompt length and performance"", 'We speculate this result is due to more rules enlarging input dimensionality, leading to an increase in information, yet also resulting in overfitting within the low-shot regime.']"
FeatLLM,9,0,,arxiv,1,,0,,32B,0,-1,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,"After the rules have been discovered, what per-sample inference-time component does FeatLLM avoid compared with end-to-end LLM tabular methods?",LLM queries,(B),manual feature engineering,LLM queries,downstream model retraining,few-shot prompt selection,discovered feature recomputation,Multi-Fact Integration,"Since inference uses only the simple downstream model after rule discovery, FeatLLM avoids making an LLM call for each test example.","['Compared to existing LLM-based approaches, \\textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time.', 'The proposed \\textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.']"
FeatLLM,11,0,,arxiv,1,,0,,32B,0,-1,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,"If bagging and ensembling were added to end-to-end LLM baselines, which burden would grow enough to make them impractical?",per-sample inference,(C),feature-engineering overhead,training-time computational complexity,per-sample inference,model-memory footprint,prompt-token usage per sample,Multi-Fact Integration,"Since those baselines already need at least one LLM call per sample, doubling that per-sample inference makes the approach impractical.","['It is important to note that our bagging and ensemble concept could be adapted to existing LLM-based approaches. However, such an adaptation would double the number of per-sample inference, leading to a substantial increase in computational complexity and thus becoming impractical.', 'For end-to-end predictions, at least one LLM inference per sample is required, making it computationally expensive.']"
GRPO,4,0,,arxiv,1,,1,,32B,1,0,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,Why can training on the DeepSeekMath Corpus keep improving for longer than training on the smaller baseline corpora?,less repeated data,(C),more lasting improvements,a steeper learning curve,less repeated data,stronger optimization settings,higher-quality mathematical content,Multi-Fact Integration,"The paper contrasts longer-lasting gains on the larger corpus with early plateaus on smaller corpora that get repeated many times, implying repetition is the limiting factor.","['The DeepSeekMath~Corpus is several times larger than existing mathematical corpora.', 'As depicted in Figure \\ref{fig:corpora_comparisons}, DeepSeek-LLM 1.3B, when trained on the DeepSeekMath~Corpus, shows a steeper learning curve along with more lasting improvements.', 'In contrast, the baseline corpora are much smaller, and have already been repeated multiple rounds during training, with the resulting model performance quickly reaching a plateau.']"
GRPO,5,1,,arxiv,0,,1,,32B,0,1,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,"Because RL used only GSM8K and MATH chain-of-thought questions yet still improved the other benchmarks, how should those gains be characterized?",out-of-domain improvement,(C),in-domain improvement,benchmark-specific overfitting,out-of-domain improvement,SFT-data carryover,benchmark contamination effects,Multi-Fact Integration,"Since RL was trained only on GSM8K and MATH questions yet improved metrics on other benchmarks too, those gains must be out-of-domain improvements.","['""The training data of RL are chain-of-thought-format questions related to GSM8K and MATH from the SFT data, which consists of around 144K questions.""', '""We exclude other SFT questions to investigate the impact of RL on benchmarks that lack data throughout the RL phase.""', '""Despite the constrained scope of its training data, it outperforms DeepSeekMath-Instruct 7B across all evaluation metrics""']"
GRPO,7,1,,arxiv,1,,0,,32B,-1,-1,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,"Relative to Online RFT, what additional kind of update signal helps GRPO perform better in the paper's analysis?",penalizing incorrect responses,(B),rewarding sampled responses in proportion to their length,penalizing incorrect responses,discarding incorrect responses from the gradient update entirely,uniformly reinforcing all correct responses at the same intensity,amplifying updates only for the single highest-reward correct response,Synthesized Insight,"The stated mechanism missing from Online RFT but present in GRPO is punishment for bad responses, which the paper links to GRPO's advantage.","['""GRPO uniquely adjusts its gradient coefficient based on the reward value provided by the reward model. This allows for differential reinforcement and penalization of responses according to their varying magnitudes.""', '""In contrast, Online RFT lacks this feature; it does not penalize incorrect responses and uniformly reinforces all responses with correct answers at the same level of intensity.""', '""As demonstrated in Figure \\ref{fig:rl-analysis}, GRPO surpasses online RFT""']"
GRPO,8,1,,arxiv,0,,1,,32B,0,1,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,"Since GRPO+PS beat GRPO+OS and outcome supervision only rewards the final output, what extra signal appears helpful for hard math tasks?",rewards at each reasoning step,(D),a larger reward at the end of each output,additional supervision on the overall solution format,fine-grained gradient coefficients only on the final answer,rewards at each reasoning step,longer reasoning chains before receiving outcome supervision,Synthesized Insight,"Since final-output rewards were insufficient and process supervision with step-level rewards performed better, step-level feedback is the helpful extra signal.","['Outcome supervision only provides a reward at the end of each output, which may not be sufficient and efficient to supervise the policy in complex mathematical tasks.', 'Following \\cite{wang2023math}, we also explore process supervision, which provides a reward at the end of each reasoning step.', 'As demonstrated in Figure \\ref{fig:rl-analysis}, GRPO+PS shows superior performance compared to GRPO+OS, indicating the benefits of using fine-grained, step-aware gradient coefficients.']"
